iter	RMSE
0	30.2831237
1	29.05213913
2	27.82920598
3	26.90714001
4	26.09489363
5	25.10956733
6	24.18889626
7	23.24065653
8	22.41110211
9	21.57015553
10	20.74606779
11	19.96550704
12	19.32622296
13	18.63600598
14	17.99071556
15	17.3830012
16	16.78467192
17	16.17741833
18	15.6838057
19	15.17622775
20	14.72223521
21	14.33330945
22	13.914139
23	13.53406326
24	13.11381872
25	12.78055085
26	12.37690431
27	12.08922678
28	11.8563588
29	11.42986027
30	11.16531209
31	10.93415969
32	10.66137295
33	10.36074001
34	10.11094364
35	9.905671512
36	9.629791701
37	9.427422389
38	9.139368988
39	8.984226496
40	8.744714099
41	8.581096644
42	8.303230258
43	8.192195547
44	8.012051223
45	7.876470761
46	7.69527041
47	7.53471298
48	7.429629802
49	7.347237955
50	7.169431425
51	7.000824207
52	6.908924347
53	6.800228658
54	6.610462775
55	6.535828756
56	6.481253942
57	6.401667351
58	6.248972022
59	6.099162424
60	5.957132299
61	5.821479226
62	5.698614557
63	5.642549112
64	5.521160599
65	5.359703194
66	5.206848939
67	5.155275321
68	5.062775328
69	5.021788347
70	4.936701636
71	4.83477987
72	4.786753169
73	4.735696941
74	4.681534128
75	4.649457648
76	4.529572106
77	4.476058864
78	4.430775751
79	4.32143708
80	4.218317324
81	4.146178415
82	4.083316017
83	3.992669604
84	3.968352535
85	3.882833027
86	3.802448481
87	3.744329608
88	3.689742839
89	3.616278581
90	3.569951382
91	3.518743939
92	3.486012562
93	3.444918835
94	3.379763586
95	3.362780039
96	3.323050497
97	3.262320522
98	3.220481559
99	3.165573637
100	3.134972577
101	3.09025903
102	3.039939665
103	2.992855251
104	2.967488426
105	2.924804024
106	2.884983273
107	2.85705251
108	2.819894411
109	2.77771395
110	2.739263666
111	2.701156816
112	2.665578585
113	2.632048455
114	2.599916682
115	2.569958687
116	2.533073046
117	2.504393476
118	2.476646595
119	2.450797517
120	2.426730814
121	2.404336388
122	2.383509403
123	2.347565033
124	2.313979458
125	2.296265566
126	2.264647724
127	2.245438766
128	2.22758529
129	2.197784275
130	2.169981643
131	2.15634766
132	2.140084493
133	2.129887177
134	2.116417864
135	2.086180731
136	2.059627969
137	2.031109869
138	2.016591037
139	1.989798075
140	1.976065698
141	1.950441849
142	1.925044685
143	1.911873796
144	1.887564056
145	1.875061664
146	1.850833488
147	1.82750741
148	1.805629231
149	1.781844717
150	1.769801758
151	1.747444266
152	1.72624416
153	1.714780167
154	1.693439991
155	1.673237215
156	1.662320698
157	1.641955803
158	1.621395787
159	1.610897814
160	1.591620673
161	1.579343784
162	1.560535835
163	1.55061744
164	1.531953417
165	1.52227164
166	1.511025981
167	1.500540857
168	1.483709502
169	1.470340041
170	1.453606755
171	1.444658368
172	1.4344757
173	1.426011704
174	1.416446809
175	1.408443224
176	1.395884309
177	1.388300877
178	1.371263875
179	1.355569792
180	1.344187137
181	1.328636402
182	1.313578484
183	1.298870641
184	1.284564121
185	1.2739287
186	1.264160717
187	1.251045848
188	1.237297629
189	1.224904593
190	1.210826537
191	1.202805941
192	1.195197986
193	1.188132766
194	1.176259879
195	1.163386871
196	1.154147426
197	1.143174297
198	1.134758003
199	1.12778685
200	1.119878807
201	1.112311188
202	1.105758666
203	1.099339732
204	1.092200093
205	1.086214293
206	1.078752075
207	1.071818656
208	1.065410389
209	1.052111227
210	1.045833049
211	1.039665825
212	1.033045203
213	1.020845251
214	1.014922533
215	1.009164228
216	1.003421934
217	0.9920248786
218	0.9852443454
219	0.9796103076
220	0.9741374305
221	0.9686960158
222	0.9623067506
223	0.951566377
224	0.9461181433
225	0.9409550685
226	0.935861733
227	0.9262706935
228	0.9204784139
229	0.9152439349
230	0.9094562828
231	0.9035681754
232	0.8933723174
233	0.8880990284
234	0.8832354478
235	0.877773877
236	0.8752369304
237	0.8703718339
238	0.860740756
239	0.8550305444
240	0.852609031
241	0.8480801668
242	0.8390623742
243	0.8342937114
244	0.831989835
245	0.8265610175
246	0.8220033848
247	0.8176613985
248	0.8125253099
249	0.803507338
250	0.8014018037
251	0.793159937
252	0.791137893
253	0.7857474653
254	0.7813028466
255	0.7793509027
256	0.7755165382
257	0.770509293
258	0.7662507728
259	0.7625343243
260	0.7548263508
261	0.7529887571
262	0.7512460061
263	0.747861862
264	0.743721067
265	0.7365189434
266	0.7316691097
267	0.7300348915
268	0.7210683078
269	0.7142867222
270	0.7103114664
271	0.7087460768
272	0.7049995169
273	0.7019630471
274	0.7004918438
275	0.6938188618
276	0.6857093473
277	0.6796304821
278	0.6760058577
279	0.6746361683
280	0.67329293
281	0.669840698
282	0.6658068935
283	0.6645309428
284	0.6612878748
285	0.6600680544
286	0.6549724212
287	0.6476912631
288	0.6446308051
289	0.6434707899
290	0.6386402663
291	0.6357535924
292	0.6331988077
293	0.6308029529
294	0.6293897855
295	0.6248050123
296	0.6220077836
297	0.6209486774
298	0.6169846744
299	0.6146758376
