iter	Passed	Remaining
0	73	21957
1	73	10949
2	73	7278
3	73	5446
4	73	4344
5	73	3609
6	73	3084
7	73	2691
8	73	2385
9	73	2140
10	73	1939
11	73	1772
12	73	1631
13	73	1509
14	73	1404
15	73	1312
16	73	1231
17	74	1159
18	74	1094
19	74	1036
20	74	984
21	74	936
22	74	892
23	74	852
24	74	815
25	74	781
26	74	750
27	74	721
28	74	693
29	74	668
30	74	644
31	74	622
32	74	601
33	74	581
34	74	563
35	74	545
36	74	529
37	74	513
38	74	498
39	74	484
40	74	470
41	74	458
42	74	446
43	74	434
44	74	423
45	74	412
46	74	402
47	74	392
48	74	383
49	74	373
50	74	365
51	74	356
52	74	348
53	74	341
54	74	333
55	74	326
56	74	319
57	74	312
58	74	306
59	74	299
60	75	293
61	75	288
62	75	282
63	75	276
64	75	271
65	75	266
66	75	261
67	75	256
68	75	251
69	75	247
70	75	242
71	75	238
72	75	234
73	75	229
74	75	225
75	75	221
76	75	218
77	75	214
78	75	210
79	75	207
80	75	203
81	75	200
82	75	197
83	75	194
84	75	190
85	75	187
86	75	184
87	75	181
88	75	179
89	75	176
90	75	173
91	75	170
92	75	168
93	75	165
94	75	163
95	75	160
96	75	158
97	75	156
98	75	153
99	75	151
100	75	149
101	75	147
102	75	145
103	75	142
104	75	140
105	75	138
106	75	136
107	75	134
108	75	133
109	75	131
110	75	129
111	75	127
112	76	125
113	76	124
114	76	122
115	76	120
116	76	118
117	76	117
118	76	115
119	76	114
120	76	112
121	76	111
122	76	109
123	76	108
124	76	106
125	76	105
126	76	103
127	76	102
128	76	101
129	76	99
130	76	98
131	76	97
132	76	95
133	76	94
134	76	93
135	76	92
136	76	90
137	76	89
138	76	88
139	76	87
140	76	86
141	76	85
142	76	84
143	76	82
144	76	81
145	76	80
146	76	79
147	76	78
148	76	77
149	76	76
150	76	75
151	76	74
152	76	73
153	76	72
154	76	71
155	76	70
156	76	69
157	76	69
158	76	68
159	76	67
160	76	66
161	76	65
162	76	64
163	76	63
164	76	62
165	77	62
166	77	61
167	77	60
168	77	59
169	77	58
170	77	58
171	77	57
172	77	56
173	77	55
174	77	55
175	77	54
176	77	53
177	77	52
178	77	52
179	77	51
180	77	50
181	77	50
182	77	49
183	77	48
184	77	48
185	77	47
186	77	46
187	77	46
188	77	45
189	77	44
190	77	44
191	77	43
192	77	42
193	77	42
194	77	41
195	77	41
196	77	40
197	77	39
198	77	39
199	77	38
200	77	38
201	77	37
202	77	37
203	77	36
204	77	36
205	77	35
206	77	34
207	77	34
208	77	33
209	77	33
210	77	32
211	77	32
212	77	31
213	77	31
214	77	30
215	77	30
216	77	29
217	77	29
218	78	28
219	78	28
220	78	27
221	78	27
222	78	26
223	78	26
224	78	26
225	78	25
226	78	25
227	78	24
228	78	24
229	78	23
230	78	23
231	78	22
232	78	22
233	78	22
234	78	21
235	78	21
236	78	20
237	78	20
238	78	20
239	78	19
240	78	19
241	78	18
242	78	18
243	78	18
244	78	17
245	78	17
246	78	16
247	78	16
248	78	16
249	78	15
250	78	15
251	78	14
252	78	14
253	78	14
254	78	13
255	78	13
256	78	13
257	78	12
258	78	12
259	78	12
260	78	11
261	78	11
262	78	11
263	78	10
264	78	10
265	78	10
266	78	9
267	78	9
268	78	9
269	78	8
270	78	8
271	79	8
272	79	7
273	79	7
274	79	7
275	79	6
276	79	6
277	79	6
278	79	5
279	79	5
280	79	5
281	79	5
282	79	4
283	79	4
284	79	4
285	79	3
286	79	3
287	79	3
288	79	3
289	79	2
290	79	2
291	79	2
292	79	1
293	79	1
294	79	1
295	79	1
296	79	0
297	79	0
298	79	0
299	79	0
