시도별,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
품목별,일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
서울특별시,72,3695,2660,0,0,0,23,10152,2335,8,4415,353,0,0,0,22,10502,2310,49,3313,1623,0,0,0,16,10083,1613,40,3069,1228,0,0,0,25,9760,2440,88,2131,1875,0,0,0,36,9641,3471,30,2477,743,0,0,0,26,9475,2464,14,2099,294,0,0,0,30,9701,2910,85,2250,1913,0,0,0,21,7125,1496,9,2554,230,0,0,0,53,10151,5380,53,4161,2205,0,0,0,17,12856,2186,0,0,0,0,0,0,8,8358,669,0,0,0,0,0,0,15,10458,1569,1,4075,41,0,0,0,16,7825,1252,0,0,0,0,0,0,11,7440,818,0,0,0,0,0,0,10,9534,953,0,0,0,0,0,0,0,0,0,7,9324,653,0,0,0,1,4455,45,0,0,0,3,8461,254,0,0,0,1,4608,23,0,0,0,5,10551,494,0,0,0,0,4584,1,0,0,0,5,9814,509,0,0,0,0,4704,1,0,0,0,3,10343,358,0,0,0,0,4661,1,0,0,0,3,8741,228,0,0,0,5,4663,228,0,0,0,6,12793,771,0,0,0
부산광역시,403,4446,17917,0,0,0,324,10835,35105,452,5760,26035,0,0,0,281,14536,40846,248,5550,13764,0,0,0,228,11207,25552,277,5560,15401,0,0,0,210,10546,22147,297,5560,16513,0,0,0,123,10880,13382,166,5560,9230,0,0,0,134,11670,15638,177,5477,9694,0,0,0,195,10573,20618,156,5455,8510,0,0,0,169,10096,17063,91,4962,4515,0,0,0,106,8726,9249,92,4960,4563,0,0,0,141,11919,16806,97,4271,4143,0,0,0,115,10440,12005,25,4588,1147,0,0,0,150,15778,23667,34,4328,1472,0,0,0,106,11280,11957,25,9862,2466,0,0,0,99,10360,10256,27,6073,1640,0,0,0,83,11698,9710,0,0,0,35,6073,2126,0,0,0,84,11137,9355,0,0,0,3,6105,183,0,0,0,41,11180,4584,0,0,0,29,6105,1771,0,0,0,73,7266,5270,0,0,0,9,6013,565,0,0,0,59,11580,6859,0,0,0,5,5385,243,0,0,0,40,12114,4890,0,0,0,23,5394,1237,0,0,0,48,13079,6267,0,0,0,5,5317,259,0,0,0,36,11239,4017,0,0,0
대구광역시,177,4799,8494,0,0,0,139,10657,14813,232,4520,10486,0,0,0,139,10396,14450,259,6940,17975,0,0,0,51,9543,4867,200,5340,10680,0,0,0,48,8863,4254,212,4945,10483,0,0,0,95,9479,9005,37,5202,1925,0,0,0,71,9389,6666,32,4705,1506,0,0,0,87,11704,10183,48,4915,2359,0,0,0,91,9421,8573,66,4865,3211,0,0,0,112,8757,9808,30,5037,1511,0,0,0,136,10720,14580,30,4571,1371,0,0,0,129,7167,9245,19,4553,865,0,0,0,125,11232,14040,9,4375,394,0,0,0,60,8725,5235,5,4140,207,0,0,0,81,10728,8689,4,4375,175,0,0,0,82,9923,8137,0,0,0,4,4453,178,0,0,0,51,10444,5327,0,0,0,5,4453,223,0,0,0,47,9630,4526,0,0,0,33,4453,1485,0,0,0,84,9973,8369,0,0,0,6,4453,283,0,0,0,65,9153,5975,0,0,0,22,4453,996,0,0,0,44,11271,4974,0,0,0,27,5385,1478,0,0,0,66,10084,6673,0,0,0,27,4912,1343,0,0,0,68,7248,4895,0,0,0
인천광역시,107,4316,4618,0,0,0,166,9907,16446,66,3653,2411,0,0,0,176,9996,17593,48,3693,1773,0,0,0,128,9549,12223,42,3695,1552,0,0,0,142,9526,13527,45,3593,1617,0,0,0,177,11754,20805,51,3480,1775,0,0,0,147,11057,16254,65,3085,2005,0,0,0,208,9900,20593,68,3361,2285,0,0,0,175,9392,16437,61,3479,2122,0,0,0,204,8132,16590,12,3479,417,0,0,0,223,12714,28352,6,3378,203,0,0,0,170,6243,10613,12,4236,508,0,0,0,211,11449,24158,4,4598,184,0,0,0,159,9317,14813,4,3166,127,0,0,0,199,9576,19055,0,0,0,0,0,0,186,11012,20482,0,0,0,4,3182,127,0,0,0,197,12223,24080,0,0,0,4,3190,128,0,0,0,119,10461,12449,0,0,0,5,3200,144,0,0,0,130,11225,14641,0,0,0,4,3200,133,0,0,0,126,11815,14935,0,0,0,6,3200,200,0,0,0,112,12163,13601,0,0,0,8,3159,237,0,0,0,117,10867,12720,0,0,0,12,3150,378,0,0,0,138,9664,13333,0,0,0
광주광역시,178,5090,9060,0,0,0,195,10437,20352,132,5280,6970,0,0,0,181,10242,18538,102,5000,5100,0,0,0,183,10465,19151,109,7000,7630,0,0,0,155,10062,15596,100,6273,6273,0,0,0,186,10611,19736,22,4585,1009,0,0,0,142,11161,15849,52,4237,2203,0,0,0,128,9916,12692,57,4049,2308,0,0,0,113,8926,10087,39,4736,1847,0,0,0,126,11140,14036,22,5189,1142,0,0,0,101,12314,12438,4,4610,184,0,0,0,58,10100,5858,16,4861,778,0,0,0,95,12316,11700,6,4125,248,0,0,0,71,12733,9040,14,4086,572,0,0,0,125,13357,16696,65,4039,2625,0,0,0,102,12947,13205,0,0,0,3,4042,121,0,0,0,78,12352,9635,0,0,0,1,4092,41,0,0,0,84,9050,7602,0,0,0,7,4249,278,0,0,0,87,10676,9330,0,0,0,10,4267,423,0,0,0,50,11019,5545,0,0,0,8,4093,335,0,0,0,41,10295,4190,0,0,0,5,4098,214,0,0,0,58,11173,6523,0,3388,1,19,4094,792,0,0,0,43,9772,4162,0,0,0
대전광역시,6,4696,282,0,0,0,99,9312,9219,26,4413,1147,0,0,0,78,9510,7418,4,4851,194,0,0,0,83,9052,7513,32,4604,1473,0,0,0,91,9303,8466,22,4529,996,0,0,0,96,10597,10173,11,4472,492,0,0,0,53,10131,5369,3,4986,150,0,0,0,90,9390,8451,6,4698,282,0,0,0,63,8756,5516,1,4990,50,0,0,0,119,9325,11097,6,4312,259,0,0,0,102,9671,9864,17,3738,635,0,0,0,59,7069,4171,35,3982,1394,0,0,0,91,10913,9931,0,0,0,0,0,0,76,8286,6297,1,3084,31,0,0,0,79,10743,8487,0,0,0,0,0,0,63,11096,6991,0,0,0,0,0,0,0,0,0,58,12194,7073,0,0,0,1,1943,19,0,0,0,45,8818,3968,0,0,0,0,1799,5,0,0,0,66,9142,6064,0,0,0,0,1839,8,0,0,0,54,11708,6316,0,0,0,0,1796,5,0,0,0,36,9764,3517,0,0,0,8,1796,145,0,0,0,43,9754,4230,0,0,0,9,1796,154,0,0,0,59,8143,4821,0,0,0
울산광역시,61,4410,2690,0,0,0,91,10382,9448,49,3500,1715,0,0,0,110,12067,13274,58,5219,3027,0,0,0,102,8939,9118,48,4406,2115,0,0,0,74,10195,7544,89,3713,3305,0,0,0,86,11693,10056,62,4379,2715,0,0,0,70,10607,7425,72,4300,3096,0,0,0,109,10752,11720,76,4330,3291,0,0,0,141,9767,13772,16,4249,680,0,0,0,143,11591,16575,54,4320,2333,0,0,0,129,11917,15373,18,4477,806,0,0,0,148,8294,12276,23,4589,1055,0,0,0,172,11783,20267,9,2491,224,0,0,0,92,10685,9831,4,2439,98,0,0,0,175,10453,18292,4,3290,132,0,0,0,106,11952,12669,0,0,0,8,4478,358,0,0,0,101,12071,12192,0,0,0,2,5227,105,0,0,0,53,10545,5589,0,0,0,8,4757,391,0,0,0,88,9643,8483,0,0,0,10,5000,478,0,0,0,100,10973,10994,0,0,0,13,5000,650,0,0,0,58,9717,5675,0,0,0,6,5000,281,0,0,0,68,10131,6919,0,0,0,10,5000,503,0,0,0,85,7767,6577,0,0,0
세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,2,3416,68,0,0,0,47,10757,5056,0,0,0,0,0,0,0,0,0,35,10983,3848,0,0,0,4,3465,130,0,0,0,35,10951,3812,0,0,0,1,4053,44,0,0,0,37,10362,3865,0,0,0,2,4045,95,0,0,0,36,8401,3017,0,0,0,12,4047,487,0,0,0,50,9598,4839,0,0,0
