거래년월일,자동차용 경유 가격 (원),전월비(%),평균,거래량
2000-01-01,583.35,4.0,5600.0,102285.0
2000-01-02,583.35,4.0,5600.0,102285.0
2000-01-03,583.35,4.0,5600.0,102285.0
2000-01-04,583.35,4.0,5600.0,715338.0
2000-01-05,583.35,4.0,5620.0,340568.0
2000-01-06,583.35,4.0,5700.0,290180.0
2000-01-07,583.35,4.0,5670.0,536736.0
2000-01-08,583.35,4.0,5770.0,432062.0
2000-01-09,583.35,4.0,5790.0,369502.0
2000-01-10,583.35,4.0,5790.0,369502.0
2000-01-11,583.35,4.0,5740.0,551339.0
2000-01-12,583.35,4.0,5630.0,590276.0
2000-01-13,583.35,4.0,5630.0,242249.0
2000-01-14,583.35,4.0,5630.0,464469.0
2000-01-15,583.35,4.0,5630.0,177652.0
2000-01-16,583.35,4.0,5630.0,320955.0
2000-01-17,583.35,4.0,5630.0,320955.0
2000-01-18,583.35,4.0,5650.0,493542.0
2000-01-19,583.35,4.0,5650.0,616779.0
2000-01-20,583.35,4.0,5850.0,155360.0
2000-01-21,583.35,4.0,5850.0,232952.0
2000-01-22,583.35,4.0,5850.0,247652.0
2000-01-23,583.35,4.0,5890.0,687066.0
2000-01-24,583.35,4.0,5890.0,687066.0
2000-01-25,583.35,4.0,5910.0,767691.0
2000-01-26,583.35,4.0,5930.0,604921.0
2000-01-27,583.35,4.0,6010.0,141092.0
2000-01-28,583.35,4.0,6190.0,278741.0
2000-01-29,583.35,4.0,6450.0,581992.0
2000-01-30,583.35,4.0,6620.0,30600.0
2000-01-31,583.35,4.0,6620.0,453482.0
2000-02-01,578.77,2.0,6690.0,677131.0
2000-02-02,578.77,2.0,6810.0,205671.0
2000-02-03,578.77,2.0,6830.0,119250.0
2000-02-04,578.77,2.0,6830.0,56204.0
2000-02-05,578.77,2.0,6830.0,60.0
2000-02-06,578.77,2.0,6830.0,469074.0
2000-02-07,578.77,2.0,6830.0,469074.0
2000-02-08,578.77,2.0,6970.0,469074.0
2000-02-09,578.77,2.0,7230.0,56344.0
2000-02-10,578.77,2.0,7790.0,109754.0
2000-02-11,578.77,2.0,8240.0,496818.0
2000-02-12,578.77,2.0,8690.0,633691.0
2000-02-13,578.77,2.0,8390.0,652623.0
2000-02-14,578.77,2.0,8390.0,652623.0
2000-02-15,578.77,2.0,8330.0,705475.0
