일시,일반겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
2000,6320,5120,323584
2001,8560,5254,449742
2002,6807,5023,341916
2003,9435,5109,482034
2004,6784,5831,395575
2005,9442,5367,506752
2006,8218,5781,475083
2007,6635,5938,393986
2008,7160,5687,407189
2009,5719,5712,326669
2010,6424,5684,365140
2011,6202,5236,324737
2012,4563,4709,214872
2013,4239,4728,200420
2014,973,4932,47988
2015,1136,4895,55607
2016,482,4622,22278
2017,1499,4685,70222
2018,1485,4446,66022
2019,1190,6638,79004
2020,1251,6227,77883
2021,1250,5839,72993
