error_code,item,0
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/09', 'price': '9,600'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/10', 'price': '9,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/11', 'price': '9,600'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/12', 'price': '9,600'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/13', 'price': '9,800'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/16', 'price': '9,200'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/17', 'price': '10,000'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/18', 'price': '10,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/19', 'price': '10,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/20', 'price': '10,600'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/23', 'price': '10,000'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/24', 'price': '10,000'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/25', 'price': '9,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/26', 'price': '8,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/27', 'price': '9,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/30', 'price': '9,000'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '05/31', 'price': '9,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/02', 'price': '10,000'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/03', 'price': '10,000'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/07', 'price': '10,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/08', 'price': '10,200'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/09', 'price': '9,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/10', 'price': '9,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/13', 'price': '9,200'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/14', 'price': '10,600'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/15', 'price': '10,600'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/16', 'price': '10,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/17', 'price': '10,600'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/20', 'price': '9,600'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/21', 'price': '10,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/22', 'price': '10,800'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/23', 'price': '11,400'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/24', 'price': '10,600'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/27', 'price': '9,600'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/28', 'price': '9,000'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/29', 'price': '8,600'}",
000,"{'itemname': [], 'kindname': [], 'countyname': '평균', 'marketname': [], 'yyyy': '2022', 'regday': '06/30', 'price': '12,000'}",
