일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,9.1,18.3,-2.5,48.1,495.9
2000,13.2,21.4,2.8,65.4,539.21
2000,17.3,29.1,10.7,72.0,607.84
2001,9.6,22.7,-3.3,6.1,439.57
2001,15.0,25.3,3.8,42.4,539.17
2001,19.0,29.6,11.1,57.8,534.76
2002,10.7,21.1,0.1,117.1,468.69
2002,14.4,23.6,6.6,384.8,476.25
2002,17.0,27.7,10.3,122.6,526.78
2003,8.6,18.3,-1.5,77.5,381.61
2003,13.8,24.1,5.6,232.0,416.69
2003,16.9,24.7,7.8,418.5,486.33
2004,8.8,20.9,-5.0,48.1,467.63
2004,14.0,24.7,4.7,215.0,532.49
2004,17.3,25.3,11.4,210.6,466.64
2005,7.1,20.0,-4.9,142.4,496.36
2005,14.0,23.7,4.3,118.9,571.74
2005,17.1,25.5,9.1,168.0,688.4
2006,8.0,18.7,-6.5,24.7,499.11
2006,12.2,21.2,4.5,166.3,476.6
2006,16.3,25.3,8.2,257.6,531.24
2007,9.1,20.0,-3.6,75.5,452.52
2007,13.2,23.5,4.0,65.5,587.97
2007,17.8,28.0,10.9,116.6,698.64
2008,9.5,18.2,1.0,73.7,516.05
2008,13.9,21.3,6.9,80.5,604.44
2008,17.4,27.3,9.6,191.3,638.56
2009,9.8,20.0,-0.6,72.7,487.61
2009,14.3,23.3,3.3,95.5,605.99
2009,18.6,26.9,12.5,173.4,660.86
2010,7.8,18.5,-2.5,132.9,351.95
2010,11.5,21.0,1.9,146.3,481.21
2010,17.2,27.8,8.5,186.8,589.84
2011,7.4,20.1,-2.5,31.2,560.87
2011,13.1,21.4,5.3,100.0,583.48
2011,17.3,24.2,11.7,170.0,531.54
2012,8.3,19.7,-3.6,173.9,411.27
2012,14.0,23.3,2.1,213.8,535.26
2012,18.9,28.2,11.4,36.1,590.19
2013,10.2,19.3,-2.0,93.7,491.73
2013,12.6,23.4,3.5,136.2,533.17
2013,18.2,28.1,10.0,201.0,626.0
2014,9.8,21.6,-0.6,136.7,429.81
2014,14.6,23.9,4.1,147.8,519.02
2014,18.7,27.7,10.4,145.9,680.82
2015,9.5,20.9,-4.1,76.5,518.86
2015,13.9,23.9,5.9,268.0,444.07
2015,18.8,30.2,12.3,183.0,644.85
2016,9.9,19.6,-4.3,133.5,447.31
2016,15.1,24.2,8.0,198.5,495.68
2016,19.3,30.5,11.5,108.8,611.92
2017,9.0,18.1,-2.3,35.7,476.77
2017,15.0,23.2,5.0,105.1,553.35
2017,19.0,28.2,12.8,39.2,672.18
2018,10.0,22.3,-0.7,206.1,325.17
2018,14.5,24.3,3.0,156.4,421.12
2018,17.8,26.6,9.8,155.8,265.31
2019,10.5,21.0,0.5,75.4,547.76
2019,13.4,23.4,2.1,85.0,535.46
2019,19.3,30.1,11.0,76.1,749.14
2020,10.4,18.2,-0.3,58.8,534.87
2020,12.6,24.4,4.4,83.5,649.75
2020,17.9,26.0,12.2,96.2,645.68
2021,11.4,21.6,1.6,127.5,515.26
2021,14.7,26.5,6.3,107.1,646.07
2021,17.7,26.5,8.6,139.2,585.96
