일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,17.3,29.1,10.7,72.0,607.84
2000,20.4,28.6,14.8,93.7,535.18
2000,25.3,31.7,18.4,337.4,497.81
2001,19.0,29.6,11.1,57.8,534.76
2001,21.6,29.5,15.5,274.9,467.27
2001,26.0,33.3,19.2,271.5,529.31
2002,17.0,27.7,10.3,122.6,526.78
2002,20.9,29.2,13.7,76.0,606.62
2002,24.0,32.1,19.4,304.6,511.49
2003,16.9,24.7,7.8,418.5,486.33
2003,20.8,27.2,14.3,355.0,459.6
2003,21.3,28.7,17.1,657.7,310.92
2004,17.3,25.3,11.4,210.6,466.64
2004,21.0,28.6,13.5,189.1,529.41
2004,24.2,33.2,18.3,91.7,535.65
2005,17.1,25.5,9.1,168.0,688.4
2005,21.0,29.4,13.5,145.0,543.74
2005,23.8,31.2,17.4,314.4,469.92
2006,16.3,25.3,8.2,257.6,531.24
2006,20.3,28.6,13.4,175.4,571.09
2006,22.6,32.2,16.8,591.7,341.26
2007,17.8,28.0,10.9,116.6,698.64
2007,20.5,26.8,14.9,94.5,532.76
2007,22.8,31.5,18.1,301.5,471.89
2008,17.4,27.3,9.6,191.3,638.56
2008,19.7,26.5,14.1,186.5,460.38
2008,25.6,31.4,18.6,107.1,589.1
2009,18.6,26.9,12.5,173.4,660.86
2009,21.4,29.8,15.8,187.9,626.87
2009,23.3,29.0,18.4,886.1,429.28
2010,17.2,27.8,8.5,186.8,589.84
2010,22.0,29.0,12.4,94.4,594.17
2010,25.2,32.4,20.2,291.9,545.63
2011,17.3,24.2,11.7,170.0,531.54
2011,21.3,27.8,15.2,243.2,502.96
2011,25.1,33.0,19.4,418.1,569.69
2012,18.9,28.2,11.4,36.1,590.19
2012,21.6,27.8,15.9,97.8,490.71
2012,25.5,33.1,20.2,502.0,545.72
2013,18.2,28.1,10.0,201.0,626.0
2013,21.9,27.8,15.5,159.0,510.37
2013,26.1,31.9,21.8,131.0,539.38
2014,18.7,27.7,10.4,145.9,680.82
2014,21.4,29.9,16.5,44.5,484.4
2014,24.8,32.9,19.3,169.3,513.76
2015,18.8,30.2,12.3,183.0,644.85
2015,21.0,28.1,13.7,69.2,462.18
2015,23.9,31.9,18.4,176.7,487.4
2016,19.3,30.5,11.5,108.8,611.92
2016,21.9,28.7,15.7,115.2,470.74
2016,25.3,32.7,19.5,188.8,548.38
2017,19.0,28.2,12.8,39.2,672.18
2017,21.3,30.4,15.4,49.8,636.71
2017,26.1,32.7,21.2,172.1,553.72
2018,17.8,26.6,9.8,155.8,265.31
2018,21.5,31.3,15.1,276.7,563.45
2018,26.7,35.4,17.8,122.1,446.43
2019,19.3,30.1,11.0,76.1,749.14
2019,21.1,29.7,15.5,324.3,620.06
2019,24.3,30.9,19.8,358.9,544.77
2020,17.9,26.0,12.2,96.2,645.68
2020,22.4,30.7,16.8,321.1,660.4
2020,22.1,30.6,17.8,796.8,393.46
2021,17.7,26.5,8.6,139.2,585.96
2021,21.9,30.9,16.6,232.3,630.93
2021,26.3,32.4,20.8,399.9,603.76
