일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,12.1,23.0,2.0,72.2,272.18
2000,7.3,18.0,-5.2,2.7,259.92
2001,2.7,12.0,-10.3,60.4,252.2
2001,11.4,23.0,-0.3,12.9,332.15
2001,4.8,17.5,-2.3,28.7,288.4
2002,4.8,16.8,-6.2,84.8,336.57
2002,8.8,21.0,0.8,11.2,349.7
2002,6.5,16.9,-4.1,79.8,283.09
2003,2.5,13.0,-8.7,23.3,334.48
2003,13.1,25.6,0.4,57.5,221.16
2003,5.2,16.5,-4.6,14.4,275.96
2004,2.8,13.1,-10.5,1.4,301.39
2004,12.5,22.2,2.8,32.0,329.49
2004,7.4,19.4,-3.2,26.1,272.51
2005,2.0,12.9,-7.6,15.7,319.14
2005,11.6,24.5,2.8,30.9,343.23
2005,1.2,15.4,-10.6,3.0,319.21
2006,3.9,14.2,-6.3,24.4,256.17
2006,13.1,24.2,3.8,30.5,293.32
2006,6.6,17.1,-7.4,7.5,292.99
2007,5.2,14.9,-2.6,4.6,316.8
2007,11.9,22.1,-0.1,0.0,360.94
2007,7.3,17.0,-1.6,46.0,286.63
2008,4.7,14.0,-5.2,35.7,299.98
2008,11.6,21.3,-0.9,22.0,300.42
2008,6.6,18.8,-6.1,9.5,304.43
2009,3.5,12.7,-7.6,17.0,318.19
2009,11.1,24.1,-0.1,69.0,264.94
2009,5.4,17.2,-6.0,13.1,280.98
2010,3.0,15.6,-7.2,37.6,322.49
2010,11.3,21.0,1.8,2.0,344.48
2010,5.2,19.3,-8.1,38.5,274.26
2011,-0.7,9.5,-12.8,0.0,352.01
2011,14.1,24.6,0.9,128.7,247.34
2011,4.4,15.3,-5.6,7.2,283.1
2012,2.8,13.7,-6.5,19.5,296.48
2012,10.1,19.6,0.6,83.5,307.3
2012,2.9,14.7,-7.7,162.7,259.27
2013,2.5,13.3,-8.1,22.5,311.25
2013,10.9,23.8,-0.8,61.6,334.19
2013,5.4,14.5,-4.0,12.6,287.68
2014,5.0,15.5,-5.4,9.6,327.61
2014,12.7,21.6,1.8,40.5,293.04
2014,3.5,15.2,-6.0,21.3,292.55
2015,4.7,13.9,-4.9,50.7,302.41
2015,13.6,23.6,1.1,124.1,226.31
2015,7.9,17.3,-2.5,51.5,256.65
2016,3.1,16.6,-10.2,59.5,286.39
2016,11.8,20.8,0.1,56.6,272.68
2016,7.3,17.6,-3.2,103.8,271.89
2017,4.1,15.1,-7.7,12.0,320.0
2017,11.2,23.6,-1.0,0.3,279.14
2017,3.6,14.5,-6.1,10.6,304.82
2018,1.9,14.0,-9.9,40.9,311.47
2018,12.4,22.5,2.7,107.3,334.54
2018,5.7,18.8,-7.1,59.0,292.19
2019,4.5,13.7,-4.4,12.7,358.64
2019,13.0,24.0,2.0,13.8,341.34
2019,7.0,16.6,-2.8,50.3,300.64
2020,6.4,17.7,-3.2,127.7,283.59
2020,12.4,23.3,1.1,36.3,339.04
2020,4.3,15.0,-8.0,10.2,330.87
2021,3.3,15.7,-12.2,25.8,318.28
2021,12.5,22.3,3.6,57.9,359.73
2021,6.0,17.8,-8.6,4.5,339.36
