일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,25.6,35.4,19.1,260.5,438.38
2000,19.1,31.5,9.0,260.8,365.085
2000,12.9,27.5,-1.5,25.5,376.315
2001,25.6,35.2,14.4,82.6,540.58
2001,20.5,32.4,4.7,13.8,496.705
2001,14.1,25.2,3.6,82.1,347.62
2002,23.4,33.3,17.0,653.0,267.125
2002,19.0,30.9,9.1,92.6,390.37
2002,10.5,23.5,-4.4,52.2,372.65
2003,24.0,32.8,15.1,314.7,367.515
2003,20.5,30.0,9.1,268.1,364.27
2003,11.8,27.2,-1.1,27.5,426.255
2004,25.6,36.3,17.3,192.2,475.54
2004,20.5,31.1,11.1,144.1,388.015
2004,12.8,26.1,0.3,1.4,428.33
2005,24.8,35.3,16.5,226.1,435.0
2005,21.2,32.8,10.7,320.0,369.13
2005,12.5,25.6,-0.8,63.4,360.64
2006,26.1,35.0,18.2,71.5,550.165
2006,19.0,30.6,8.1,21.7,430.77
2006,15.2,27.3,2.7,23.1,399.385
2007,25.8,33.8,15.9,366.0,438.545
2007,21.1,33.4,12.2,332.7,292.27
2007,13.8,26.9,-0.4,32.8,371.425
2008,24.8,35.4,14.8,192.5,537.15
2008,20.8,32.4,6.6,71.1,444.275
2008,14.1,28.3,1.5,16.0,381.57
2009,24.7,34.1,14.6,142.5,469.58
2009,20.2,30.4,12.2,70.6,455.02
2009,13.5,27.2,2.5,45.0,386.735
2010,26.8,35.1,21.6,345.1,426.63
2010,21.1,33.5,6.8,287.8,410.485
2010,13.1,24.6,-3.7,21.0,381.65
2011,25.5,34.6,17.2,289.4,401.445
2011,20.0,32.2,7.2,158.6,441.47
2011,12.0,22.7,-1.0,61.5,390.615
2012,26.5,36.9,17.9,403.3,434.535
2012,19.6,30.8,7.6,177.2,402.89
2012,12.6,24.8,0.7,62.0,313.24
2013,26.6,34.2,17.7,222.2,541.595
2013,20.3,30.7,8.1,122.2,406.085
2013,14.0,27.6,1.0,12.1,390.76
2014,23.8,34.6,16.6,284.3,393.75
2014,20.4,31.0,9.5,122.7,444.04
2014,13.1,27.2,0.9,153.8,391.6
2015,25.3,36.1,16.2,71.8,518.39
2015,19.9,30.3,9.9,33.8,465.46
2015,13.4,26.7,-3.4,60.2,406.04
2016,26.8,36.7,13.8,44.0,554.565
2016,21.5,31.7,9.9,60.8,355.28
2016,14.8,29.0,-0.9,102.6,293.935
2017,25.1,36.3,13.4,257.9,481.075
2017,19.6,29.6,7.1,62.4,470.455
2017,14.3,27.4,-2.4,21.2,355.225
2018,27.6,40.0,17.6,353.3,541.875
2018,19.9,29.8,7.3,184.9,440.48
2018,11.1,25.8,-1.3,96.0,415.97
2019,26.0,35.5,16.6,102.6,580.365
2019,21.1,31.5,10.8,165.9,403.115
2019,14.2,27.0,1.1,59.0,402.255
2020,26.1,34.5,20.7,505.6,491.105
2020,19.6,30.2,10.1,146.4,450.815
2020,11.8,24.6,-1.5,10.7,439.525
2021,24.4,34.9,17.8,239.9,445.145
2021,21.0,29.1,12.7,240.3,426.565
2021,13.8,30.1,-1.3,45.5,407.2
2000,26.1,33.5,19.2,390.4,443.55
2000,19.7,29.3,10.5,244.6,350.75
2000,14.4,26.9,0.5,32.1,354.18
2001,25.8,34.3,17.0,135.5,526.83
2001,21.5,31.0,9.2,11.8,487.41
2001,15.5,24.7,6.2,75.9,330.72
2002,24.2,33.6,19.0,482.4,317.22
2002,20.5,30.3,11.2,90.5,434.54
2002,12.2,24.4,-1.5,58.0,371.78
2003,24.1,32.0,16.8,293.9,359.49
2003,20.8,29.4,11.2,150.6,364.51
2003,13.4,25.9,1.3,32.5,422.68
2004,25.8,33.6,18.9,247.6,508.78
2004,21.4,30.0,13.2,139.0,428.79
2004,14.7,25.9,1.4,2.0,433.72
2005,25.4,34.0,18.3,334.7,441.67
2005,22.4,32.3,13.6,295.5,404.79
2005,14.4,25.8,0.7,54.6,382.27
2006,26.9,34.2,19.9,52.0,577.61
2006,20.2,29.9,10.2,18.4,462.15
2006,17.3,27.4,4.2,21.3,403.12
2007,26.6,33.5,19.2,385.5,450.28
2007,21.7,33.2,12.8,391.4,313.3
2007,15.4,26.8,2.4,43.5,389.2
2008,25.7,35.1,17.4,195.5,535.47
2008,22.5,31.9,9.3,92.6,448.82
2008,16.0,28.9,5.5,13.1,355.07
2009,25.6,33.5,16.6,187.5,466.24
2009,21.7,31.5,14.0,49.5,415.38
2009,15.9,28.6,6.1,49.5,324.88
2010,28.0,35.7,22.9,433.2,418.0
2010,22.8,34.3,7.5,278.6,399.83
2010,14.8,25.4,-1.1,17.1,360.71
2011,26.1,35.0,17.7,290.2,411.12
2011,21.3,32.4,11.3,182.5,436.82
2011,13.6,22.9,1.1,34.5,376.31
2012,27.3,36.4,18.7,479.5,448.5
2012,21.1,31.5,11.1,162.5,378.32
2012,14.8,25.7,3.0,61.2,324.64
