일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,4.6,20.7,-8.9,14.5,486.28
2000,10.1,23.2,-2.7,42.5,525.325
2000,16.3,32.4,3.6,54.0,555.795
2001,4.3,23.6,-7.7,8.3,472.005
2001,12.7,28.1,-3.4,12.0,601.045
2001,18.9,31.2,5.5,4.6,629.745
2002,6.6,21.0,-6.3,28.5,464.895
2002,12.9,29.3,0.0,151.2,408.5
2002,17.0,27.8,4.5,105.0,430.925
2003,4.7,19.0,-7.2,58.2,414.07
2003,12.0,26.3,-0.7,170.8,465.05
2003,18.4,30.6,3.5,117.8,575.485
2004,5.4,21.7,-13.9,29.4,484.64
2004,12.6,28.6,-1.2,81.0,559.61
2004,17.8,30.8,4.0,124.9,533.05
2005,4.0,19.0,-7.6,43.1,505.255
2005,13.0,33.5,-0.3,63.1,558.08
2005,16.8,31.1,3.8,53.9,645.77
2006,4.5,18.4,-9.7,5.9,479.96
2006,10.5,23.5,-0.3,91.8,435.83
2006,16.9,29.5,5.3,95.1,557.9
2007,5.5,19.1,-8.0,112.7,382.87
2007,10.9,27.3,-1.8,18.3,539.7
2007,17.5,30.4,6.8,116.5,613.225
2008,6.2,21.9,-4.9,43.1,452.275
2008,12.9,28.6,-0.9,31.5,533.255
2008,17.3,31.7,4.2,70.9,640.81
2009,6.1,23.9,-6.0,52.0,467.825
2009,11.9,30.2,-1.1,30.7,539.355
2009,18.1,30.6,6.0,97.1,618.89
2010,4.3,17.4,-5.4,85.3,343.625
2010,9.4,24.5,-2.7,69.5,494.85
2010,17.2,31.1,1.5,97.0,616.575
2011,3.2,19.2,-7.7,30.6,536.77
2011,10.6,24.5,-0.7,157.8,528.585
2011,17.6,28.3,5.9,187.7,553.155
2012,5.1,19.4,-7.5,66.4,408.86
2012,12.8,29.3,-1.9,84.5,519.835
2012,18.5,29.6,7.0,61.0,613.21
2013,5.2,25.1,-6.1,48.0,398.525
2013,9.7,27.6,-1.9,84.7,394.415
2013,18.0,32.0,5.0,92.5,505.52
2014,6.9,25.0,-7.1,37.7,472.395
2014,13.1,26.9,-1.1,39.6,553.885
2014,18.5,34.7,3.6,26.3,750.62
2015,5.6,23.3,-8.5,31.7,514.08
2015,12.5,27.4,1.3,88.9,433.3
2015,18.5,32.5,4.1,23.0,679.305
2016,6.4,21.0,-12.4,11.9,469.825
2016,14.1,29.9,1.8,97.3,502.705
2016,18.8,32.0,6.2,70.0,669.655
2017,5.5,19.6,-6.8,22.5,478.375
