일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,16.3,32.4,3.6,54.0,555.795
2000,21.2,32.1,12.0,248.5,519.9
2000,26.0,35.1,17.5,259.5,530.525
2000,25.6,35.4,19.1,260.5,438.38
2000,19.1,31.5,9.0,260.8,365.085
2001,18.9,31.2,5.5,4.6,629.745
2001,22.4,33.6,9.3,238.9,460.215
2001,26.0,34.4,17.5,241.6,527.685
2001,25.6,35.2,14.4,82.6,540.58
2001,20.5,32.4,4.7,13.8,496.705
2002,17.0,27.8,4.5,105.0,430.925
2002,21.0,31.9,8.7,74.7,481.415
2002,24.8,34.9,17.5,190.2,399.225
2002,23.4,33.3,17.0,653.0,267.125
2002,19.0,30.9,9.1,92.6,390.37
2003,18.4,30.6,3.5,117.8,575.485
2003,21.4,31.4,11.2,152.1,462.775
2003,23.5,32.8,15.1,382.8,351.565
2003,24.0,32.8,15.1,314.7,367.515
2003,20.5,30.0,9.1,268.1,364.27
2004,17.8,30.8,4.0,124.9,533.05
2004,23.0,33.9,9.9,335.0,507.565
2004,25.7,36.1,19.2,410.7,455.125
2004,25.6,36.3,17.3,192.2,475.54
2004,20.5,31.1,11.1,144.1,388.015
2005,16.8,31.1,3.8,53.9,645.77
2005,22.7,32.7,10.8,178.7,553.115
2005,25.1,34.9,18.1,381.6,453.875
2005,24.8,35.3,16.5,226.1,435.0
2005,21.2,32.8,10.7,320.0,369.13
2006,16.9,29.5,5.3,95.1,557.9
2006,21.1,32.5,12.5,128.5,549.92
2006,22.6,32.0,17.5,666.9,300.6
2006,26.1,35.0,18.2,71.5,550.165
2006,19.0,30.6,8.1,21.7,430.77
2007,17.5,30.4,6.8,116.5,613.225
2007,22.1,33.7,11.1,90.1,519.355
2007,23.8,31.7,17.4,282.7,403.245
2007,25.8,33.8,15.9,366.0,438.545
2007,21.1,33.4,12.2,332.7,292.27
2008,17.3,31.7,4.2,70.9,640.81
2008,21.4,31.0,10.3,78.1,496.305
2008,26.1,34.5,19.1,319.8,505.78
2008,24.8,35.4,14.8,192.5,537.15
2008,20.8,32.4,6.6,71.1,444.275
2009,18.1,30.6,6.0,97.1,618.89
2009,22.3,33.6,9.8,89.5,605.93
2009,23.9,31.8,17.2,316.2,442.31
2009,24.7,34.1,14.6,142.5,469.58
2009,20.2,30.4,12.2,70.6,455.02
2010,17.2,31.1,1.5,97.0,616.575
2010,22.9,32.6,9.1,50.6,612.08
2010,25.7,33.9,19.1,112.2,481.375
2010,26.8,35.1,21.6,345.1,426.63
2010,21.1,33.5,6.8,287.8,410.485
2011,17.6,28.3,5.9,187.7,553.155
2011,22.3,32.5,12.5,452.6,561.97
2011,25.4,34.4,18.2,603.9,420.245
2011,25.5,34.6,17.2,289.4,401.445
2011,20.0,32.2,7.2,158.6,441.47
2012,18.5,29.6,7.0,61.0,613.21
2012,23.5,33.4,13.7,58.8,560.52
2012,25.7,34.4,18.7,265.7,486.3
2012,26.5,36.9,17.9,403.3,434.535
2012,19.6,30.8,7.6,177.2,402.89
2013,18.0,32.0,5.0,92.5,505.52
2013,23.6,32.5,12.4,126.6,482.0
2013,26.2,33.1,20.2,240.7,393.42
2013,26.6,34.2,17.7,222.2,541.595
2013,20.3,30.7,8.1,122.2,406.085
2014,18.5,34.7,3.6,26.3,750.62
2014,22.7,31.1,14.7,63.3,567.07
2014,25.5,34.9,16.6,92.6,535.07
2014,23.8,34.6,16.6,284.3,393.75
2014,20.4,31.0,9.5,122.7,444.04
2015,18.5,32.5,4.1,23.0,679.305
2015,23.0,34.8,10.8,75.0,559.205
2015,25.0,34.5,14.0,181.6,480.145
2015,25.3,36.1,16.2,71.8,518.39
2015,19.9,30.3,9.9,33.8,465.46
2016,18.8,32.0,6.2,70.0,669.655
2016,23.3,32.5,11.7,38.9,570.665
2016,25.7,34.0,18.8,374.4,509.685
2016,26.8,36.7,13.8,44.0,554.565
2016,21.5,31.7,9.9,60.8,355.28
2017,18.7,31.7,5.9,32.2,670.655
2017,22.4,34.0,9.6,43.7,636.82
2017,26.3,34.2,19.2,464.3,428.255
2017,25.1,36.3,13.4,257.9,481.075
2017,19.6,29.6,7.1,62.4,470.455
2018,17.9,30.7,4.9,180.0,599.155
2018,22.7,33.3,13.0,63.7,615.095
2018,27.2,37.6,16.5,149.1,629.135
2018,27.6,40.0,17.6,353.3,541.875
2018,19.9,29.8,7.3,184.9,440.48
2019,18.3,33.5,2.7,15.4,737.19
2019,21.7,32.8,9.5,59.6,646.145
2019,25.0,34.9,15.3,161.4,526.94
2019,26.0,35.5,16.6,102.6,580.365
2019,21.1,31.5,10.8,165.9,403.115
2020,17.8,29.6,5.0,109.7,643.645
2020,23.4,34.4,11.6,112.1,616.575
2020,23.1,32.4,16.7,352.2,423.75
2020,26.1,34.5,20.7,505.6,491.105
2020,19.6,30.2,10.1,146.4,450.815
2021,16.2,30.0,3.2,178.4,561.085
2021,22.1,31.6,11.5,130.4,605.0
2021,26.4,34.7,19.8,310.7,639.565
2021,24.4,34.9,17.8,239.9,445.145
2021,21.0,29.1,12.7,240.3,426.565
2000,17.2,30.0,7.3,42.1,544.08
2000,22.7,32.9,13.4,185.7,521.74
2000,26.2,33.6,18.5,300.0,518.84
2000,26.1,33.5,19.2,390.4,443.55
2000,19.7,29.3,10.5,244.6,350.75
2001,19.7,30.6,8.8,14.3,623.35
2001,22.9,32.9,13.9,217.5,436.56
2001,26.3,33.6,19.2,171.5,494.21
2001,25.8,34.3,17.0,135.5,526.83
2001,21.5,31.0,9.2,11.8,487.41
2002,18.1,28.3,9.6,106.9,553.61
2002,22.2,31.8,12.3,57.9,583.03
2002,25.5,34.7,19.1,186.2,478.39
2002,24.2,33.6,19.0,482.4,317.22
2002,20.5,30.3,11.2,90.5,434.54
2003,19.1,29.3,5.9,113.5,601.58
2003,21.9,29.8,13.4,186.0,452.64
2003,23.4,31.0,16.4,467.2,378.3
2003,24.1,32.0,16.8,293.9,359.49
2003,20.8,29.4,11.2,150.6,364.51
2004,18.2,28.5,7.4,121.8,545.7
2004,23.1,32.4,11.6,421.5,519.73
2004,26.0,34.6,19.8,318.9,439.61
2004,25.8,33.6,18.9,247.6,508.78
2004,21.4,30.0,13.2,139.0,428.79
2005,17.9,29.2,6.8,50.7,652.33
2005,23.0,31.8,13.2,170.0,547.57
2005,25.5,34.0,18.5,373.1,450.65
2005,25.4,34.0,18.3,334.7,441.67
2005,22.4,32.3,13.6,295.5,404.79
2006,18.9,29.5,9.7,119.4,597.96
2006,22.9,31.6,15.0,115.5,564.78
2006,23.8,32.7,18.8,508.0,324.05
2006,26.9,34.2,19.9,52.0,577.61
2006,20.2,29.9,10.2,18.4,462.15
2007,18.9,29.0,9.9,145.5,639.65
2007,23.1,32.7,15.0,81.2,555.02
2007,24.7,31.9,18.7,273.2,430.11
2007,26.6,33.5,19.2,385.5,450.28
2007,21.7,33.2,12.8,391.4,313.3
2008,18.9,31.7,7.7,64.5,623.53
2008,22.1,30.8,13.3,112.0,502.84
2008,27.1,34.7,20.3,296.6,459.91
2008,25.7,35.1,17.4,195.5,535.47
2008,22.5,31.9,9.3,92.6,448.82
2009,18.8,29.8,8.1,109.6,600.61
2009,22.9,33.0,13.6,77.2,581.75
2009,24.4,32.0,18.3,345.7,419.64
2009,25.6,33.5,16.6,187.5,466.24
2009,21.7,31.5,14.0,49.5,415.38
2010,18.5,31.8,4.2,110.0,593.67
2010,24.0,32.8,12.1,42.6,578.96
2010,26.6,35.0,20.1,224.1,468.34
2010,28.0,35.7,22.9,433.2,418.0
2010,22.8,34.3,7.5,278.6,399.83
2011,19.3,29.8,9.2,116.2,536.68
2011,23.7,32.9,14.4,360.7,531.41
2011,26.1,34.9,19.7,531.9,396.95
2011,26.1,35.0,17.7,290.2,411.12
2011,21.3,32.4,11.3,182.5,436.82
2012,19.9,29.4,10.7,31.2,627.37
2012,23.8,32.6,15.5,93.7,597.52
2012,26.3,34.5,19.4,257.4,465.41
2012,27.3,36.4,18.7,479.5,448.5
