일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,4.7,21.6,-7.2,35.5,272.435
2000,-0.7,13.8,-13.1,17.5,272.865
2001,-4.4,10.1,-19.3,47.0,261.88
2001,3.8,17.1,-6.5,4.4,298.45
2001,-3.0,10.0,-13.5,10.6,273.625
2002,-1.5,13.6,-17.0,49.6,254.955
2002,2.1,19.3,-9.1,9.8,281.715
2002,-0.7,14.5,-12.3,58.6,228.2
2003,-4.9,7.8,-18.5,17.2,269.13
2003,8.4,22.9,-6.7,55.0,227.495
2003,-0.3,11.3,-11.2,17.8,243.27
2004,-3.1,9.5,-15.8,16.6,298.895
2004,7.0,23.2,-3.6,32.5,262.215
2004,0.3,16.3,-11.4,25.4,252.69
2005,-3.5,10.4,-14.4,2.8,288.665
2005,6.0,21.5,-7.0,15.7,291.065
2005,-5.9,9.2,-17.3,11.7,254.27
2006,-1.8,11.1,-14.9,27.1,244.675
2006,6.4,20.6,-5.2,53.1,243.15
2006,-0.9,12.2,-14.9,14.3,228.205
2007,-1.7,10.8,-13.1,5.5,261.43
2007,4.5,20.0,-9.3,22.0,301.645
2007,-0.1,14.7,-9.0,21.4,195.16
2008,-2.3,7.8,-13.2,29.3,249.53
2008,5.8,20.4,-10.0,10.3,262.74
2008,-0.1,14.8,-13.0,11.7,244.75
2009,-4.2,10.2,-16.8,16.7,276.9
2009,6.0,21.5,-7.9,31.2,193.71
2009,-1.6,9.6,-13.9,29.5,193.38
2010,-5.5,7.4,-21.4,44.3,239.435
2010,4.7,18.8,-7.0,14.3,312.16
2010,-1.8,12.2,-14.1,14.4,255.845
2011,-8.0,2.0,-19.3,2.7,315.15
2011,9.8,25.5,-4.8,67.0,229.47
2011,-1.7,9.2,-14.0,15.6,244.79
2012,-3.4,9.2,-13.4,9.6,265.71
2012,4.4,16.9,-5.9,48.0,201.425
2012,-5.0,8.8,-17.6,52.1,175.745
2013,-5.0,13.6,-21.7,40.5,210.15
2013,4.9,21.7,-8.0,44.0,274.07
2013,-1.0,10.0,-11.8,32.2,246.59
2014,-2.1,9.1,-13.0,14.0,293.045
2014,6.8,17.5,-4.5,23.5,249.145
2014,-3.7,9.2,-14.2,22.9,234.695
2015,-1.7,8.9,-13.8,15.6,256.87
2015,8.7,20.5,-4.9,89.9,163.175
2015,1.2,12.0,-11.8,37.5,201.325
2016,-3.2,11.4,-17.0,1.8,256.08
2016,5.9,22.5,-7.6,22.9,262.425
2016,0.6,15.6,-11.2,42.4,225.945
2017,-2.5,13.3,-16.0,18.0,276.06
2017,4.4,20.2,-9.2,17.6,290.585
2017,-2.8,10.3,-14.5,25.5,248.975
2018,-4.7,8.6,-19.2,14.3,281.44
2018,5.9,19.6,-5.6,50.0,281.06
2018,-1.8,14.5,-14.8,39.0,261.265
2019,-2.6,8.6,-13.2,4.1,301.04
2019,6.2,20.2,-5.9,84.6,275.295
2019,-0.1,13.7,-11.7,27.5,242.825
2020,0.6,13.8,-9.7,60.2,239.4
2020,6.5,23.4,-6.0,30.0,290.085
2020,-2.7,11.3,-17.0,11.1,267.93
2021,-3.6,13.3,-19.6,13.6,285.645
2021,6.4,20.5,-5.2,44.9,82.19
2021,-0.5,11.6,-15.3,5.6,239.22
2000,6.4,21.0,-5.3,37.3,253.0
2000,0.9,14.5,-11.0,18.9,254.77
2001,-3.0,7.9,-18.1,56.9,249.39
2001,6.3,17.8,-3.1,6.9,274.24
2001,-0.5,12.3,-10.0,19.5,256.28
2002,0.7,15.6,-13.1,58.7,238.73
2002,4.1,19.4,-6.7,26.3,273.96
2002,1.6,15.9,-10.0,48.0,236.83
2003,-2.9,9.7,-17.5,16.2,268.55
2003,9.3,22.5,-5.6,33.1,229.67
2003,1.0,11.2,-9.7,12.2,231.79
2004,-1.7,9.2,-15.5,12.5,298.37
2004,8.7,23.2,-2.3,34.0,254.49
2004,2.5,18.3,-8.9,38.0,249.28
2005,-1.6,10.4,-11.2,4.6,288.03
2005,8.2,22.1,-5.4,16.0,288.92
2005,-3.5,13.4,-15.0,11.3,253.02
2006,0.2,13.0,-12.5,20.0,244.65
2006,8.7,21.5,-2.1,83.4,255.15
2006,1.5,13.7,-13.3,16.7,229.67
2007,0.5,12.1,-10.1,11.2,262.0
2007,7.0,19.9,-6.6,8.8,302.37
2007,2.2,15.0,-6.3,21.9,193.99
2008,-1.0,9.3,-10.9,29.0,234.44
2008,7.0,20.9,-6.6,10.5,253.86
2008,0.9,15.1,-11.9,14.4,232.82
2009,-2.7,10.5,-13.5,17.8,270.35
2009,7.4,22.2,-4.5,43.9,131.99
2009,-0.1,11.5,-11.4,40.7,129.4
2010,-3.2,9.2,-15.1,37.8,173.54
2010,7.0,19.3,-3.8,15.7,288.06
2010,0.0,14.8,-12.4,23.8,238.48
2011,-5.9,2.9,-15.5,4.5,292.67
2011,11.2,25.1,-2.0,92.6,232.69
2011,0.0,9.8,-10.2,14.6,237.07
2012,-1.9,9.0,-10.6,17.8,260.11
2012,6.2,16.4,-3.2,52.1,195.44
2012,-3.1,9.1,-14.0,56.6,165.08
2013,-2.7,14.0,-16.9,30.5,202.36
2013,6.7,22.3,-4.8,75.0,253.39
2013,1.1,12.3,-7.9,37.3,232.5
2014,0.1,10.3,-9.7,5.9,271.36
2014,9.0,18.1,-1.1,24.8,233.4
2014,-1.2,10.2,-8.7,32.6,222.24
2015,0.3,10.0,-9.0,16.0,239.01
2015,9.6,20.3,-4.1,107.5,154.03
2015,2.5,12.8,-8.0,39.7,192.84
2016,-1.8,11.5,-16.3,5.7,245.37
2016,6.9,21.0,-4.2,26.4,253.74
2016,2.3,14.3,-7.5,40.1,211.97
2017,-0.8,12.8,-11.1,12.0,258.24
2017,6.1,19.5,-4.6,13.7,272.04
2017,-0.6,10.5,-10.8,21.1,238.6
2018,-2.9,8.8,-15.8,17.6,255.67
2018,8.4,19.3,-1.6,45.9,278.18
2018,0.3,14.6,-11.6,28.5,260.23
2019,-0.1,8.8,-8.6,0.1,294.85
2019,8.7,20.9,-2.3,104.9,292.37
2019,2.3,14.6,-8.2,20.1,226.29
2020,2.6,13.3,-7.0,62.0,240.43
2020,8.8,21.2,-1.9,41.0,281.85
2020,0.4,12.1,-13.7,4.3,253.94
2021,-1.4,13.5,-16.3,12.7,272.83
2021,9.0,21.3,-1.2,57.3,280.14
2021,1.7,12.6,-13.4,3.7,249.96
2000,5.4,21.9,-8.1,51.0,291.87
2000,0.0,15.5,-12.0,11.1,290.96
2001,-3.7,7.5,-17.5,47.7,274.37
2001,5.5,18.5,-4.5,10.7,322.66
2001,-0.9,12.0,-12.7,24.5,290.97
2002,-0.5,14.6,-12.0,71.9,271.18
2002,3.5,20.0,-6.7,19.1,289.47
2002,1.0,12.9,-8.8,46.1,219.57
2003,-2.8,10.5,-14.0,20.9,269.71
