일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,25.2,32.7,17.7,608.1,467.45
2000,19.2,29.7,9.2,298.1,395.75
2000,13.7,26.5,-0.3,34.4,359.73
2001,25.6,35.4,16.9,136.6,552.34
2001,21.1,31.2,6.6,15.0,550.28
2001,15.0,26.0,4.5,47.5,371.71
2002,24.0,33.1,16.6,428.2,337.23
2002,20.2,31.3,10.4,57.5,444.9
2002,12.0,24.8,-1.9,78.3,397.61
2003,23.7,31.8,14.7,257.9,407.6
2003,20.5,29.0,11.3,201.9,408.12
2003,13.2,26.9,1.0,23.0,429.23
2004,26.0,37.1,16.4,131.2,545.56
2004,21.3,32.6,11.4,282.6,441.89
2004,14.2,26.1,-0.3,1.8,459.11
2005,25.0,35.2,17.4,270.5,438.71
2005,21.7,32.3,12.8,228.7,383.45
2005,13.4,24.5,-0.1,30.9,402.08
2006,26.0,33.0,20.3,58.2,581.3
2006,20.5,30.2,10.5,10.1,460.09
2006,17.2,26.8,5.4,10.5,395.44
2007,25.3,32.4,17.8,414.6,439.2
2007,20.8,29.8,11.6,305.8,319.48
2007,14.6,26.5,2.9,30.7,380.72
2008,24.4,33.5,17.4,114.2,550.98
2008,21.2,31.3,10.0,62.7,442.89
2008,15.2,28.5,4.3,34.0,365.86
2009,24.6,32.5,15.6,196.3,529.83
2009,20.5,30.5,11.4,16.0,491.78
2009,15.1,27.3,5.6,49.2,417.61
2010,25.7,31.8,19.9,707.0,446.46
2010,21.3,31.4,7.1,402.0,430.2
2010,13.7,23.6,-0.7,29.1,398.01
2011,24.5,32.9,18.1,151.2,379.33
2011,20.4,30.7,9.2,50.3,473.66
2011,13.0,23.1,0.5,18.1,396.03
2012,26.2,36.0,17.2,647.9,406.18
2012,19.8,29.9,11.1,201.5,369.25
2012,13.9,24.8,1.9,100.7,360.28
2013,26.6,33.4,17.0,120.6,517.93
2013,20.7,29.8,8.6,147.4,400.57
2013,14.8,28.1,2.2,5.7,386.92
2014,23.6,32.0,17.0,242.3,392.12
2014,20.6,29.9,12.2,106.7,430.67
2014,14.4,27.3,0.4,117.2,268.6
2015,24.9,33.7,16.7,63.1,397.7
2015,20.7,30.1,11.5,15.1,387.2
2015,14.8,25.8,0.3,73.1,306.14
2016,26.4,34.6,17.0,34.0,442.18
2016,21.7,30.4,12.9,53.1,320.72
2016,15.3,28.2,-0.5,73.8,256.81
2017,25.2,34.7,15.3,231.3,373.33
2017,20.6,30.2,7.9,37.6,388.27
2017,15.0,25.8,0.4,25.5,343.35
2018,27.4,37.1,19.1,156.8,584.81
2018,20.3,30.0,8.8,82.7,503.01
2018,12.3,24.9,0.1,153.2,431.79
2019,25.9,36.3,16.0,121.1,555.03
2019,21.6,29.3,11.1,181.1,383.57
2019,15.5,28.3,3.7,81.0,392.7
2020,26.2,34.9,21.1,400.0,399.75
2020,20.5,30.5,11.1,257.7,446.41
2020,13.3,24.1,1.8,12.6,425.32
2021,25.2,34.5,18.0,217.8,457.9
2021,21.9,29.9,13.8,206.0,447.01
2021,15.2,28.2,0.8,55.9,393.01
2016,26.7,34.9,15.3,27.3,426.11
2016,21.8,31.5,11.0,64.2,412.97
2016,15.2,28.9,-0.1,76.9,320.79
2017,25.0,35.2,14.4,290.2,456.34
2017,20.2,30.0,8.4,53.0,503.02
2017,14.3,25.8,-0.7,24.2,381.87
2018,27.6,37.0,19.5,211.3,544.58
2018,20.3,29.6,8.5,88.6,471.25
2018,12.3,25.0,-0.1,203.9,414.05
2019,25.8,34.7,16.9,150.7,580.27
2019,21.1,29.0,9.6,141.6,369.16
2019,15.0,27.4,2.9,77.0,387.08
2020,26.8,34.7,21.3,456.4,419.97
2020,20.7,29.6,10.5,251.2,446.43
2020,13.2,23.5,1.3,19.5,418.15
2021,25.0,34.3,18.3,280.8,452.0
2021,21.7,29.6,13.4,260.2,433.57
2021,15.2,29.9,0.8,41.6,384.72
2000,25.3,33.4,17.6,636.0,467.45
2000,19.0,30.2,8.8,287.5,395.75
2000,13.1,27.4,-1.3,32.0,359.73
2001,25.1,35.7,15.1,194.5,552.34
2001,20.3,31.7,5.0,12.0,550.28
2001,14.0,24.6,2.2,63.5,371.71
2002,24.0,33.9,18.3,481.5,337.23
2002,19.8,31.5,9.3,57.0,444.9
2002,11.0,26.0,-4.0,91.5,397.61
2003,22.8,32.0,13.3,334.6,407.6
2003,20.1,29.2,9.3,264.2,408.12
2003,12.2,27.1,-1.0,27.0,429.23
2004,25.2,36.7,15.3,229.3,545.56
2004,19.7,31.3,10.6,189.0,441.89
2004,13.2,25.7,-0.5,4.5,459.11
2005,24.8,36.2,16.5,202.0,438.71
