일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,3.9,17.3,-9.8,3.7,481.82
2000,9.7,21.4,-4.0,38.1,546.08
2000,15.1,29.7,4.5,62.1,552.85
2001,3.4,21.0,-8.1,12.7,471.98
2001,11.0,26.2,-3.9,18.7,575.33
2001,17.5,28.5,6.7,17.8,592.54
2002,5.8,19.3,-7.4,29.3,482.35
2002,12.3,28.0,-0.5,179.5,561.28
2002,16.3,27.8,9.1,177.3,552.56
2003,4.6,19.6,-5.6,22.5,438.69
2003,11.7,24.5,0.8,180.0,474.88
2003,18.2,30.9,4.4,105.5,614.03
2004,4.9,20.8,-8.6,15.7,514.91
2004,11.1,27.0,-2.2,80.2,578.56
2004,16.6,27.2,5.6,140.3,568.93
2005,3.3,18.8,-9.0,36.1,524.59
2005,11.4,29.8,-3.0,77.2,578.42
2005,16.3,29.4,3.6,56.1,662.72
2006,3.8,16.7,-7.4,5.0,498.84
2006,9.7,20.6,-0.6,77.3,469.22
2006,16.3,25.6,6.9,133.5,569.21
2007,5.8,17.6,-5.4,127.2,378.74
2007,10.1,21.1,-2.7,28.1,533.36
2007,16.4,27.5,7.4,108.5,599.76
2008,5.6,18.6,-5.9,26.0,458.01
2008,11.8,26.7,-1.0,46.1,529.56
2008,15.6,27.2,5.3,88.5,603.69
2009,5.6,21.3,-6.1,67.0,466.28
2009,10.9,25.3,-2.5,43.0,546.52
2009,17.3,28.8,7.2,117.9,627.4
2010,4.3,14.4,-5.8,79.2,363.83
2010,8.4,20.5,-2.8,52.2,504.06
2010,15.2,28.1,2.1,168.0,565.88
2011,3.5,14.8,-6.5,34.5,521.56
2011,9.5,18.9,-1.2,96.2,519.92
2011,16.5,28.3,5.6,107.9,557.29
2012,3.7,16.6,-6.8,41.6,415.13
2012,10.3,26.6,-3.2,113.5,515.57
2012,17.8,28.5,7.1,14.5,656.35
2013,3.8,19.5,-6.5,60.8,453.14
2013,8.6,21.1,-2.3,61.8,478.89
2013,16.3,30.8,4.4,114.9,552.22
2014,6.4,22.5,-7.3,31.2,419.05
2014,12.2,26.2,-2.2,85.6,483.31
2014,16.9,29.1,3.3,52.7,630.67
2015,4.9,21.3,-7.5,20.6,438.73
2015,11.9,25.8,1.1,116.8,392.78
2015,16.8,30.0,3.9,40.6,577.75
2016,5.9,22.8,-9.7,24.3,390.83
2016,12.5,27.8,0.4,87.0,399.34
2016,17.9,30.9,6.8,153.7,512.02
2017,4.5,17.6,-6.4,4.8,409.2
2017,12.0,25.9,-1.3,38.9,461.91
2017,17.4,28.5,6.7,27.9,545.47
2018,6.7,20.5,-7.2,76.6,466.24
2018,11.7,25.0,-1.9,132.8,559.79
2018,17.1,28.5,7.2,147.7,601.27
2019,5.8,18.1,-5.6,43.7,495.7
2019,11.0,28.5,-3.7,43.9,546.94
2019,17.3,29.2,3.2,20.1,764.29
2020,6.5,20.1,-5.5,23.0,537.7
2020,9.8,22.7,-1.6,20.7,657.93
2020,16.9,28.7,6.8,101.3,588.74
2021,7.5,23.4,-3.7,112.8,471.69
2021,12.8,28.1,0.9,110.6,556.5
2021,16.2,30.0,5.6,132.3,569.78
2016,6.4,22.7,-9.0,20.3,520.01
2016,13.2,27.7,1.4,112.0,541.42
2016,18.7,30.5,7.8,119.3,687.25
2017,5.7,17.9,-4.5,9.8,519.5
2017,13.3,27.7,-0.6,44.0,612.5
2017,18.4,29.3,8.6,30.4,710.74
2018,7.5,21.7,-6.3,70.4,458.23
2018,12.2,27.3,0.0,155.2,541.35
2018,17.6,28.5,7.7,112.7,588.34
2019,6.2,17.8,-4.7,36.6,476.18
2019,11.2,27.5,-2.5,46.6,503.99
2019,17.9,30.8,3.7,21.7,732.42
2020,6.9,20.2,-5.4,26.6,528.2
2020,10.3,24.0,-1.2,13.8,668.3
2020,17.4,27.8,8.1,91.3,592.68
