일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,15.1,29.7,4.5,62.1,552.85
2000,20.8,30.9,11.7,204.4,526.19
2000,25.0,32.2,19.2,60.8,536.4
2001,17.5,28.5,6.7,17.8,592.54
2001,21.5,31.9,12.0,200.2,432.93
2001,25.4,33.0,18.2,402.0,437.78
2002,16.3,27.8,9.1,177.3,552.56
2002,21.0,32.5,11.9,60.8,595.66
2002,24.5,35.1,17.9,296.1,481.83
2003,18.2,30.9,4.4,105.5,614.03
2003,20.8,30.5,12.0,221.8,472.73
2003,23.5,32.9,17.0,290.2,423.6
2004,16.6,27.2,5.6,140.3,568.93
2004,21.9,32.4,10.6,211.1,512.87
2004,24.8,35.0,18.7,321.9,416.69
2005,16.3,29.4,3.6,56.1,662.72
2005,21.7,30.9,12.3,147.0,490.67
2005,24.9,34.7,17.4,386.1,469.14
2006,16.3,25.6,6.9,133.5,569.21
2006,20.2,30.1,13.0,226.8,536.0
2006,22.8,30.3,16.7,494.5,342.02
2007,16.4,27.5,7.4,108.5,599.76
2007,21.3,30.5,13.6,123.5,530.43
2007,23.3,30.7,18.7,257.0,445.74
2008,15.6,27.2,5.3,88.5,603.69
2008,20.7,28.7,11.0,118.1,519.9
2008,24.6,32.0,19.4,335.5,424.9
2009,17.3,28.8,7.2,117.9,627.4
2009,20.9,31.3,11.6,74.9,573.08
2009,23.2,30.2,17.6,364.9,506.2
2010,15.2,28.1,2.1,168.0,565.88
2010,21.0,31.0,10.5,94.9,584.06
2010,24.4,30.8,17.9,447.1,507.94
2011,16.5,28.3,5.6,107.9,557.29
2011,20.3,30.8,12.1,462.6,512.41
2011,24.1,33.0,17.9,656.5,374.98
2012,17.8,28.5,7.1,14.5,656.35
2012,22.5,31.4,13.1,91.1,584.67
2012,24.9,32.9,18.0,266.8,473.11
2013,16.3,30.8,4.4,114.9,552.22
2013,22.2,31.1,11.7,94.4,545.65
2013,25.1,30.3,18.6,213.8,340.11
2014,16.9,29.1,3.3,52.7,630.67
2014,21.9,29.1,16.1,69.3,524.19
2014,24.5,33.7,18.0,151.7,462.19
2015,16.8,30.0,3.9,40.6,577.75
2015,21.3,30.0,11.3,64.1,504.14
2015,24.1,32.8,14.1,158.5,417.59
2016,17.9,30.9,6.8,153.7,512.02
2016,21.9,30.4,15.0,36.8,452.16
2016,25.2,32.4,17.4,295.6,381.47
2017,17.4,28.5,6.7,27.9,545.47
2017,21.2,31.8,10.3,23.3,504.07
2017,25.8,33.0,20.8,327.8,298.6
2018,17.1,28.5,7.2,147.7,601.27
2018,21.6,32.4,13.2,162.3,616.93
2018,26.5,36.5,18.3,152.9,647.24
2019,17.3,29.2,3.2,20.1,764.29
2019,20.9,31.1,11.1,56.3,587.13
2019,24.6,34.8,16.1,174.5,513.66
2020,16.9,28.7,6.8,101.3,588.74
2020,22.1,33.7,13.6,144.0,586.87
2020,23.0,32.1,16.4,329.4,451.99
2021,16.2,30.0,5.6,132.3,569.78
2021,21.9,32.2,11.6,70.9,592.97
2021,26.7,35.8,18.8,121.6,630.42
2016,18.7,30.5,7.8,119.3,687.25
2016,22.7,30.8,14.8,28.9,596.49
2016,25.7,33.1,18.4,178.3,502.82
2017,18.4,29.3,8.6,30.4,710.74
2017,22.1,32.8,11.5,20.5,671.97
2017,26.5,33.3,21.1,441.8,425.01
2018,17.6,28.5,7.7,112.7,588.34
2018,21.9,32.3,13.5,88.2,609.02
2018,26.6,35.6,17.8,222.3,653.91
2019,17.9,30.8,3.7,21.7,732.42
2019,21.3,31.6,12.0,46.7,614.43
2019,24.9,33.4,16.5,228.6,502.5
2020,17.4,27.8,8.1,91.3,592.68
2020,22.4,32.9,13.3,191.7,586.28
2020,23.2,32.5,16.9,353.6,418.27
2021,16.6,29.2,4.7,141.7,560.09
2021,22.2,32.1,13.2,67.5,587.46
2021,26.5,34.8,19.5,114.5,616.54
2000,15.0,28.4,3.6,36.0,552.85
2000,19.9,29.5,10.2,181.0,526.19
2000,25.3,33.2,17.0,83.0,536.4
2001,18.6,30.3,7.4,15.0,592.54
2001,22.1,32.7,11.1,227.5,432.93
2001,25.7,33.7,18.6,178.0,437.78
2002,17.3,28.7,8.3,104.0,552.56
2002,21.4,32.0,9.6,54.0,595.66
2002,25.0,34.7,17.2,229.5,481.83
2003,18.1,28.3,5.0,106.0,614.03
2003,21.0,30.2,11.0,178.6,472.73
2003,22.7,31.5,15.1,381.2,423.6
2004,17.1,28.1,5.4,127.6,568.93
2004,21.7,32.5,9.5,235.0,512.87
2004,24.7,34.7,17.8,365.2,416.69
2005,17.0,30.6,4.6,48.0,662.72
2005,22.5,32.4,12.6,183.0,490.67
2005,25.2,35.4,18.1,313.8,469.14
2006,17.8,29.3,7.0,79.0,569.21
2006,20.7,30.3,12.1,120.0,536.0
2006,22.3,30.8,16.6,535.1,342.02
2007,17.5,28.8,7.5,126.2,599.76
2007,22.1,32.0,13.6,106.7,530.43
2007,23.9,31.6,16.8,215.6,445.74
2008,17.6,29.5,6.3,62.6,603.69
2008,21.1,29.4,12.7,126.7,519.9
2008,25.8,33.4,19.2,287.2,424.9
