일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,5.8,19.8,-6.0,24.8,258.56
2000,0.6,14.0,-10.4,24.4,252.52
2001,-3.8,6.0,-18.7,66.9,265.61
2001,6.1,16.5,-5.3,8.2,302.79
2001,-0.7,12.8,-9.3,20.8,273.88
2002,0.3,17.7,-12.7,22.5,271.35
2002,3.7,17.8,-6.2,36.3,269.51
2002,1.1,15.5,-10.5,14.8,242.38
2003,-3.5,8.8,-18.1,20.9,281.26
2003,8.9,22.3,-5.5,53.6,239.48
2003,1.0,12.3,-9.4,17.1,243.09
2004,-1.8,9.8,-13.3,27.3,293.07
2004,8.1,25.3,-2.8,70.5,268.9
2004,2.1,18.2,-8.6,32.0,262.31
2005,-2.0,10.0,-11.1,10.4,289.29
2005,7.5,23.7,-5.1,19.6,301.76
2005,-3.4,13.4,-15.9,37.6,251.01
2006,-0.8,11.1,-12.0,29.7,250.55
2006,8.7,20.7,-2.7,55.0,252.76
2006,1.9,14.6,-9.6,19.7,226.03
2007,0.2,11.0,-9.0,13.0,255.74
2007,6.5,20.7,-4.1,14.4,290.3
2007,1.6,13.6,-6.1,22.8,194.77
2008,-2.5,7.1,-13.1,15.0,262.63
2008,7.6,19.5,-4.2,34.6,246.49
2008,2.3,14.3,-10.4,27.9,226.91
2009,-1.5,11.0,-13.9,15.2,275.46
2009,7.9,20.6,-3.7,59.1,227.2
2009,0.6,11.6,-11.5,44.3,205.69
2010,-2.7,10.9,-13.2,55.5,253.37
2010,7.0,16.7,-3.7,12.0,286.12
2010,0.8,15.6,-12.5,36.4,240.25
2011,-5.1,3.4,-14.7,8.8,309.14
2011,11.2,25.4,-0.9,48.9,238.59
2011,0.7,10.5,-10.2,13.6,231.29
2012,-2.4,7.5,-12.1,15.1,255.59
2012,6.0,16.4,-3.5,82.1,224.59
2012,-2.7,8.1,-15.1,65.4,209.03
2013,-2.8,14.1,-16.6,36.8,227.57
2013,6.3,21.3,-5.4,64.9,228.1
2013,0.5,12.1,-7.7,32.8,201.33
2014,-0.8,9.9,-11.1,7.0,242.59
2014,8.2,20.3,-2.9,37.8,212.7
2014,-1.4,9.9,-10.5,81.6,185.22
2015,-0.4,11.0,-10.1,20.7,221.31
