일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,19.5,33.6,9.3,53.2,582.23
2000,23.3,35.0,13.1,133.4,511.27
2000,26.9,34.8,19.2,259.8,537.9
2001,20.5,31.6,8.7,61.1,606.41
2001,23.9,33.0,15.5,282.9,499.36
2001,27.7,35.8,19.5,120.9,558.82
2002,18.5,30.3,8.1,94.2,561.45
2002,23.3,35.4,11.2,23.3,593.04
2002,26.1,35.4,19.0,169.4,463.52
2003,18.5,29.1,4.6,233.7,543.9
2003,22.2,30.9,12.5,168.5,461.05
2003,22.5,32.0,17.2,535.6,375.76
2004,19.4,32.0,9.3,82.8,525.88
2004,23.1,34.1,12.8,296.0,521.31
2004,27.3,36.9,20.8,137.5,520.4
2005,19.5,30.8,9.7,32.6,694.14
2005,24.9,36.2,14.1,119.0,602.38
2005,26.4,36.1,18.6,193.6,488.96
2006,18.9,30.9,8.8,120.3,480.66
2006,23.4,33.5,14.9,64.0,510.97
2006,24.2,35.4,18.6,568.1,300.33
2007,19.9,32.7,11.3,44.5,613.17
2007,23.0,33.0,14.5,81.1,479.74
2007,24.8,35.5,18.6,107.6,421.17
2008,19.7,33.6,8.0,82.5,631.98
2008,21.1,33.4,13.2,187.3,496.2
2008,28.4,36.2,19.8,77.7,525.63
2009,20.9,34.4,11.6,104.4,636.34
2009,24.0,35.3,15.1,136.3,565.42
2009,24.8,33.0,17.0,338.0,417.13
2010,19.4,32.9,7.6,97.5,601.07
2010,24.8,34.7,10.1,35.9,596.3
2010,26.7,35.6,20.6,247.8,452.3
2011,18.8,29.1,9.3,156.8,534.8
2011,24.3,34.5,15.3,173.0,546.57
2011,26.8,35.0,20.1,427.7,456.67
2012,20.1,31.8,11.0,50.6,639.9
2012,23.2,31.9,15.6,85.1,573.75
2012,27.5,37.2,20.1,202.5,572.04
2013,20.3,34.4,8.7,70.5,676.87
2013,24.3,34.4,15.0,63.1,614.2
2013,28.7,35.9,22.3,249.3,578.78
2014,21.2,37.4,8.5,24.4,761.34
2014,23.4,33.4,15.4,28.2,538.07
2014,27.0,37.5,20.1,142.6,564.5
2015,21.7,34.5,9.6,34.7,750.05
2015,22.9,35.0,12.9,62.1,534.92
2015,25.0,37.0,16.8,157.5,484.24
2016,20.0,32.3,8.2,65.0,655.45
2016,23.4,33.5,12.3,45.7,524.66
2016,26.4,36.1,19.4,307.3,516.26
2017,20.8,35.9,8.5,33.1,668.09
2017,23.3,36.3,12.2,71.5,664.08
2017,28.0,38.4,19.1,105.3,475.51
2018,19.2,32.0,7.2,99.7,569.94
2018,23.6,35.3,13.7,121.1,575.54
2018,28.2,39.2,17.6,169.6,583.52
2019,20.7,34.5,7.2,25.7,702.36
2019,22.8,35.7,14.5,160.8,620.6
2019,25.8,36.0,18.8,139.4,487.33
2020,19.4,31.3,9.1,38.1,661.45
2020,24.5,37.0,15.0,185.3,632.61
2020,23.2,32.8,16.8,330.5,421.05
2021,18.3,30.8,7.1,90.9,598.19
2021,23.2,33.9,13.7,55.1,594.91
2021,26.9,37.2,19.6,153.3,608.97
2014,20.2,36.8,6.3,25.5,694.04
2014,22.4,33.3,14.0,23.6,493.55
2014,26.1,37.4,18.8,124.5,514.18
2015,20.7,34.3,8.0,30.5,687.75
2015,22.9,33.2,12.4,4.1,207.46
