일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,9.4,21.2,-1.5,47.5,264.75
2000,3.9,15.3,-6.8,3.2,265.72
2001,0.7,11.0,-11.7,31.1,260.32
2001,8.3,19.2,-1.1,8.0,306.6
2001,1.9,13.1,-5.4,22.6,279.31
2002,2.3,16.5,-8.5,51.8,281.65
2002,6.2,21.6,-3.6,2.8,313.79
2002,3.4,15.8,-6.2,28.6,239.48
2003,-0.4,11.6,-10.9,24.9,301.24
2003,10.9,24.0,-2.3,41.5,239.8
2003,3.3,15.0,-5.6,11.0,283.74
2004,0.8,12.2,-11.8,1.2,309.18
2004,11.0,24.2,1.4,47.3,296.53
2004,4.8,17.6,-4.3,19.4,289.72
2005,0.7,11.6,-7.5,6.5,330.84
2005,10.0,24.1,-2.2,14.5,266.28
2005,-0.3,14.2,-11.1,2.8,291.56
2006,2.6,13.2,-7.3,14.8,242.64
2006,10.2,23.5,0.1,35.2,226.27
2006,3.6,15.1,-9.4,7.5,224.8
2007,3.3,13.0,-4.6,0.0,244.64
2007,9.0,20.2,-4.1,0.0,328.53
2007,4.3,14.8,-4.0,28.9,242.43
2008,1.5,11.2,-8.2,38.2,226.81
2008,9.5,22.9,-3.8,11.7,277.56
2008,3.3,15.9,-8.2,11.5,257.7
2009,0.7,11.0,-10.5,7.1,289.37
2009,9.1,24.7,-2.8,32.4,264.39
2009,2.5,15.3,-8.6,33.5,279.8
2010,0.0,13.0,-8.9,15.2,317.56
2010,8.6,19.5,-2.0,1.7,318.58
2010,2.0,16.9,-10.0,27.4,252.82
2011,-2.5,6.4,-13.1,1.0,332.3
2011,11.9,25.4,-0.5,69.8,218.96
2011,2.3,12.4,-6.8,9.6,225.32
2012,0.8,10.4,-9.2,8.1,307.62
2012,8.2,18.4,-1.9,32.5,323.61
2012,-0.3,12.1,-9.9,50.8,279.22
2013,-0.1,13.4,-11.6,17.7,331.17
2013,8.9,22.8,-2.4,39.8,331.91
2013,3.5,13.3,-4.7,5.9,287.84
2014,2.8,15.3,-6.2,1.7,333.84
2014,10.3,20.5,0.0,45.3,322.47
2014,1.2,11.8,-7.4,5.5,300.04
2015,2.3,11.8,-6.1,24.1,310.82
2015,11.0,21.8,-0.3,70.9,191.6
2015,4.5,13.5,-5.6,33.5,224.17
2016,-0.2,13.9,-13.0,23.8,265.94
2016,8.8,20.4,-3.0,11.3,278.14
2016,4.0,16.6,-5.1,41.0,240.44
2017,1.1,13.0,-9.0,2.5,301.04
2017,7.8,22.2,-3.5,0.1,321.59
2017,0.7,12.8,-10.2,11.0,285.63
2018,-0.9,13.2,-13.9,21.1,311.43
2018,8.8,21.2,-2.7,17.2,290.08
2018,2.0,16.1,-8.8,23.8,260.56
2019,1.7,12.5,-7.2,9.5,319.27
2019,9.8,23.2,-2.6,15.3,291.61
2019,3.5,16.6,-5.9,27.5,257.63
2020,3.8,15.7,-4.9,70.4,266.64
2020,9.7,25.3,-0.8,23.9,320.68
2020,1.6,12.6,-10.3,2.8,304.57
2021,0.5,16.1,-13.6,11.9,315.94
2021,9.5,20.8,-2.2,43.1,320.4
2021,3.1,14.9,-10.8,0.1,308.9
2013,8.0,21.5,-3.9,37.0,291.73
2013,2.5,12.6,-6.1,6.8,251.81
2014,1.7,14.5,-7.7,2.0,299.09
2014,9.4,19.1,-1.6,42.6,265.89
2014,0.5,11.6,-8.6,6.8,258.32
2015,1.4,11.2,-7.3,21.5,277.62
