일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,17.2,30.9,6.8,54.3,576.75
2000,22.2,32.3,12.8,238.3,552.25
2000,25.6,33.8,17.7,470.1,535.43
2001,19.5,30.7,8.6,30.2,620.44
2001,23.0,34.4,14.1,234.2,455.38
2001,26.1,33.8,19.2,171.0,511.81
2002,18.1,28.3,10.0,130.5,568.8
2002,22.6,32.4,13.5,55.4,588.92
2002,25.8,34.2,19.6,149.1,483.07
2003,19.4,29.0,5.9,119.5,604.86
2003,22.0,30.6,13.4,186.4,485.39
2003,23.4,31.0,17.2,576.3,411.99
2004,18.6,29.3,8.5,109.0,568.85
2004,23.5,34.3,11.5,383.5,551.84
2004,26.1,34.8,19.6,391.0,443.95
2005,17.3,29.2,6.4,60.5,599.75
2005,22.7,31.7,12.9,209.6,507.91
2005,25.4,34.3,18.2,463.3,442.17
2006,18.5,29.5,9.1,119.7,602.13
2006,22.3,31.1,14.1,131.0,579.5
2006,23.1,32.2,17.2,531.0,352.4
2007,18.3,28.7,9.0,130.1,651.07
2007,22.5,32.4,13.6,133.0,552.34
2007,24.2,31.6,18.3,275.7,463.27
2008,18.1,31.0,6.7,59.2,657.46
2008,21.1,29.8,11.7,148.3,535.95
2008,26.1,33.3,20.3,253.4,486.49
2009,18.3,29.9,8.2,124.3,650.62
2009,22.1,32.7,11.7,87.3,636.28
2009,22.9,30.3,17.0,429.2,473.91
2010,17.8,30.8,3.6,117.6,620.14
2010,23.4,31.9,11.2,65.6,635.7
2010,25.7,33.3,20.0,223.1,501.04
2011,18.1,28.5,7.9,162.0,558.12
2011,22.7,31.7,13.0,391.6,565.26
2011,25.7,32.9,19.4,587.3,421.84
2012,19.8,29.9,11.0,24.0,666.34
2012,23.8,33.1,14.2,57.8,582.25
2012,26.3,35.1,20.1,277.6,498.88
2013,18.8,31.8,6.2,110.4,673.26
2013,23.9,32.0,12.8,162.6,624.08
2013,26.8,33.2,21.9,218.7,478.41
2014,19.4,33.3,5.7,49.7,784.28
2014,22.9,31.1,16.5,143.7,605.21
2014,25.9,34.9,19.3,177.2,562.78
2015,19.5,32.1,5.7,28.9,769.22
2015,23.4,35.0,13.5,119.8,643.91
2015,25.4,34.3,16.5,145.6,555.59
2016,19.8,31.3,9.2,85.1,759.29
2016,23.7,32.0,14.6,62.5,643.42
2016,26.6,34.7,20.0,367.9,578.85
2017,19.6,30.7,10.5,29.3,761.27
2017,23.3,34.8,12.0,35.3,730.94
2017,27.1,34.0,22.3,434.5,486.61
2018,19.2,31.0,7.8,95.9,665.57
2018,23.6,33.8,15.8,115.8,683.76
2018,27.9,37.3,17.5,226.9,666.2
2019,19.7,32.7,5.6,35.6,759.89
2019,22.6,33.2,12.9,77.9,671.8
2019,25.8,35.1,17.2,199.0,566.06
2020,18.8,29.3,8.6,80.4,677.69
2020,24.1,34.3,15.0,192.5,609.37
2020,23.6,31.6,17.3,544.9,428.51
2021,17.7,31.8,6.0,134.2,526.04
2021,23.5,32.9,13.3,105.9,565.42
2021,27.8,36.1,20.6,151.8,590.14
