일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,6.6,21.5,-5.3,44.6,278.52
2000,1.4,16.0,-10.6,21.6,277.55
2001,-2.2,9.0,-17.4,61.2,272.65
2001,6.4,17.7,-3.1,10.8,292.69
2001,0.0,12.2,-9.5,20.4,267.2
2002,1.7,16.6,-12.0,92.1,246.75
2002,4.9,20.0,-5.4,24.0,292.67
2002,2.4,16.3,-8.4,43.0,251.14
2003,-1.7,10.8,-14.5,11.2,284.07
2003,10.0,23.3,-3.7,32.6,233.09
2003,2.3,11.9,-7.6,17.1,232.63
2004,-0.5,10.7,-14.3,10.9,268.2
2004,9.1,22.8,-1.3,37.1,254.8
2004,3.1,17.7,-8.2,41.1,265.26
2005,-1.4,10.0,-10.7,6.0,276.07
2005,8.3,22.8,-4.6,20.3,290.56
2005,-2.9,14.3,-15.7,15.2,239.04
2006,0.3,13.0,-11.6,31.2,263.25
2006,8.8,21.2,-2.0,60.0,263.86
2006,1.5,14.1,-12.0,29.9,240.0
2007,0.4,11.3,-9.3,14.0,271.77
2007,6.6,19.8,-6.5,9.8,313.58
2007,2.0,15.1,-7.1,26.9,205.89
2008,-0.9,10.3,-11.6,45.3,256.12
2008,7.6,22.8,-6.8,12.1,281.83
2008,1.7,15.9,-11.6,16.4,242.83
2009,-1.7,11.6,-13.3,15.4,288.74
2009,7.4,22.8,-4.6,54.7,238.48
2009,0.2,11.0,-11.2,38.2,233.68
2010,-2.7,10.2,-14.4,46.4,282.72
2010,6.9,18.4,-4.3,16.4,317.67
2010,0.1,16.3,-13.1,35.7,251.45
2011,-5.7,3.3,-16.1,4.0,324.44
2011,11.2,25.5,-2.4,103.2,246.64
2011,0.4,10.7,-10.2,11.5,248.14
2012,-1.5,9.1,-11.4,16.4,277.16
2012,6.0,17.8,-3.6,58.4,267.22
2012,-3.0,9.8,-14.4,64.6,192.27
2013,-2.6,13.8,-16.5,46.2,275.67
2013,6.7,22.1,-4.5,63.1,286.05
2013,1.3,13.0,-8.6,32.8,259.05
2014,-0.1,11.3,-10.6,6.5,297.44
2014,8.5,18.1,-2.0,40.7,279.19
2014,-1.3,10.1,-10.5,36.5,250.9
2015,0.0,10.3,-9.9,31.5,278.88
2015,10.1,21.4,-2.3,126.1,183.98
2015,3.1,14.2,-7.6,39.7,229.13
2016,-1.3,14.1,-17.0,11.6,282.85
2016,7.2,21.9,-4.9,29.5,296.47
2016,2.5,14.8,-8.3,54.8,250.29
2017,-0.4,14.8,-11.8,15.0,317.33
2017,6.4,20.8,-5.8,15.1,321.62
2017,-0.4,12.8,-11.4,33.5,242.01
2018,-2.5,11.0,-16.3,23.9,206.12
2018,8.0,19.4,-2.3,49.8,297.3
2018,0.6,15.0,-11.1,33.7,279.97
2019,0.0,9.5,-8.6,1.7,317.39
2019,8.7,22.0,-2.6,94.0,320.6
2019,2.6,15.2,-9.6,27.0,258.97
2020,2.7,14.2,-7.7,78.5,266.0
2020,8.6,22.1,-2.7,41.8,259.68
2020,0.5,13.4,-13.2,4.1,255.33
2021,-1.0,14.5,-17.5,23.6,263.22
2021,8.9,21.9,-2.3,41.7,263.73
2021,1.9,14.1,-14.5,4.4,241.28
