일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,24.0,33.7,17.9,440.3,412.735
2000,18.6,32.0,11.2,347.2,347.645
2000,14.5,23.0,5.1,7.0,311.07
2000,7.8,19.9,-2.1,58.3,231.67
2001,22.4,30.9,14.6,56.9,518.38
2001,20.0,29.3,9.6,311.5,411.455
2001,15.9,24.9,7.6,234.9,323.025
2001,8.8,20.2,-2.8,36.7,269.43
2002,22.7,34.6,15.6,531.2,328.065
2002,19.1,34.1,12.1,225.9,387.845
2002,13.0,24.5,0.2,42.8,365.845
2002,5.1,21.0,-3.5,4.0,281.405
2003,22.5,33.2,16.3,349.2,388.365
2003,19.7,28.5,9.5,425.4,355.1
2003,14.1,23.0,3.6,51.6,407.82
2003,9.3,23.3,-2.9,278.2,210.58
2004,23.1,34.3,16.1,460.3,449.47
2004,20.1,30.5,13.4,200.1,393.415
2004,14.8,25.1,6.6,16.9,416.145
2004,10.6,20.1,1.5,39.5,267.47
2005,25.0,36.0,16.6,246.9,450.63
2005,20.0,32.2,13.3,263.9,364.885
2005,15.0,27.7,4.5,114.8,368.705
2005,9.8,22.4,-0.7,32.9,298.88
2006,25.2,33.0,16.7,109.3,527.445
2006,19.1,27.4,10.9,112.4,450.355
2006,17.1,29.3,8.4,285.5,355.55
2006,8.5,20.6,-0.8,84.0,246.205
2007,24.9,35.3,18.6,206.8,419.435
2007,20.7,30.0,13.0,397.8,300.255
2007,15.3,27.8,4.5,87.3,370.625
2007,8.4,19.9,-4.1,33.9,279.5
2008,23.4,33.0,15.5,343.1,524.25
2008,20.7,29.8,9.7,129.9,454.68
2008,16.8,28.8,5.0,73.5,378.83
2008,9.1,22.3,-5.2,78.5,269.41
2009,23.1,32.1,14.7,247.3,457.9
2009,20.0,29.0,13.9,20.5,474.79
2009,16.3,26.2,7.6,29.8,412.82
2009,8.2,23.2,-3.7,220.6,222.11
2010,25.7,35.1,19.6,274.4,392.61
2010,20.4,31.1,9.5,272.0,389.2
2010,14.9,24.4,2.4,86.5,359.74
2010,9.1,21.1,-1.9,12.0,327.5
2011,24.8,35.7,18.7,140.3,455.54
2011,20.4,29.0,12.3,190.1,413.33
2011,14.9,26.4,4.6,22.1,386.11
2011,11.0,19.3,-0.5,131.3,221.21
2012,24.4,31.3,18.1,212.5,376.94
2012,19.6,29.3,11.7,233.5,410.86
2012,15.8,24.0,6.2,25.6,396.14
2012,7.6,16.9,-1.7,70.1,263.84
2013,27.4,35.8,18.1,174.6,530.23
2013,20.3,29.2,11.3,175.3,363.33
2013,15.7,26.0,7.2,66.4,360.84
2013,8.4,19.9,-4.0,23.3,270.82
2014,23.5,33.3,15.6,296.1,388.58
2014,20.6,31.0,12.7,181.0,425.92
2014,15.8,24.6,6.6,39.6,353.93
2014,10.2,19.5,-1.9,51.6,255.25
2015,24.2,33.0,16.1,198.6,524.49
2015,19.1,27.1,12.5,13.5,454.56
2015,14.7,26.2,1.0,27.4,416.45
2015,8.4,21.7,-3.2,463.5,175.34
2016,25.5,35.9,15.3,186.9,531.1
2016,20.4,28.6,13.2,126.0,340.44
2016,15.3,24.2,3.3,128.5,307.355
2016,8.4,20.8,-2.5,40.8,259.04
2017,23.7,32.4,16.4,424.9,421.9
2017,20.8,28.4,13.1,50.5,491.305
2017,14.5,25.0,4.0,135.4,337.55
2017,7.8,20.4,-4.0,41.2,285.09
2018,25.6,38.7,17.2,625.0,487.545
2018,20.0,29.0,12.6,66.1,427.29
2018,13.5,23.8,0.3,257.6,365.97
2018,9.2,19.2,-1.9,207.4,238.745
2019,25.7,35.6,19.3,293.5,560.89
2019,20.9,32.3,11.6,209.9,385.85
2019,16.1,25.0,6.5,185.5,352.08
2019,9.4,21.1,-1.2,157.3,276.59
2020,25.7,35.1,19.6,411.3,381.59
2020,20.1,28.7,12.1,482.8,404.53
2020,14.3,23.7,4.6,0.0,420.29
2020,10.0,23.1,-2.1,19.2,287.07
2021,24.4,33.8,17.1,247.1,449.57
2021,20.9,28.8,14.6,141.6,433.79
2021,15.5,27.5,2.2,216.9,342.76
2021,9.9,20.1,-1.8,16.2,271.29
2016,14.1,29.0,-1.9,112.1,381.67
2016,5.1,19.5,-9.1,13.2,259.88
2017,24.4,37.5,13.9,376.3,438.14
2017,19.1,30.5,4.9,33.8,480.31
2017,13.5,26.9,-3.7,42.6,366.06
2017,3.2,18.8,-10.2,15.9,267.52
2018,26.9,40.6,15.8,354.6,464.48
2018,19.1,29.5,6.5,63.0,397.14
2018,10.3,25.0,-2.5,102.6,314.48
2018,5.1,19.3,-7.3,56.9,206.42
2019,25.6,36.5,16.1,186.6,583.7
2019,20.7,31.6,10.7,147.9,395.49
2019,14.0,29.9,0.2,48.4,372.17
2019,4.9,20.3,-7.5,57.8,272.42
2020,25.6,35.4,20.3,821.2,356.98
2020,19.0,30.0,8.2,153.1,421.25
2020,10.9,23.7,-2.7,0.3,420.29
2020,5.3,19.4,-8.3,75.2,287.49
2021,24.3,34.4,15.7,122.5,480.64
2021,20.7,29.7,13.2,103.7,464.07
2021,13.1,28.2,-2.0,64.4,342.76
2021,5.3,21.0,-6.6,49.8,271.29
