일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,6.9,18.5,-4.2,8.7,448.65
2000,11.2,24.1,2.4,23.4,486.355
2000,14.3,30.5,6.2,71.0,520.28
2001,5.6,19.9,-6.0,20.8,445.03
2001,12.3,25.2,1.2,14.1,539.605
2001,17.2,31.2,6.5,7.2,598.28
2002,8.7,20.3,-1.0,14.1,438.205
2002,12.2,29.6,2.5,58.5,540.705
2002,15.6,28.4,4.8,78.2,592.885
2003,4.5,19.9,-7.3,56.8,402.49
2003,11.0,26.6,-0.1,136.1,454.53
2003,14.8,27.7,4.4,111.5,585.13
2004,6.9,22.9,-5.7,1.8,513.115
2004,12.7,29.0,2.4,104.4,551.77
2004,16.7,29.2,7.7,46.7,548.345
2005,4.2,18.1,-7.9,102.5,485.365
2005,12.8,32.0,0.4,47.9,543.625
2005,14.4,29.7,6.0,122.7,605.295
2006,6.0,18.9,-6.4,9.3,492.48
2006,9.5,25.6,1.9,90.2,433.87
2006,14.4,29.8,3.8,141.7,559.605
2007,6.6,19.0,-6.0,112.6,402.87
2007,11.7,27.6,1.9,27.4,515.395
2007,17.1,30.3,7.2,102.1,585.27
2008,7.3,17.7,-1.3,103.9,414.065
2008,13.1,29.5,4.9,13.5,525.41
2008,16.8,29.8,6.7,70.0,600.455
2009,7.0,25.7,-3.0,83.2,438.6
2009,12.8,29.3,1.9,111.2,568.4
2009,17.7,30.3,9.6,50.5,603.39
2010,3.7,13.2,-2.2,152.1,340.2
2010,9.1,20.3,0.4,51.6,496.93
2010,16.0,30.9,5.0,149.5,590.16
2011,5.3,18.7,-5.9,20.4,506.25
2011,11.4,24.6,0.9,115.7,498.13
2011,14.3,26.6,6.4,65.3,542.02
2012,5.3,19.4,-4.3,85.3,416.16
2012,12.1,24.3,0.5,133.0,509.1
2012,16.4,27.8,9.6,46.1,576.84
2013,6.3,18.8,-6.1,66.2,504.59
2013,10.3,22.1,2.0,49.0,498.62
2013,16.9,29.0,7.0,80.1,598.7
2014,7.9,26.9,-4.2,40.4,425.97
2014,13.3,27.0,0.7,98.8,489.36
2014,18.1,32.5,8.1,25.0,698.29
2015,6.6,21.4,-5.0,8.0,504.38
2015,11.1,29.8,1.2,74.2,453.63
2015,17.8,32.6,7.8,9.2,681.88
2016,7.0,21.5,-7.6,31.8,452.05
2016,12.6,29.3,3.6,77.5,503.49
2016,17.2,29.0,7.3,35.7,667.76
2017,7.0,18.5,-2.8,48.7,437.31
2017,14.8,30.8,2.6,46.8,572.235
2017,18.7,34.3,9.3,25.2,656.33
2018,8.0,24.7,-6.2,55.0,439.78
2018,13.0,32.5,2.0,141.7,526.82
2018,15.9,29.4,4.5,123.6,569.52
2019,8.2,21.6,-1.4,44.4,449.07
2019,11.9,25.9,1.3,80.9,525.84
2019,19.8,34.2,6.5,5.7,742.51
2020,7.9,19.3,-1.8,38.0,509.82
2020,11.3,24.5,0.9,38.4,600.33
2020,17.1,32.4,7.8,245.1,585.48
2021,8.0,18.9,-4.5,104.2,462.9
2021,12.3,23.8,2.0,97.2,567.05
2021,16.7,29.8,7.6,154.9,580.52
2017,4.6,19.0,-8.3,17.9,436.28
2017,13.2,29.1,-0.8,54.1,560.07
2017,18.6,30.7,6.7,25.5,645.7
2018,7.0,23.4,-8.2,32.0,434.45
2018,12.0,29.2,-3.0,117.2,505.89
2018,17.2,31.0,2.9,200.5,577.58
2019,5.0,18.3,-7.3,30.9,431.23
2019,10.6,28.3,-5.1,49.7,525.84
2019,18.3,33.3,2.6,31.4,742.98
2020,6.1,21.0,-6.6,13.7,509.82
2020,9.7,24.6,-4.5,17.0,605.88
2020,17.4,29.8,5.4,122.2,583.23
2021,7.1,22.8,-4.7,100.1,471.84
2021,12.4,29.2,-0.1,110.2,564.07
2021,15.6,30.6,3.1,159.3,569.66
2000,3.8,18.2,-9.6,10.0,448.65
2000,9.7,23.3,-3.8,34.3,486.355
2000,15.9,29.6,3.9,85.9,520.28
2001,2.5,20.6,-9.2,11.4,445.03
2001,11.4,27.3,-5.5,12.0,539.605
2001,17.8,31.4,4.5,13.7,598.28
2002,5.6,19.4,-8.4,37.0,438.205
2002,11.8,27.6,-1.6,159.7,540.705
2002,16.6,26.4,5.2,47.6,592.885
2003,3.9,20.3,-9.6,20.6,402.49
2003,10.6,23.3,-0.4,119.0,454.53
2003,17.0,28.9,3.4,54.5,585.13
2004,3.7,18.7,-11.2,23.1,513.115
2004,10.7,27.7,-3.1,80.5,551.77
2004,15.8,25.2,2.7,126.2,548.345
2005,1.8,16.7,-11.9,11.8,485.365
2005,10.9,26.7,-2.8,92.6,543.625
2005,15.4,29.0,2.6,95.9,605.295
2006,2.5,15.9,-10.8,19.7,492.48
2006,9.4,21.6,-0.1,85.1,433.87
2006,16.5,28.4,3.3,139.0,559.605
2007,3.9,16.4,-11.2,87.7,402.87
2007,9.6,23.3,-3.2,61.5,515.395
2007,16.6,28.8,4.8,165.5,585.27
2008,4.5,19.1,-7.3,59.5,414.065
2008,11.9,28.4,-2.2,37.9,525.41
2008,16.1,28.9,4.2,89.3,600.455
