일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,14.3,30.5,6.2,71.0,520.28
2000,19.2,33.3,9.7,175.7,547.195
2000,24.8,33.6,17.0,109.2,512.23
2000,24.0,33.7,17.9,440.3,412.735
2000,18.6,32.0,11.2,347.2,347.645
2001,17.2,31.2,6.5,7.2,598.28
2001,20.0,34.2,12.9,126.6,438.715
2001,23.4,31.3,15.7,233.3,477.375
2001,22.4,30.9,14.6,56.9,518.38
2001,20.0,29.3,9.6,311.5,411.455
2002,15.6,28.4,4.8,78.2,592.885
2002,19.5,33.1,11.9,66.5,595.63
2002,21.9,36.6,17.0,301.4,452.7
2002,22.7,34.6,15.6,531.2,328.065
2002,19.1,34.1,12.1,225.9,387.845
2003,14.8,27.7,4.4,111.5,585.13
2003,20.3,31.2,11.8,132.1,489.015
2003,20.8,27.6,16.7,258.0,420.105
2003,22.5,33.2,16.3,349.2,388.365
2003,19.7,28.5,9.5,425.4,355.1
2004,16.7,29.2,7.7,46.7,548.345
2004,20.8,31.3,12.7,99.7,552.085
2004,23.9,37.1,17.0,554.0,403.205
2004,23.1,34.3,16.1,460.3,449.47
2004,20.1,30.5,13.4,200.1,393.415
2005,14.4,29.7,6.0,122.7,605.295
2005,20.6,33.2,12.6,151.2,540.915
2005,24.0,34.4,17.4,185.2,474.76
2005,25.0,36.0,16.6,246.9,450.63
2005,20.0,32.2,13.3,263.9,364.885
2006,14.4,29.8,3.8,141.7,559.605
2006,18.4,30.8,12.1,129.0,545.565
2006,21.0,32.6,15.0,545.0,305.375
2006,25.2,33.0,16.7,109.3,527.445
2006,19.1,27.4,10.9,112.4,450.355
2007,17.1,30.3,7.2,102.1,585.27
2007,20.3,30.5,12.1,52.3,587.935
2007,22.1,34.5,16.9,212.8,446.85
2007,24.9,35.3,18.6,206.8,419.435
2007,20.7,30.0,13.0,397.8,300.255
2008,16.8,29.8,6.7,70.0,600.455
2008,18.7,31.2,11.4,91.3,520.165
2008,25.3,34.7,16.9,361.6,436.61
2008,23.4,33.0,15.5,343.1,524.25
2008,20.7,29.8,9.7,129.9,454.68
2009,17.7,30.3,9.6,50.5,603.39
2009,20.2,32.4,12.8,181.1,575.38
2009,21.7,32.0,15.7,405.2,498.82
2009,23.1,32.1,14.7,247.3,457.9
2009,20.0,29.0,13.9,20.5,474.79
2010,16.0,30.9,5.0,149.5,590.16
2010,20.1,29.2,6.6,18.0,654.64
2010,25.0,35.1,18.1,92.8,486.42
2010,25.7,35.1,19.6,274.4,392.61
2010,20.4,31.1,9.5,272.0,389.2
2011,14.3,26.6,6.4,65.3,542.02
2011,20.2,35.3,11.5,341.5,574.98
2011,22.3,30.7,17.7,412.1,369.52
2011,24.8,35.7,18.7,140.3,455.54
2011,20.4,29.0,12.3,190.1,413.33
2012,16.4,27.8,9.6,46.1,576.84
2012,19.8,29.0,13.6,76.2,476.08
2012,23.9,34.7,17.2,244.3,498.49
2012,24.4,31.3,18.1,212.5,376.94
2012,19.6,29.3,11.7,233.5,410.86
2013,16.9,29.0,7.0,80.1,598.7
