일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,7.8,19.9,-2.1,58.3,231.67
2000,3.2,14.5,-9.9,5.8,234.16
2001,-2.3,6.2,-14.6,37.6,257.045
2001,8.8,20.2,-2.8,36.7,269.43
2001,1.4,10.1,-6.6,20.2,256.155
2002,0.8,15.8,-11.0,87.1,251.51
2002,5.1,21.0,-3.5,4.0,281.405
2002,1.2,17.6,-9.8,140.0,220.68
2003,-1.6,11.3,-14.8,34.7,260.055
2003,9.3,23.3,-2.9,278.2,210.58
2003,2.9,12.8,-8.2,1.8,260.87
2004,0.5,9.6,-15.6,25.0,294.32
2004,10.6,20.1,1.5,39.5,267.47
2004,4.2,17.8,-6.3,12.2,254.615
2005,-0.1,9.8,-9.6,28.4,301.725
2005,9.8,22.4,-0.7,32.9,298.88
2005,-1.4,11.6,-13.1,0.4,287.51
2006,0.2,8.3,-9.6,37.1,260.29
2006,8.5,20.6,-0.8,84.0,246.205
2006,2.0,11.3,-11.2,47.4,241.33
2007,0.7,8.9,-7.8,23.3,270.455
2007,8.4,19.9,-4.1,33.9,279.5
2007,3.5,11.8,-6.8,1.2,228.9
2008,0.3,10.7,-9.5,71.1,255.83
2008,9.1,22.3,-5.2,78.5,269.41
2008,3.6,14.5,-10.9,78.0,256.83
2009,0.2,10.5,-10.0,29.0,297.2
2009,8.2,23.2,-3.7,220.6,222.11
2009,2.0,11.3,-9.6,14.7,242.96
2010,-0.4,12.6,-11.6,41.5,275.92
2010,9.1,21.1,-1.9,12.0,327.5
2010,2.8,17.7,-10.7,19.7,260.76
2011,-2.7,6.3,-13.2,12.0,323.41
2011,11.0,19.3,-0.5,131.3,221.21
2011,1.3,9.7,-8.7,99.7,249.34
2012,-0.4,6.4,-8.9,24.2,274.42
2012,7.6,16.9,-1.7,70.1,263.84
2012,-0.5,11.2,-11.8,44.2,241.25
2013,-0.8,10.0,-11.5,77.3,267.98
2013,8.4,19.9,-4.0,23.3,270.82
2013,2.7,13.0,-6.6,62.7,229.37
2014,1.9,12.6,-8.8,29.3,260.54
2014,10.2,19.5,-1.9,51.6,255.25
2014,0.6,11.7,-10.8,0.2,265.84
2015,1.8,12.2,-7.9,8.7,256.17
2015,8.4,21.7,-3.2,463.5,175.34
2015,3.0,10.9,-7.2,1.7,222.59
2016,-1.2,11.5,-16.4,6.6,301.19
2016,8.4,20.8,-2.5,40.8,259.04
2016,4.4,14.1,-6.1,121.7,206.325
2017,0.8,11.3,-11.2,82.4,275.17
2017,7.8,20.4,-4.0,41.2,285.09
2017,0.7,11.4,-9.9,9.9,266.715
2018,-1.4,11.9,-16.2,3.9,301.945
2018,9.2,19.2,-1.9,207.4,238.745
2018,1.6,12.7,-11.4,10.4,241.77
2019,1.7,12.8,-9.0,8.7,280.755
2019,9.4,21.1,-1.2,157.3,276.59
2019,4.2,14.4,-7.1,9.8,217.32
2020,3.4,11.2,-4.1,148.1,254.72
2020,10.0,23.1,-2.1,19.2,287.07
2020,1.8,11.2,-11.3,0.5,268.95
2021,-1.2,9.7,-16.1,0.0,278.85
2021,9.9,20.1,-1.8,16.2,271.29
2021,2.8,13.9,-14.9,68.7,252.38
2016,5.1,19.5,-9.1,13.2,259.88
2016,-0.2,10.2,-12.1,83.1,204.42
2017,-3.4,11.6,-17.0,15.9,286.3
2017,3.2,18.8,-10.2,15.9,267.52
2017,-4.3,8.6,-19.0,24.5,248.12
2018,-6.0,8.6,-21.7,6.5,297.61
2018,5.1,19.3,-7.3,56.9,206.42
2018,-3.2,12.0,-16.9,17.3,216.07
2019,-3.9,8.3,-15.1,0.2,251.44
2019,4.9,20.3,-7.5,57.8,272.42
2019,-0.7,10.5,-13.4,10.5,217.32
2020,-0.7,10.9,-10.6,55.9,278.76
2020,5.3,19.4,-8.3,75.2,287.49
2020,-3.6,9.9,-18.5,4.8,268.95
2021,-5.7,11.5,-22.5,14.3,274.71
2021,5.3,21.0,-6.6,49.8,271.29
2021,-2.2,11.4,-17.2,5.2,252.38
2000,3.4,21.0,-9.7,17.4,231.67
2000,-2.3,11.6,-18.2,26.5,234.16
2001,-8.5,5.3,-29.2,27.3,257.045
2001,3.3,15.7,-9.4,20.4,269.43
2001,-4.6,9.9,-16.1,15.0,256.155
2002,-3.9,10.1,-24.4,51.9,251.51
2002,0.7,16.1,-11.6,11.1,281.405
2002,-2.8,14.5,-19.2,30.8,220.68
2003,-7.1,6.1,-24.6,19.3,260.055
2003,6.0,19.8,-8.1,71.7,210.58
2003,-2.7,8.1,-14.6,3.6,260.87
2004,-5.8,6.3,-20.4,10.9,294.32
2004,5.4,20.2,-5.1,53.0,267.47
2004,-2.1,13.9,-16.5,20.5,254.615
2005,-6.2,7.2,-17.7,3.7,301.725
2005,4.5,21.7,-8.5,63.2,298.88
2005,-7.5,5.5,-20.1,8.4,287.51
2006,-4.0,7.6,-19.3,31.8,260.29
2006,5.4,19.6,-5.7,21.6,246.205
2006,-2.5,12.1,-17.3,9.9,241.33
2007,-3.6,8.6,-16.9,8.5,270.455
2007,3.0,19.1,-10.6,14.7,279.5
2007,-2.4,12.0,-13.1,12.7,228.9
2008,-5.4,5.5,-19.1,6.1,255.83
2008,4.3,18.8,-11.3,23.6,269.41
2008,-1.7,12.1,-15.5,35.9,256.83
2009,-5.7,9.9,-19.0,2.4,297.2
2009,4.3,20.0,-10.1,34.9,222.11
2009,-3.9,9.2,-19.8,23.5,242.96
2010,-8.2,7.0,-26.8,29.4,275.92
2010,3.5,16.7,-8.8,21.9,327.5
2010,-3.6,12.9,-19.5,24.8,260.76
2011,-11.5,3.6,-24.3,8.1,323.41
2011,7.7,24.0,-8.8,100.4,221.21
2011,-4.1,6.8,-17.3,11.1,249.34
2012,-6.6,7.1,-18.8,7.4,274.42
2012,2.9,15.4,-8.8,63.8,263.84
2012,-7.5,5.9,-21.7,40.0,241.25
2013,-8.1,9.6,-25.8,19.1,267.98
2013,3.1,20.0,-13.6,73.3,270.82
2013,-3.8,9.1,-16.8,24.1,229.37
2014,-3.4,6.7,-16.0,12.7,260.54
2014,5.6,21.2,-7.5,42.2,255.25
2014,-5.9,7.1,-20.3,13.1,265.84
2015,-4.0,8.1,-16.3,17.0,256.17
2015,6.6,18.1,-8.0,111.5,175.34
2015,-1.2,10.0,-15.2,25.6,222.59
2016,-6.0,8.2,-20.6,0.9,301.19
2016,4.3,18.6,-10.6,15.6,259.04
2016,-1.4,11.8,-18.7,69.8,206.325
2017,-4.4,9.9,-18.2,14.5,275.17
2017,2.7,18.2,-11.5,33.5,285.09
2017,-4.9,8.5,-18.8,12.8,266.715
2018,-7.3,7.7,-25.2,7.9,301.945
2018,4.5,18.6,-8.4,60.2,238.745
2018,-4.0,11.4,-18.6,8.3,241.77
2019,-4.9,7.6,-17.1,0.0,280.755
2019,4.5,20.8,-8.3,53.0,276.59
2019,-1.1,11.3,-15.6,20.0,204.42
2020,-1.2,11.0,-11.7,79.7,254.72
2020,5.0,19.8,-8.9,72.3,271.99
2020,-3.9,9.9,-18.8,1.2,257.41
2021,-5.9,13.1,-22.4,7.6,261.89
2021,5.3,20.1,-7.1,57.3,261.99
2021,-2.1,11.1,-18.0,4.9,236.21
2000,1.7,18.8,-12.2,61.3,216.12
2000,-3.7,9.4,-17.2,16.9,224.09
2001,-8.9,3.2,-25.6,125.2,292.94
2001,2.4,14.8,-8.9,32.3,326.48
2001,-4.9,5.9,-14.1,35.3,286.35
2002,-5.1,8.7,-19.2,86.0,285.17
2002,-0.7,13.3,-12.5,9.2,312.94
2002,-3.8,13.5,-17.4,136.8,223.17
2003,-8.0,2.5,-22.6,52.1,276.9
2003,4.3,21.5,-11.0,205.2,204.62
2003,-4.0,10.1,-16.1,9.7,278.53
2004,-6.9,8.0,-24.3,8.4,318.68
2004,3.9,17.2,-7.8,25.3,272.75
2004,-2.5,11.5,-15.7,13.1,234.75
2005,-7.5,4.0,-19.9,50.2,297.38
2005,2.9,19.6,-10.4,16.0,333.56
2005,-9.0,3.2,-20.8,2.8,314.85
2006,-5.8,5.6,-18.5,38.0,266.86
2006,2.3,16.2,-11.1,118.1,247.98
2006,-4.5,8.0,-21.8,22.2,266.59
2007,-5.2,5.9,-15.4,23.4,298.41
2007,1.5,16.0,-13.9,24.1,315.85
2007,-3.6,7.9,-14.2,8.4,264.05
2008,-7.2,5.5,-26.2,89.1,283.4
2008,2.1,15.9,-12.4,35.7,273.57
2008,-3.1,9.1,-18.1,33.6,267.53
2009,-7.3,4.7,-18.6,24.6,311.9
2009,2.0,15.4,-12.1,120.1,224.4
2009,-5.2,8.9,-18.1,22.0,257.02
2010,-8.2,8.0,-24.0,38.9,313.27
2010,1.9,13.5,-10.1,31.2,347.88
2010,-4.3,11.2,-19.4,20.1,266.33
2011,-11.2,0.2,-23.6,11.5,356.81
2011,5.1,19.7,-9.0,83.3,207.19
2011,-6.4,6.8,-19.4,46.4,254.69
2012,-7.8,3.8,-21.8,27.6,300.27
2012,0.7,11.7,-11.0,34.7,263.84
2012,-8.1,6.3,-23.5,59.2,253.96
2013,-8.2,7.5,-26.8,47.9,282.51
2013,1.3,15.4,-11.9,44.2,295.75
2013,-4.6,6.5,-18.1,33.5,257.76
2014,-4.8,6.1,-18.9,35.0,278.04
2014,3.7,14.7,-8.6,41.4,258.2
2014,-6.7,6.2,-19.8,11.7,273.52
2015,-5.2,7.0,-19.8,21.4,272.96
2015,4.2,17.5,-9.3,194.7,177.76
2015,-2.2,9.4,-13.3,15.5,222.59
2016,-7.1,6.8,-23.0,2.6,301.19
2016,2.5,15.1,-10.2,13.3,275.14
2016,-2.7,11.6,-21.7,53.0,236.62
2017,-6.2,6.9,-21.1,22.3,299.91
2017,1.2,14.8,-15.3,32.4,301.67
2017,-6.6,4.5,-20.5,8.6,280.79
2018,-8.5,3.9,-24.4,4.3,304.65
2018,2.7,16.8,-9.2,50.4,227.38
2018,-5.0,11.1,-20.3,21.0,227.76
2019,-5.6,5.3,-20.1,0.5,269.29
2019,2.9,15.6,-9.7,78.4,289.37
2019,-2.8,9.8,-15.5,2.4,282.16
2020,-3.2,9.3,-14.2,86.3,279.03
2020,3.4,18.3,-8.9,22.6,326.01
2020,-5.4,8.0,-20.2,4.2,307.9
2021,-7.3,7.6,-24.3,7.8,310.63
2021,2.7,15.1,-10.7,32.6,305.65
2021,-3.9,9.0,-21.2,6.4,291.96
2000,4.1,20.1,-7.7,25.4,222.54
2000,-1.5,11.5,-16.4,35.5,196.22
2001,-6.7,7.3,-24.5,32.8,227.49
2001,4.0,18.1,-7.7,12.3,221.06
2001,-2.9,10.7,-13.7,18.5,221.95
2002,-2.8,9.1,-20.7,62.2,201.46
2002,2.2,18.6,-9.6,14.3,249.87
2002,-1.0,16.6,-14.4,27.8,201.29
2003,-5.2,6.8,-19.7,15.9,229.5
2003,7.4,22.2,-6.7,66.0,203.36
2003,-1.5,8.8,-14.4,6.5,226.46
2004,-4.1,7.7,-17.5,10.9,269.96
2004,6.9,20.5,-3.4,43.0,262.19
2004,-0.1,13.7,-12.8,27.2,258.77
2005,-4.0,9.7,-15.6,3.7,306.07
2005,5.6,20.6,-5.8,48.8,279.39
2005,-6.0,5.9,-17.4,9.6,280.67
2006,-2.8,10.1,-16.6,34.2,288.89
2006,6.0,19.5,-4.8,62.0,261.82
2006,-1.4,8.7,-15.9,14.6,225.14
2007,-2.4,9.7,-13.9,6.3,269.41
2007,4.4,18.6,-9.2,22.3,264.35
2007,-0.9,11.3,-10.1,10.8,208.39
2008,-3.7,6.0,-16.2,9.7,260.18
2008,5.1,19.1,-10.5,13.6,254.95
2008,-1.1,12.7,-13.6,30.2,221.38
2009,-4.7,9.4,-16.8,3.4,281.77
2009,5.5,18.7,-8.6,49.4,221.32
2009,-2.5,10.8,-16.5,18.4,216.72
2010,-6.5,5.3,-21.3,40.6,261.31
2010,4.2,17.7,-7.6,13.9,280.54
2010,-3.2,9.3,-17.3,32.3,212.03
2011,-9.5,1.1,-22.5,5.3,303.35
2011,8.2,24.8,-7.1,82.8,221.21
2011,-3.0,7.8,-16.3,16.6,245.14
2012,-5.2,8.1,-16.5,6.9,270.28
2012,3.7,15.2,-8.1,59.3,258.22
2012,-6.2,7.4,-18.6,49.4,226.76
2013,-7.2,5.3,-23.1,33.3,241.22
2013,4.5,19.3,-8.6,62.3,235.97
2013,-2.5,9.4,-15.6,31.8,190.25
2014,-2.3,7.8,-13.3,10.4,234.23
2014,6.8,19.7,-5.2,28.6,226.18
2014,-5.1,9.0,-20.1,17.1,225.99
2015,-2.7,7.6,-14.7,18.2,238.85
2015,7.9,19.3,-5.7,142.1,164.56
2015,0.0,9.6,-12.8,22.3,188.63
2016,-4.7,7.2,-20.1,0.4,250.0
2016,5.4,19.0,-8.2,14.9,212.1
2016,0.1,10.5,-11.7,79.1,196.96
2017,-3.0,10.9,-15.9,15.1,260.72
2017,3.7,18.4,-9.2,23.1,249.31
2017,-3.9,8.1,-17.6,27.0,229.47
2018,-5.5,8.2,-21.6,5.9,274.35
2018,5.6,18.8,-6.6,63.5,209.29
2018,-2.8,11.6,-16.4,16.8,223.95
2019,-3.5,8.0,-14.1,1.3,261.3
2019,5.6,19.7,-6.4,63.1,253.7
2019,-0.1,9.7,-12.3,14.4,200.48
2020,-0.1,11.2,-9.5,80.0,255.19
2020,6.1,19.5,-7.7,84.2,270.91
2020,-2.7,10.5,-17.2,4.9,253.75
2021,-4.7,12.6,-21.9,17.7,256.88
2021,6.3,20.6,-5.6,53.0,255.2
2021,-1.2,11.5,-16.3,5.1,227.56
2008,8.6,21.8,-5.9,52.2,272.01
2008,3.0,15.7,-11.8,68.5,256.83
2009,-0.2,10.9,-11.6,20.5,299.44
2009,7.7,23.0,-3.9,202.8,222.11
2009,1.7,10.8,-10.1,15.2,255.82
2010,-0.8,13.1,-12.7,33.9,289.36
2010,8.5,20.6,-4.1,10.3,332.7
2010,2.4,18.1,-10.8,28.0,260.76
2011,-3.7,6.0,-16.2,14.1,331.74
2011,10.6,20.6,-3.0,136.2,201.89
2011,0.6,10.9,-10.6,86.5,239.19
2012,-1.0,5.8,-10.9,45.6,274.42
2012,6.9,19.1,-3.0,31.4,285.19
2012,-0.7,11.1,-11.3,42.0,241.25
2013,-1.2,11.6,-12.8,75.7,267.98
2013,7.7,19.7,-6.8,9.0,296.89
2013,2.0,13.5,-8.8,28.6,244.66
2014,1.2,12.1,-9.4,44.6,261.12
2014,9.5,18.0,-2.0,80.5,241.31
2014,0.2,10.8,-13.2,0.0,265.84
2015,1.4,13.7,-8.6,22.8,256.17
