일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,17.8,33.9,5.8,47.7,540.49
2000,22.5,32.7,13.6,197.7,359.16
2000,26.5,34.3,20.3,321.4,305.84
2001,19.2,31.0,8.4,21.4,628.47
2001,22.4,33.7,13.4,245.8,452.0
2001,26.3,34.8,19.4,270.8,550.21
2002,18.1,28.9,11.1,100.5,515.56
2002,22.5,33.5,14.9,108.5,607.87
2002,25.4,35.3,19.5,180.0,465.2
2003,19.1,28.8,8.0,141.0,552.47
2003,21.6,30.0,12.9,150.2,477.77
2003,23.0,31.3,17.5,564.9,337.07
2004,18.2,29.1,8.4,101.1,522.84
2004,22.6,32.4,11.4,153.8,494.62
2004,26.1,35.2,19.1,409.5,507.48
2005,18.4,30.3,7.5,74.1,694.72
2005,23.7,32.7,15.1,185.0,598.49
2005,26.2,35.8,20.0,273.8,513.28
2006,18.4,30.1,10.3,204.3,584.65
2006,22.6,32.5,14.5,226.7,607.3
2006,24.5,32.7,18.7,478.3,386.23
2007,18.9,28.8,10.0,116.0,669.41
2007,22.9,33.1,16.5,52.0,487.29
2007,25.1,33.6,19.6,232.0,462.23
2008,18.7,31.4,7.4,150.6,618.09
2008,22.2,32.0,14.1,273.2,443.66
2008,27.3,35.1,19.7,139.2,516.78
2009,19.7,31.4,9.1,114.9,651.23
2009,23.4,33.5,14.8,181.1,578.23
2009,24.8,31.8,18.2,607.4,387.29
2010,18.6,32.2,5.9,99.0,586.94
2010,23.7,32.5,14.6,70.6,555.3
2010,26.3,33.2,21.1,453.0,455.21
2011,19.0,30.6,8.4,142.9,569.32
2011,23.3,33.1,15.3,120.0,527.2
2011,26.5,35.3,19.2,277.5,476.54
2012,20.0,31.6,10.4,42.6,613.47
2012,23.4,31.8,15.6,83.1,508.92
2012,26.4,35.2,20.5,330.6,440.28
2013,19.1,32.1,6.6,86.5,601.04
2013,23.9,32.8,15.3,83.7,485.93
2013,27.1,33.5,22.3,349.1,453.88
2014,19.2,33.5,7.0,57.0,700.91
2014,22.9,32.1,16.5,72.0,504.52
2014,25.2,36.5,17.7,240.9,448.6
2015,19.4,33.1,6.5,48.6,657.85
2015,22.5,31.9,13.9,96.1,495.99
2015,25.4,34.2,17.6,164.3,522.71
2016,19.8,31.1,10.0,104.5,681.6
2016,23.0,31.5,14.7,116.1,505.22
2016,26.9,36.0,20.1,301.3,570.17
2017,19.8,33.0,10.7,30.2,704.45
2017,23.1,34.1,13.7,42.1,640.81
2017,27.8,35.4,22.5,211.6,494.13
2018,19.5,31.1,7.8,85.4,581.84
2018,23.6,34.5,15.7,222.4,630.27
2018,28.3,38.5,20.4,84.5,660.92
2019,19.2,30.7,6.8,78.8,750.55
2019,22.0,31.7,13.5,158.0,607.69
2019,25.3,32.9,19.1,242.2,504.72
2020,18.8,30.1,10.4,96.8,619.38
2020,23.6,33.7,14.2,199.9,592.22
2020,23.4,31.6,17.8,533.3,394.45
2021,18.4,30.4,7.1,139.4,617.85
2021,23.3,32.8,14.9,118.1,603.21
2021,27.0,35.1,20.1,227.6,566.24
