일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,26.3,33.9,18.7,538.3,258.01
2000,20.4,30.6,11.0,228.7,212.69
2000,15.9,28.1,4.5,31.7,235.7
2000,8.4,22.1,-3.0,53.8,295.02
2000,3.2,16.7,-6.6,6.4,294.42
2001,26.3,35.0,17.5,113.2,548.87
2001,22.3,32.2,12.1,135.3,533.44
2001,16.6,27.0,6.9,69.7,387.71
2001,8.0,19.3,-0.1,15.3,332.42
2001,2.5,14.5,-5.7,53.5,270.61
2002,24.7,33.9,19.5,584.0,352.01
2002,21.5,32.8,12.6,109.0,466.28
2002,14.5,28.3,1.0,38.6,417.48
2002,6.3,20.8,-3.3,34.1,306.75
2002,4.0,16.0,-5.5,30.5,275.64
2003,24.3,31.9,17.9,411.0,424.52
2003,22.0,31.5,12.8,206.3,429.19
2003,14.7,27.0,3.7,36.2,432.43
2003,11.0,23.0,-1.9,38.4,249.32
2003,3.1,15.8,-6.8,34.4,251.63
2004,26.3,34.7,19.0,570.5,518.63
2004,22.0,30.7,12.8,242.0,387.08
2004,15.9,26.5,4.2,3.4,470.53
2004,10.2,24.9,0.4,63.1,300.06
2004,4.9,19.0,-4.0,28.8,258.22
2005,26.1,35.2,18.9,303.3,504.6
2005,23.5,32.0,14.8,108.5,431.03
2005,15.7,27.5,3.5,17.4,432.03
2005,10.2,25.1,-1.6,42.8,350.22
2005,-0.6,15.3,-11.1,66.6,290.95
2006,27.0,35.0,20.8,295.5,569.7
2006,20.5,30.3,13.1,46.8,482.39
2006,18.2,28.1,8.0,18.2,471.02
2006,11.0,23.2,-0.1,41.7,302.16
2006,3.6,17.0,-7.9,37.9,224.66
2007,26.9,34.3,19.3,339.3,476.49
2007,22.3,31.3,14.7,490.7,357.16
2007,16.3,27.1,5.5,95.5,448.96
2007,9.0,21.7,-2.4,3.3,330.05
2007,4.9,16.6,-3.2,61.6,221.96
2008,26.3,34.3,19.2,157.5,535.94
2008,23.7,33.7,9.7,58.9,442.51
2008,17.8,30.6,8.1,15.3,402.45
2008,9.8,23.6,-3.0,39.1,288.31
2008,4.1,17.7,-8.5,14.5,242.51
2009,26.1,34.5,18.1,263.1,472.03
2009,22.7,32.0,15.8,22.6,464.75
2009,17.3,28.3,8.7,36.2,441.2
2009,9.7,25.4,-1.3,26.7,265.34
2009,2.8,12.7,-7.1,50.5,225.51
2010,28.1,35.5,22.9,337.6,451.27
2010,23.6,33.8,11.0,139.7,434.48
2010,15.7,25.8,1.5,42.0,412.36
2010,8.4,19.5,-1.2,7.4,319.97
2010,2.5,18.3,-9.3,41.9,250.11
2011,25.9,35.2,17.9,382.5,394.33
2011,22.7,33.3,12.8,13.5,499.13
2011,15.4,27.7,2.9,20.5,406.14
2011,12.6,27.1,-1.2,136.8,203.72
2011,2.2,12.3,-6.3,13.3,202.09
2012,27.6,37.7,18.8,473.5,446.0
2012,21.3,31.4,14.3,272.0,422.22
2012,15.9,26.7,4.6,82.8,425.31
2012,8.1,18.8,-0.6,45.9,270.87
2012,0.4,12.0,-10.2,79.6,229.26
2013,28.4,36.2,19.7,293.2,552.53
2013,22.6,32.1,11.7,88.5,449.81
2013,16.8,29.8,5.1,30.8,424.56
2013,8.6,23.8,-2.0,95.0,257.71
2013,2.9,14.0,-5.0,18.2,233.26
2014,24.4,32.3,18.4,370.2,349.72
2014,22.3,31.2,15.0,116.5,437.93
2014,16.4,29.1,5.3,105.0,420.65
2014,10.3,19.2,0.3,95.5,269.63
2014,1.2,11.6,-6.7,47.5,198.15
2015,26.0,36.2,19.1,148.9,538.07
2015,22.0,30.6,14.9,66.6,517.74
2015,16.9,26.9,4.8,90.9,444.87
2015,11.6,21.6,-0.2,121.9,205.09
2015,5.3,15.8,-3.5,59.2,225.35
2016,27.8,37.2,16.6,81.0,592.06
2016,23.0,33.0,15.6,251.2,408.67
2016,17.2,31.1,5.9,216.7,318.54
2016,9.6,21.9,-0.5,31.5,297.0
2016,4.7,17.3,-4.6,44.9,241.72
2017,27.0,37.3,17.7,280.5,547.82
2017,22.4,31.1,11.5,108.8,463.02
2017,17.0,29.5,3.4,85.4,392.99
2017,8.8,21.3,-0.8,2.1,343.91
2017,1.9,13.6,-7.2,28.5,275.81
2018,28.4,38.5,20.6,397.1,590.22
2018,21.6,29.7,11.6,129.7,461.03
2018,14.5,25.4,5.6,125.2,456.15
2018,9.9,21.0,0.4,47.2,335.3
2018,3.2,19.8,-7.0,32.4,284.78
2019,27.0,34.8,20.1,64.8,549.91
2019,22.9,30.6,13.7,165.8,417.03
2019,17.1,28.4,6.7,149.9,430.67
2019,10.8,22.9,0.1,22.8,337.05
2019,4.8,16.3,-5.0,31.6,242.93
2020,27.6,34.4,23.0,738.1,501.73
2020,21.3,31.1,13.0,178.3,441.01
2020,15.7,26.2,6.5,12.1,477.99
2020,10.5,23.6,0.7,28.3,320.91
2020,2.7,13.8,-8.9,18.7,299.96
2021,25.8,34.5,19.9,338.7,466.53
2021,22.9,32.4,15.8,131.1,389.17
2021,17.2,30.7,3.6,35.3,439.7
2021,10.2,23.8,1.1,85.8,310.83
2021,4.1,15.4,-8.3,7.1,288.88
