일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,6.6,19.0,-2.4,51.6,523.0
2000,11.9,26.0,3.3,54.8,540.765
2000,17.2,28.2,7.3,52.6,586.195
2001,5.4,18.8,-4.8,67.3,424.48
2001,12.1,26.1,3.4,20.9,533.055
2001,16.4,26.3,6.6,52.2,523.99
2002,7.5,15.8,-1.1,82.1,439.98
2002,12.1,21.6,4.4,165.1,490.19
2002,14.9,27.2,7.7,96.1,527.965
2003,5.0,16.1,-3.6,66.9,386.78
2003,10.4,23.4,1.3,396.1,442.335
2003,14.6,23.5,5.8,323.5,508.255
2004,5.9,17.0,-3.9,69.1,455.145
2004,12.1,23.7,3.4,112.8,514.605
2004,15.8,23.2,7.5,127.4,481.455
2005,4.3,16.8,-5.6,114.7,463.49
2005,11.6,20.2,2.0,34.7,506.26
2005,14.2,25.1,6.8,30.7,581.16
2006,4.9,14.7,-5.3,65.9,441.89
2006,8.6,18.0,1.6,120.3,399.02
2006,14.0,25.0,4.8,236.2,476.66
2007,6.0,16.6,-4.8,117.1,383.825
2007,10.4,24.1,0.8,18.8,502.665
2007,15.8,23.9,8.6,191.1,570.48
2008,7.6,15.8,0.3,51.0,459.04
2008,12.7,23.7,7.3,43.2,562.895
2008,15.9,26.0,9.1,89.2,651.45
2009,5.9,20.8,-1.8,119.4,488.165
2009,11.7,24.4,1.7,123.4,574.325
2009,16.4,29.0,9.6,172.5,652.975
2010,3.8,14.4,-2.4,110.0,355.01
2010,8.9,18.3,1.6,58.0,515.935
2010,15.2,27.5,6.6,132.2,618.33
2011,3.8,15.3,-4.0,93.8,552.965
2011,9.6,19.1,2.1,214.5,533.5
2011,14.1,21.7,7.2,72.6,551.37
2012,4.3,13.5,-3.8,106.3,423.205
2012,11.0,24.3,-0.2,145.0,555.67
2012,15.5,25.1,6.9,91.0,613.315
2013,6.2,16.3,-1.7,71.0,494.53
2013,9.1,20.0,0.5,131.7,517.935
2013,15.7,26.6,5.3,170.1,621.63
2014,6.5,18.5,-1.7,117.1,413.23
2014,12.0,22.8,1.1,128.0,493.32
2014,17.3,29.1,9.3,39.1,706.955
2015,6.6,17.0,-5.1,37.3,522.56
2015,11.2,24.9,2.6,67.7,435.955
2015,17.9,28.1,9.9,35.9,695.1
2016,6.7,17.5,-3.8,16.1,434.695
2016,12.3,20.9,2.3,118.5,494.14
2016,17.3,25.5,9.1,64.3,665.365
2017,6.1,14.5,-1.6,70.1,273.81
2017,12.7,25.2,3.4,118.4,404.64
2017,17.6,29.3,10.6,24.5,473.84
2018,6.9,19.7,-2.3,141.3,310.28
2018,11.9,24.2,1.3,150.0,373.86
2018,15.6,26.2,5.2,131.6,407.36
2019,8.0,17.8,1.0,91.3,319.68
2019,10.5,21.7,1.5,76.4,379.61
2019,18.4,30.8,7.1,19.0,506.67
2020,7.4,18.5,0.5,65.5,516.73
2020,10.4,20.9,3.9,44.5,614.26
2020,16.4,26.6,8.8,124.6,669.99
2021,8.1,17.1,-2.5,59.3,467.59
