일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,17.2,28.2,7.3,52.6,586.195
2000,19.5,30.5,9.5,99.7,504.755
2000,23.9,32.2,17.4,50.9,491.39
2000,23.5,32.3,18.6,67.8,414.44
2000,18.7,29.2,13.8,194.1,325.02
2001,16.4,26.3,6.6,52.2,523.99
2001,19.2,29.0,13.1,186.1,440.845
2001,23.5,31.2,16.9,50.3,513.71
2001,23.9,31.6,18.1,22.5,468.3
2001,19.6,28.4,12.6,120.9,395.825
2002,14.9,27.2,7.7,96.1,527.965
2002,19.1,27.8,11.7,56.1,576.885
2002,22.2,31.2,15.7,356.4,441.64
2002,22.0,31.9,15.8,623.3,356.2
2002,18.7,28.4,13.4,92.3,379.405
2003,14.6,23.5,5.8,323.5,508.255
2003,19.2,27.4,11.8,248.6,472.69
2003,19.7,26.7,15.4,285.8,329.89
2003,22.2,30.5,17.1,252.9,339.88
2003,19.6,26.7,12.9,202.8,297.615
2004,15.8,23.2,7.5,127.4,481.455
2004,20.0,27.6,13.8,186.7,503.69
2004,23.7,32.2,17.5,180.0,453.825
2004,22.5,31.6,16.2,398.4,402.58
2004,19.8,28.4,14.6,330.4,332.02
2005,14.2,25.1,6.8,30.7,581.16
2005,20.4,30.9,12.6,93.8,530.15
2005,23.1,31.8,17.0,176.8,455.305
2005,24.6,32.3,17.8,77.5,450.76
2005,20.2,30.5,14.8,427.5,331.86
2006,14.0,25.0,4.8,236.2,476.66
2006,18.1,27.4,11.3,72.5,498.6
2006,20.7,30.0,16.2,525.5,303.555
2006,24.8,31.7,18.3,176.4,499.945
2006,18.8,27.2,14.0,119.1,379.84
2007,15.8,23.9,8.6,191.1,570.48
2007,19.1,27.1,11.9,142.5,510.33
2007,20.8,31.7,16.1,126.7,420.215
2007,25.3,33.7,17.2,95.5,443.22
2007,20.7,27.7,15.6,308.8,290.125
2008,15.9,26.0,9.1,89.2,651.45
2008,17.2,27.7,11.1,178.5,537.71
2008,23.7,31.5,15.3,224.0,584.15
2008,22.2,30.6,16.2,197.3,575.12
2008,20.0,27.8,12.7,67.5,446.82
2009,16.4,29.0,9.6,172.5,652.975
2009,19.3,31.1,12.7,71.3,601.455
2009,20.8,27.8,17.1,300.9,469.24
2009,21.8,29.4,17.3,91.0,499.185
2009,19.6,25.7,14.9,136.8,459.355
2010,15.2,27.5,6.6,132.2,618.33
