일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,23.5,32.3,18.6,67.8,414.44
2000,18.7,29.2,13.8,194.1,325.02
2000,15.1,24.2,7.3,18.4,311.485
2000,9.2,21.2,1.4,128.0,229.38
2000,4.7,14.8,-4.8,43.9,235.8
2001,23.9,31.6,18.1,22.5,468.3
2001,19.6,28.4,12.6,120.9,395.825
2001,16.0,23.7,7.8,113.9,302.68
2001,9.8,19.1,1.2,151.9,301.21
2001,3.3,12.5,-3.4,101.6,276.51
2002,22.0,31.9,15.8,623.3,356.2
2002,18.7,28.4,13.4,92.3,379.405
2002,14.3,23.8,3.6,54.0,369.67
2002,6.6,16.6,-0.3,81.5,317.19
2002,3.2,15.4,-5.2,190.0,238.585
2003,22.2,30.5,17.1,252.9,339.88
2003,19.6,26.7,12.9,202.8,297.615
2003,14.7,22.5,6.6,35.0,394.025
2003,11.1,23.2,2.0,53.2,216.095
2003,5.0,13.3,-5.0,184.5,268.83
2004,22.5,31.6,16.2,398.4,402.58
2004,19.8,28.4,14.6,330.4,332.02
2004,14.8,24.4,7.4,44.0,350.64
2004,11.4,19.8,3.8,152.1,278.82
2004,5.7,15.6,-3.7,183.0,249.99
2005,24.6,32.3,17.8,77.5,450.76
2005,20.2,30.5,14.8,427.5,331.86
2005,15.5,25.5,3.6,186.7,313.075
2005,10.7,22.4,2.6,80.0,294.095
2005,0.3,12.4,-7.9,128.4,280.87
2006,24.8,31.7,18.3,176.4,499.945
2006,18.8,27.2,14.0,119.1,379.84
2006,17.1,27.0,12.0,53.4,363.015
2006,10.1,21.8,1.8,230.5,235.985
2006,4.9,13.4,-5.3,161.5,235.015
2007,25.3,33.7,17.2,95.5,443.22
2007,20.7,27.7,15.6,308.8,290.125
2007,16.2,25.2,8.0,181.2,314.595
2007,10.8,20.6,1.5,106.4,283.47
2007,6.7,13.3,-3.5,119.3,223.495
2008,22.2,30.6,16.2,197.3,575.12
2008,20.0,27.8,12.7,67.5,446.82
2008,16.9,24.6,9.3,77.1,417.775
2008,9.9,19.9,-1.2,61.2,284.01
2008,4.6,15.1,-8.7,81.9,282.98
2009,21.8,29.4,17.3,91.0,499.185
2009,19.6,25.7,14.9,136.8,459.355
2009,16.0,23.7,10.1,36.1,449.225
2009,8.7,22.1,0.7,229.9,268.085
2009,3.7,12.2,-5.2,147.4,277.545
2010,25.9,32.7,21.2,74.7,473.33
2010,21.1,30.8,13.9,157.5,400.58
2010,15.2,22.9,2.4,146.5,352.41
2010,9.8,19.0,1.4,27.0,327.37
2010,4.2,16.5,-5.9,184.9,266.725
2011,24.1,31.1,18.5,55.3,439.715
2011,19.9,27.8,13.0,193.0,411.0
2011,15.2,22.9,7.0,94.0,383.715
2011,11.5,21.5,0.3,84.4,228.33
2011,2.5,11.3,-4.2,169.8,273.165
2012,24.7,30.3,18.5,206.0,451.065
2012,19.8,26.5,14.6,235.1,430.255
2012,15.4,22.9,6.4,87.2,417.91
2012,8.2,17.6,1.6,140.0,289.815
2012,1.5,10.8,-5.5,213.4,247.22
2013,26.6,35.4,19.2,42.5,553.64
2013,20.7,27.2,14.4,101.4,386.625
2013,16.1,24.1,9.0,248.8,341.205
2013,8.9,21.0,-2.8,76.0,295.095
2013,3.4,12.7,-3.8,155.4,249.9
2014,22.2,30.8,17.5,425.0,351.285
2014,20.2,26.7,12.7,129.7,410.76
2014,15.2,22.7,9.2,77.8,371.79
2014,10.8,19.4,0.8,94.9,265.13
2014,2.2,12.6,-6.3,135.9,261.82
2015,24.4,33.3,16.7,158.9,503.905
2015,19.2,25.5,15.0,73.2,428.17
2015,15.4,22.6,6.3,46.1,421.11
2015,10.4,19.3,1.4,429.4,169.375
2015,5.4,13.2,-2.8,99.5,212.195
2016,24.5,31.5,16.1,491.3,575.67
2016,20.3,26.2,14.0,241.3,7.39
2016,15.5,24.8,8.2,213.8,171.68
2016,9.3,20.7,1.5,189.2,123.6
2016,5.9,15.8,-1.4,237.0,116.52
2017,24.3,31.6,19.0,60.4,333.08
2017,20.7,27.9,15.2,124.8,344.21
2017,15.2,24.5,8.3,106.0,212.98
2017,9.1,19.8,-0.8,88.9,165.78
2017,2.2,11.9,-4.7,106.2,123.09
2018,25.4,34.5,19.2,79.7,371.9
2018,20.2,26.9,15.4,83.0,265.22
2018,14.8,22.5,7.0,260.9,255.92
2018,10.7,20.2,2.3,42.9,174.4
2018,4.3,16.7,-4.5,232.6,110.01
