일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,24.8,34.5,18.4,720.1,453.02
2000,19.1,32.1,7.0,137.9,394.07
2000,12.3,27.3,-2.6,28.2,359.46
2001,25.3,35.5,15.6,179.9,584.85
2001,20.3,32.4,4.4,33.7,514.36
2001,14.0,25.6,2.1,81.4,354.43
2002,23.2,31.9,15.3,458.1,345.64
2002,19.6,30.8,8.2,46.1,419.13
2002,10.7,25.1,-4.7,65.8,398.29
2003,23.5,33.0,15.6,618.6,385.71
2003,19.3,28.8,8.2,308.5,388.23
2003,11.1,26.0,-2.0,43.0,416.24
2004,24.3,35.6,15.4,130.1,524.65
2004,20.1,31.2,9.9,246.0,443.91
2004,12.6,26.8,-0.4,31.0,459.02
2005,24.0,34.8,14.0,335.7,448.51
2005,20.3,31.9,12.0,231.8,385.43
2005,12.3,25.0,-2.1,21.9,390.89
2006,25.5,34.8,18.9,73.2,579.69
2006,18.7,29.4,6.8,14.0,477.59
2006,15.5,27.8,2.3,69.1,374.83
2007,24.8,31.8,15.8,441.9,425.65
2007,20.1,30.3,10.6,216.8,309.73
2007,13.2,26.1,0.0,40.4,369.78
2008,24.5,35.2,14.7,233.1,533.48
2008,20.2,31.8,6.0,123.3,446.1
2008,14.4,28.1,1.7,37.1,364.53
2009,24.4,34.1,13.6,448.3,505.7
2009,19.8,29.3,10.6,24.0,479.93
2009,13.9,27.1,2.0,78.3,413.87
2010,25.2,33.0,17.6,512.6,409.6
2010,20.2,31.0,5.0,432.5,404.98
2010,12.6,24.6,-3.8,28.4,380.8
2011,24.3,33.3,15.2,272.7,407.52
2011,19.6,32.1,7.1,32.4,464.79
2011,12.1,23.3,-1.0,35.6,360.02
2012,26.1,36.4,17.1,397.2,438.77
2012,19.7,31.6,8.4,171.1,411.28
2012,13.7,26.6,0.5,99.8,406.21
2013,26.5,33.5,18.7,124.6,471.11
2013,20.2,30.3,7.1,103.6,385.56
2013,13.9,28.5,2.0,18.2,384.47
2014,23.8,36.3,16.6,125.3,386.38
2014,20.5,31.1,11.4,93.1,200.45
2014,13.9,29.7,-0.9,39.7,274.74
2015,24.8,34.4,15.7,120.6,439.44
2015,20.4,29.9,10.7,60.5,420.01
2015,13.9,27.2,-2.0,83.1,328.66
2016,26.5,35.7,12.1,70.4,465.85
2016,21.6,30.9,10.0,39.6,334.72
2016,14.6,28.5,-1.8,154.9,273.41
2017,24.5,35.9,13.6,334.6,369.0
2017,20.1,30.4,6.8,25.3,408.02
2017,14.1,27.8,-0.9,18.5,318.45
2018,27.2,38.7,17.2,407.4,546.86
2018,19.8,31.5,7.5,56.5,459.39
2018,11.4,25.6,-1.4,107.9,399.52
2019,25.4,35.3,16.3,135.2,548.63
2019,20.8,29.9,9.6,247.5,372.93
2019,14.4,27.9,1.1,38.2,392.02
2020,25.3,35.0,19.8,757.8,357.68
2020,19.5,30.1,9.3,130.4,428.77
2020,12.0,24.8,0.0,2.9,415.47
2021,24.3,32.6,17.7,140.6,426.72
2021,20.8,29.6,13.8,100.6,428.47
2021,13.7,28.2,-0.9,71.2,261.64
2002,23.3,31.8,16.2,407.7,345.64
2002,19.4,30.4,8.4,31.5,419.13
2002,10.2,24.8,-5.5,47.0,398.29
2003,23.2,32.4,15.3,603.2,385.71
2003,19.6,28.7,8.9,239.1,388.23
2003,11.3,26.2,-2.2,45.5,416.24
2004,24.3,34.6,14.8,118.6,524.65
2004,19.8,29.7,10.5,253.0,443.91
2004,12.2,26.7,-0.8,4.7,459.02
2005,24.1,34.4,13.9,268.4,448.51
2005,20.4,30.8,12.9,294.0,385.43
2005,12.2,24.4,-2.2,14.5,390.89
2006,25.8,34.9,19.2,56.3,579.69
2006,18.8,29.9,7.3,28.9,477.59
2006,15.3,27.2,1.3,33.0,374.83
2007,25.3,33.0,16.3,270.8,425.65
2007,20.4,31.0,11.2,219.6,309.73
2007,12.9,26.4,-1.4,30.7,369.78
2008,24.2,34.9,15.2,295.1,533.48
2008,19.9,31.0,5.4,111.5,446.1
2008,13.8,27.0,-0.3,24.0,364.53
2009,24.2,33.3,14.3,424.0,505.7
2009,19.5,29.1,10.6,18.5,479.93
2009,13.2,26.5,1.3,70.5,413.87
2010,25.7,34.1,18.1,525.9,409.6
2010,20.7,32.5,5.5,439.0,404.98
2010,12.4,26.0,-3.6,25.5,380.8
2011,25.0,34.1,16.5,235.2,407.52
2011,19.9,31.3,5.7,27.5,464.79
2011,11.6,23.1,-2.2,33.4,360.02
2012,26.2,36.5,17.2,540.3,438.77
2012,19.6,30.8,7.6,150.1,411.28
2012,13.4,26.5,-0.8,79.7,406.21
2013,27.2,34.9,19.2,151.9,471.11
2013,20.5,30.9,7.1,67.8,385.56
2013,13.3,28.5,0.2,17.5,384.47
2014,23.7,35.8,16.0,120.2,386.38
2014,19.9,30.2,10.2,63.8,200.45
2014,13.2,29.0,-2.6,56.5,274.74
2015,24.5,33.8,14.8,33.5,439.44
2015,19.7,29.9,9.2,31.8,420.01
2015,13.1,25.9,-4.1,74.1,328.66
2016,26.0,35.0,11.5,31.9,465.85
2016,21.1,30.5,9.3,26.4,334.72
2016,13.7,28.4,-3.7,249.9,273.41
2017,23.7,34.9,11.8,318.1,369.0
2017,19.1,29.5,4.2,23.1,408.02
2017,13.0,26.8,-3.6,9.8,318.45
2018,26.5,37.6,16.6,129.5,546.86
2018,19.2,30.1,6.9,50.3,459.39
2018,10.3,25.5,-3.1,102.0,399.52
2019,25.1,34.7,15.5,161.9,548.63
2019,20.3,30.0,8.3,283.2,372.93
