일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,4.9,18.6,-9.0,5.5,455.28
2000,10.5,22.1,-1.9,32.5,530.95
2000,16.3,30.4,5.7,68.1,562.77
2001,3.0,20.8,-8.9,10.2,484.58
2001,11.8,28.7,-4.7,10.0,579.14
2001,18.0,33.1,5.8,8.0,613.82
2002,6.3,20.1,-7.0,37.3,438.67
2002,12.7,30.3,-0.2,144.3,539.1
2002,17.1,28.5,6.5,54.2,605.37
2003,4.8,21.7,-8.0,30.1,404.19
2003,11.8,26.2,0.3,124.0,448.77
2003,18.4,31.4,4.7,92.5,606.45
2004,4.2,19.9,-10.6,31.5,494.99
2004,11.2,28.6,-2.5,104.7,555.44
2004,15.9,26.5,3.4,163.4,544.98
2005,2.8,19.0,-9.5,9.2,510.99
2005,11.9,30.8,-1.4,75.7,560.45
2005,16.0,30.7,2.6,61.1,657.43
2006,3.7,19.4,-10.3,19.4,484.42
2006,10.5,23.8,1.2,80.0,451.5
2006,17.0,29.3,5.9,132.8,574.06
2007,4.6,17.6,-10.7,79.1,348.78
2007,10.2,24.1,-2.4,47.1,513.24
2007,16.7,30.1,5.4,112.0,563.62
2008,6.2,21.6,-5.7,44.3,411.49
2008,13.3,30.3,-0.5,36.3,512.62
2008,16.8,30.7,4.8,89.6,579.54
2009,5.4,23.8,-5.9,58.7,458.31
2009,11.6,28.4,-1.2,69.5,524.73
2009,18.3,32.1,6.8,115.7,610.79
2010,3.9,16.5,-4.5,81.1,347.2
2010,8.8,23.5,-1.7,61.1,476.36
2010,16.3,29.8,3.0,112.2,557.47
2011,3.1,18.4,-7.9,6.5,514.31
2011,9.9,21.0,-0.2,95.9,509.16
2011,16.8,32.9,6.6,132.8,542.32
2012,4.1,18.0,-7.3,32.9,411.82
2012,11.6,31.0,-2.7,129.0,513.21
2012,18.2,30.5,7.0,20.6,640.74
2013,4.7,24.7,-6.2,24.5,486.99
2013,9.6,23.1,-1.1,74.8,519.51
2013,17.9,32.8,6.1,117.5,593.67
2014,7.1,23.9,-7.2,7.8,464.55
2014,13.2,27.3,-0.8,22.1,459.33
2014,17.9,33.4,4.2,80.8,630.98
2015,5.5,23.2,-7.7,8.4,410.18
2015,12.7,30.0,0.0,82.5,391.21
2015,18.3,33.1,5.4,32.8,561.92
2016,6.5,24.0,-10.2,53.3,397.71
2016,13.8,30.9,2.8,86.5,423.37
2016,18.5,32.2,7.7,151.8,548.69
2017,5.6,21.0,-7.3,15.1,419.62
2017,13.2,28.3,0.5,67.5,482.32
2017,18.4,30.9,6.9,22.7,581.1
2018,7.4,23.8,-8.4,38.7,377.9
2018,12.4,28.7,-1.6,125.9,493.31
2018,17.4,30.4,5.3,242.9,564.21
2019,5.7,18.5,-5.2,32.5,433.09
2019,11.0,28.4,-3.6,34.8,487.34
2019,18.3,32.8,4.5,34.5,713.17
2020,6.7,22.3,-5.4,19.7,520.32
2020,10.2,24.6,-0.7,19.5,639.12
2020,17.1,29.5,6.5,134.3,559.39
2021,7.7,23.9,-3.8,107.8,457.07
2021,13.0,29.1,0.0,99.3,541.96
2021,15.8,29.9,5.0,228.8,544.33
2002,5.8,18.4,-7.2,29.2,438.67
2002,11.9,27.2,-0.5,171.7,539.1
2002,16.7,27.8,6.3,52.0,605.37
2003,4.3,20.9,-8.7,28.4,404.19
2003,11.2,24.6,-0.5,117.0,448.77
2003,17.8,31.6,3.5,54.0,606.45
2004,3.8,18.4,-10.1,41.8,494.99
2004,10.7,27.4,-3.8,88.5,555.44
2004,16.2,27.4,2.7,147.2,544.98
2005,2.4,17.5,-10.1,7.1,510.99
2005,11.5,29.3,-2.4,68.1,560.45
2005,15.9,30.7,2.8,88.5,657.43
2006,3.6,17.7,-9.3,13.8,484.42
2006,10.6,21.8,0.0,56.8,451.5
2006,17.0,28.3,6.8,169.9,574.06
2007,4.5,16.4,-10.9,75.3,348.78
2007,9.9,22.7,-3.5,48.6,513.24
2007,16.4,29.3,4.9,133.6,563.62
2008,5.4,19.1,-7.2,47.1,411.49
2008,12.3,28.6,-1.1,38.3,512.62
2008,16.0,29.6,4.2,63.6,579.54
2009,4.6,22.1,-6.8,61.6,458.31
2009,10.5,26.3,-2.7,79.0,524.73
2009,17.5,30.9,5.0,150.6,610.79
2010,3.5,15.5,-5.9,74.1,347.2
2010,8.2,22.1,-3.4,52.5,476.36
2010,15.9,28.0,2.8,115.6,557.47
2011,2.7,17.0,-8.9,8.3,514.31
2011,9.2,20.3,-2.6,93.3,509.16
2011,16.8,32.0,5.4,120.1,542.32
2012,4.2,18.2,-8.3,32.4,411.82
2012,11.4,32.0,-3.2,121.5,513.21
2012,18.2,30.1,6.0,26.4,640.74
2013,3.8,23.1,-7.2,26.0,486.99
2013,9.4,23.7,-2.6,58.3,519.51
2013,17.1,31.6,5.7,139.6,593.67
2014,6.0,22.6,-9.0,5.1,464.55
2014,12.1,25.5,-2.8,18.7,459.33
2014,16.8,31.3,2.0,70.7,630.98
2015,4.1,21.3,-9.0,7.7,410.18
2015,11.8,29.1,-2.2,63.4,391.21
2015,17.0,31.6,2.9,26.8,561.92
2016,5.4,21.6,-10.5,57.4,397.71
2016,12.6,28.1,0.2,89.3,423.37
2016,17.4,30.6,7.0,157.7,548.69
2017,3.8,18.8,-8.5,9.0,419.62
2017,11.7,25.1,-2.1,65.7,482.32
2017,16.8,29.1,5.2,44.1,581.1
2018,5.8,21.1,-9.7,36.3,377.9
2018,10.6,25.3,-3.8,122.4,493.31
2018,16.0,29.9,4.5,208.2,564.21
2019,4.7,16.8,-7.5,25.5,433.09
2019,10.1,26.6,-5.0,38.6,487.34
2019,17.3,31.3,1.8,37.1,713.17
2020,5.7,21.6,-7.0,12.1,520.32
2020,9.3,23.0,-3.8,17.5,639.12
2020,16.4,28.5,5.9,131.8,559.39
2021,6.7,22.0,-4.7,112.4,457.07
2021,12.2,26.7,-0.5,106.4,541.96
2021,15.5,29.4,4.0,243.0,544.33
2000,5.6,20.0,-6.8,3.1,455.28
2000,11.6,23.6,-0.2,20.4,530.95
2000,17.5,31.3,7.5,43.7,562.77
2001,4.2,21.8,-5.6,15.1,484.58
2001,12.1,26.5,-1.1,12.9,579.14
2001,18.1,29.5,8.4,13.8,613.82
2002,6.2,19.3,-6.3,35.7,438.67
2002,12.7,27.8,2.0,152.4,539.1
2002,16.4,26.9,8.6,77.0,605.37
2003,5.3,21.5,-7.4,28.3,404.19
2003,12.4,25.4,1.8,182.0,448.77
2003,18.8,29.9,5.9,85.5,606.45
2004,5.7,20.2,-6.5,14.4,494.99
2004,12.2,26.9,-0.2,63.8,555.44
2004,17.0,27.2,7.3,125.2,544.98
2005,4.1,18.3,-6.0,25.6,510.99
2005,12.6,30.5,1.2,85.6,560.45
2005,17.1,30.0,6.6,89.6,657.43
2006,5.0,17.8,-7.4,6.9,484.42
2006,11.3,21.6,2.9,59.9,451.5
2006,18.2,28.7,10.0,133.2,574.06
2007,6.0,18.1,-6.8,135.3,348.78
2007,11.1,22.1,0.8,24.2,513.24
2007,17.8,29.8,8.3,146.7,563.62
2008,6.8,19.7,-3.0,55.9,411.49
2008,13.3,28.1,1.0,42.2,512.62
2008,17.6,29.7,7.8,92.7,579.54
2009,6.1,22.4,-5.3,59.5,458.31
2009,12.0,26.7,0.7,45.0,524.73
2009,18.3,31.4,8.1,102.4,610.79
2010,4.6,14.7,-3.6,78.7,347.2
2010,9.6,21.8,-0.8,58.6,476.36
2010,17.1,29.8,4.1,100.7,557.47
2011,3.5,16.9,-6.7,23.4,514.31
2011,10.1,21.0,0.2,186.4,509.16
2011,16.2,29.0,6.4,74.2,542.32
2012,5.1,17.7,-5.1,43.1,411.82
2012,12.1,29.1,0.8,125.5,513.21
2012,19.1,29.1,9.7,16.5,640.74
2013,4.8,25.0,-4.8,48.2,486.99
2013,9.7,22.4,-0.1,69.5,519.51
2013,17.6,31.1,6.8,129.0,593.67
2014,7.6,24.7,-4.2,10.9,464.55
2014,13.3,26.3,1.4,55.7,459.33
2014,18.2,33.2,6.0,64.4,630.98
2015,6.0,21.8,-6.0,12.5,410.18
2015,13.1,27.4,3.0,99.2,391.21
2015,18.2,31.8,7.3,32.6,561.92
2016,7.0,22.2,-7.0,54.8,397.71
2016,13.9,29.7,4.1,79.2,423.37
2016,19.1,31.8,8.1,156.4,548.69
2017,5.7,18.7,-5.6,9.0,419.62
2017,13.2,28.1,1.8,52.5,482.32
2017,18.4,30.3,8.6,22.5,581.1
2018,7.9,23.2,-6.2,86.0,377.9
2018,12.6,27.3,0.0,128.8,493.31
2018,17.9,29.5,6.9,196.4,564.21
2019,6.6,18.2,-3.3,39.6,433.09
2019,11.7,29.2,-1.9,43.6,487.34
2019,18.4,32.6,6.7,26.7,713.17
2020,7.1,20.9,-3.8,19.5,520.32
2020,10.5,23.8,1.1,15.8,639.12
2020,17.6,29.7,8.6,97.9,559.39
2021,8.1,22.9,-2.1,102.8,457.07
2021,13.5,28.6,3.0,106.4,541.96
2021,16.5,30.4,6.2,179.2,544.33
2000,5.2,19.9,-8.9,2.0,455.28
2000,11.0,23.8,-2.5,26.7,530.95
2000,17.3,32.0,5.1,75.0,562.77
2001,4.2,22.6,-7.5,10.2,484.58
2001,12.6,28.1,-3.2,16.0,579.14
2001,18.7,32.0,6.6,14.5,613.82
2002,7.1,20.5,-6.5,23.5,438.67
2002,13.2,29.2,0.0,163.5,539.1
2002,17.6,28.3,6.5,85.5,605.37
2003,5.5,21.7,-5.9,29.5,404.19
2003,12.3,26.0,0.5,176.5,448.77
2003,18.4,30.6,4.1,104.0,606.45
2004,5.2,21.6,-11.3,17.7,494.99
2004,12.0,27.7,-1.2,64.0,555.44
2004,17.0,27.2,4.0,139.5,544.98
2005,3.9,17.8,-8.1,28.9,510.99
2005,12.7,31.2,-1.0,89.0,560.45
2005,16.8,29.7,4.1,69.0,657.43
2006,5.3,19.2,-8.6,16.4,484.42
2006,11.7,24.7,1.0,71.0,451.5
2006,18.3,29.3,5.9,119.5,574.06
2007,5.9,17.8,-9.3,135.4,348.78
2007,11.5,25.1,-1.2,26.0,513.24
2007,17.9,30.1,7.6,147.0,563.62
2008,5.6,19.6,-5.7,63.1,411.49
2008,12.6,29.6,-2.8,35.3,512.62
2008,16.7,30.1,4.0,90.0,579.54
2009,6.0,22.7,-7.9,60.6,458.31
2009,12.1,28.7,-3.0,54.6,524.73
2009,18.5,31.4,6.3,100.1,610.79
2010,4.3,14.7,-5.4,86.2,347.2
2010,9.6,24.2,-2.5,64.5,476.36
2010,17.4,31.4,2.0,100.5,557.47
2011,3.6,18.9,-8.0,20.2,514.31
2011,10.5,23.3,-0.9,140.1,509.16
2011,17.4,30.6,6.8,78.6,542.32
2012,5.2,18.4,-6.9,43.4,411.82
2012,12.1,29.2,-2.0,152.5,513.21
2012,18.6,30.2,7.3,33.7,640.74
2013,5.2,24.4,-5.2,50.6,486.99
2013,9.9,24.2,-1.9,71.3,519.51
2013,17.9,30.7,5.8,126.1,593.67
2014,7.3,23.8,-6.3,11.7,464.55
2014,13.6,26.9,-0.6,31.6,459.33
2014,18.6,34.4,3.8,60.0,630.98
2015,6.0,22.8,-7.5,9.5,410.18
2015,12.8,27.5,1.5,96.1,391.21
2015,18.9,32.2,4.8,34.1,561.92
2016,6.5,21.8,-10.2,24.5,397.71
2016,14.2,29.6,2.8,71.7,423.37
2016,18.9,32.0,7.4,124.4,548.69
2017,5.8,19.4,-6.4,14.7,419.62
2017,13.7,29.2,0.1,52.7,482.32
2017,19.0,31.2,6.6,19.4,581.1
2018,7.8,23.4,-7.3,69.7,377.9
2018,12.9,28.8,-1.4,124.8,493.31
2018,17.7,30.1,5.5,207.0,564.21
2019,6.4,19.2,-5.1,37.0,433.09
2019,11.5,28.1,-3.0,56.0,487.34
2019,18.8,32.9,4.1,25.5,713.17
2020,7.6,20.9,-4.9,15.7,520.32
2020,10.8,24.9,-0.4,17.4,639.12
2020,17.8,28.5,7.4,102.8,559.39
2021,8.6,23.0,-2.8,105.9,457.07
2021,13.6,28.0,2.4,96.2,541.96
2021,16.2,29.7,5.0,148.7,544.33
2000,5.3,19.6,-8.3,2.0,455.28
2000,10.7,24.1,-3.1,20.0,530.95
2000,16.8,31.5,5.4,67.0,562.77
2001,3.9,22.2,-7.5,5.3,484.58
2001,12.2,27.0,-2.7,12.5,579.14
2001,18.2,30.7,7.0,10.0,613.82
2002,6.9,21.1,-6.8,20.0,438.67
2002,12.9,30.0,0.0,154.0,539.1
2002,16.9,28.3,6.0,93.0,605.37
2003,5.5,21.7,-6.4,34.0,404.19
2003,12.1,27.1,-0.8,204.5,448.77
2003,18.6,30.6,4.3,118.5,606.45
2004,5.4,22.5,-12.1,19.8,494.99
2004,12.1,28.2,-1.7,69.5,555.44
2004,17.2,28.7,5.0,106.0,544.98
2005,4.3,18.2,-7.6,28.5,510.99
2005,13.2,32.5,-1.1,70.5,560.45
2005,17.6,30.8,5.1,60.5,657.43
2006,5.1,18.9,-8.9,10.1,484.42
2006,11.4,24.2,0.5,98.5,451.5
2006,18.4,30.1,6.0,97.0,574.06
2007,5.2,18.0,-9.1,130.6,348.78
2007,10.8,25.0,-2.2,18.0,513.24
2007,17.4,29.6,7.0,135.5,563.62
2008,5.7,20.6,-5.4,58.1,411.49
2008,12.5,29.0,-2.7,39.4,512.62
2008,16.9,29.9,4.5,86.8,579.54
2009,5.5,23.2,-7.5,50.8,458.31
2009,11.7,28.8,-1.8,57.7,524.73
2009,18.0,31.4,5.8,118.9,610.79
2010,3.7,14.5,-5.8,99.9,347.2
2010,9.2,24.9,-3.1,70.0,476.36
