일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,16.3,30.4,5.7,68.1,562.77
2000,22.4,33.7,12.5,80.5,554.2
2000,25.4,33.9,18.3,166.0,542.24
2000,24.8,34.5,18.4,720.1,453.02
2000,19.1,32.1,7.0,137.9,394.07
2001,18.0,33.1,5.8,8.0,613.82
2001,21.5,35.1,11.6,262.3,458.05
2001,24.8,33.7,17.4,582.3,461.5
2001,25.3,35.5,15.6,179.9,584.85
2001,20.3,32.4,4.4,33.7,514.36
2002,17.1,28.5,6.5,54.2,605.37
2002,20.9,32.6,9.8,68.2,598.23
2002,24.0,35.6,17.7,299.9,499.78
2002,23.2,31.9,15.3,458.1,345.64
2002,19.6,30.8,8.2,46.1,419.13
2003,18.4,31.4,4.7,92.5,606.45
2003,20.9,31.7,12.0,204.0,457.77
2003,23.5,32.3,16.2,319.6,450.74
2003,23.5,33.0,15.6,618.6,385.71
2003,19.3,28.8,8.2,308.5,388.23
2004,15.9,26.5,3.4,163.4,544.98
2004,21.3,32.4,10.2,56.1,523.79
2004,23.1,34.0,17.0,593.0,403.57
2004,24.3,35.6,15.4,130.1,524.65
2004,20.1,31.2,9.9,246.0,443.91
2005,16.0,30.7,2.6,61.1,657.43
2005,21.6,32.9,10.3,196.7,517.93
2005,24.3,34.5,16.1,364.1,461.93
2005,24.0,34.8,14.0,335.7,448.51
2005,20.3,31.9,12.0,231.8,385.43
2006,17.0,29.3,5.9,132.8,574.06
2006,20.3,32.4,11.9,156.5,531.84
2006,22.3,30.1,16.6,718.0,332.5
2006,25.5,34.8,18.9,73.2,579.69
2006,18.7,29.4,6.8,14.0,477.59
2007,16.7,30.1,5.4,112.0,563.62
2007,21.6,34.3,10.2,62.4,535.07
2007,22.8,30.8,16.2,242.0,424.9
2007,24.8,31.8,15.8,441.9,425.65
2007,20.1,30.3,10.6,216.8,309.73
2008,16.8,30.7,4.8,89.6,579.54
2008,20.8,31.1,11.2,155.2,523.02
2008,24.5,34.0,18.8,725.6,416.64
2008,24.5,35.2,14.7,233.1,533.48
2008,20.2,31.8,6.0,123.3,446.1
2009,18.3,32.1,6.8,115.7,610.79
2009,21.3,31.9,11.7,124.6,575.27
2009,23.3,32.1,16.5,476.6,476.62
2009,24.4,34.1,13.6,448.3,505.7
2009,19.8,29.3,10.6,24.0,479.93
2010,16.3,29.8,3.0,112.2,557.47
2010,22.1,32.7,8.0,269.1,587.46
2010,24.8,31.7,19.0,324.4,471.06
2010,25.2,33.0,17.6,512.6,409.6
2010,20.2,31.0,5.0,432.5,404.98
2011,16.8,32.9,6.6,132.8,542.32
2011,21.2,35.2,12.5,383.1,507.9
2011,23.8,33.2,18.0,1223.5,368.29
2011,24.3,33.3,15.2,272.7,407.52
2011,19.6,32.1,7.1,32.4,464.79
2012,18.2,30.5,7.0,20.6,640.74
2012,22.9,34.1,13.0,144.5,627.32
2012,24.8,33.5,17.3,278.0,487.66
2012,26.1,36.4,17.1,397.2,438.77
2012,19.7,31.6,8.4,171.1,411.28
2013,17.9,32.8,6.1,117.5,593.67
2013,23.6,34.3,13.5,18.8,612.9
2013,24.7,31.3,20.4,818.7,336.56
2013,26.5,33.5,18.7,124.6,471.11
2013,20.2,30.3,7.1,103.6,385.56
2014,17.9,33.4,4.2,80.8,630.98
2014,22.2,33.3,14.6,76.9,528.82
2014,25.0,34.0,17.8,203.8,460.52
2014,23.8,36.3,16.6,125.3,386.38
2014,20.5,31.1,11.4,93.1,200.45
2015,18.3,33.1,5.4,32.8,561.92
2015,22.7,34.5,11.8,70.1,519.12
2015,24.6,35.7,15.8,348.7,412.06
2015,24.8,34.4,15.7,120.6,439.44
2015,20.4,29.9,10.7,60.5,420.01
2016,18.5,32.2,7.7,151.8,548.69
2016,22.7,32.6,13.5,29.5,515.24
2016,25.1,34.9,17.6,366.3,392.87
2016,26.5,35.7,12.1,70.4,465.85
2016,21.6,30.9,10.0,39.6,334.72
2017,18.4,30.9,6.9,22.7,581.1
2017,22.2,35.5,10.6,50.5,553.96
2017,26.0,34.5,20.2,376.3,338.13
2017,24.5,35.9,13.6,334.6,369.0
2017,20.1,30.4,6.8,25.3,408.02
2018,17.4,30.4,5.3,242.9,564.21
2018,22.1,32.2,13.6,193.6,610.81
2018,26.3,36.2,16.0,216.9,609.73
2018,27.2,38.7,17.2,407.4,546.86
2018,19.8,31.5,7.5,56.5,459.39
2019,18.3,32.8,4.5,34.5,713.17
2019,21.1,31.8,11.6,63.2,603.82
2019,24.6,35.8,16.5,329.8,436.88
2019,25.4,35.3,16.3,135.2,548.63
2019,20.8,29.9,9.6,247.5,372.93
2020,17.1,29.5,6.5,134.3,559.39
2020,22.8,35.5,13.3,128.6,579.08
2020,23.0,32.2,16.2,248.0,436.97
2020,25.3,35.0,19.8,757.8,357.68
2020,19.5,30.1,9.3,130.4,428.77
2021,15.8,29.9,5.0,228.8,544.33
2021,21.3,30.8,11.5,103.3,575.34
2021,26.4,35.7,18.5,100.2,608.7
2021,24.3,32.6,17.7,140.6,426.72
2021,20.8,29.6,13.8,100.6,428.47
2002,16.7,27.8,6.3,52.0,605.37
2002,20.6,32.0,10.5,55.2,598.23
2002,24.0,35.0,17.6,345.3,499.78
2002,23.3,31.8,16.2,407.7,345.64
2002,19.4,30.4,8.4,31.5,419.13
2003,17.8,31.6,3.5,54.0,606.45
2003,20.5,31.5,10.8,196.3,457.77
2003,23.4,31.6,16.4,323.2,450.74
2003,23.2,32.4,15.3,603.2,385.71
2003,19.6,28.7,8.9,239.1,388.23
2004,16.2,27.4,2.7,147.2,544.98
2004,21.7,33.6,10.3,49.3,523.79
2004,23.6,34.4,18.0,512.1,403.57
2004,24.3,34.6,14.8,118.6,524.65
2004,19.8,29.7,10.5,253.0,443.91
2005,15.9,30.7,2.8,88.5,657.43
2005,21.8,31.7,9.4,115.3,517.93
2005,24.5,34.0,16.4,237.1,461.93
2005,24.1,34.4,13.9,268.4,448.51
2005,20.4,30.8,12.9,294.0,385.43
2006,17.0,28.3,6.8,169.9,574.06
2006,20.7,34.3,12.4,188.2,531.84
2006,23.0,30.5,17.4,669.0,332.5
2006,25.8,34.9,19.2,56.3,579.69
2006,18.8,29.9,7.3,28.9,477.59
2007,16.4,29.3,4.9,133.6,563.62
2007,21.5,32.1,11.2,89.4,535.07
2007,23.2,32.2,16.8,305.0,424.9
2007,25.3,33.0,16.3,270.8,425.65
2007,20.4,31.0,11.2,219.6,309.73
2008,16.0,29.6,4.2,63.6,579.54
2008,20.3,31.1,9.2,79.6,523.02
2008,24.1,32.7,18.8,576.6,416.64
2008,24.2,34.9,15.2,295.1,533.48
2008,19.9,31.0,5.4,111.5,446.1
2009,17.5,30.9,5.0,150.6,610.79
2009,21.0,31.3,10.8,106.1,575.27
2009,23.3,32.3,16.1,388.5,476.62
2009,24.2,33.3,14.3,424.0,505.7
2009,19.5,29.1,10.6,18.5,479.93
2010,15.9,28.0,2.8,115.6,557.47
2010,22.1,33.2,9.1,160.9,587.46
2010,25.1,33.3,19.1,328.2,471.06
2010,25.7,34.1,18.1,525.9,409.6
2010,20.7,32.5,5.5,439.0,404.98
2011,16.8,32.0,5.4,120.1,542.32
2011,21.0,33.7,11.8,341.1,507.9
2011,24.3,33.1,18.2,1093.1,368.29
2011,25.0,34.1,16.5,235.2,407.52
2011,19.9,31.3,5.7,27.5,464.79
2012,18.2,30.1,6.0,26.4,640.74
2012,23.3,35.3,13.4,81.2,627.32
2012,24.9,33.5,16.6,293.0,487.66
2012,26.2,36.5,17.2,540.3,438.77
2012,19.6,30.8,7.6,150.1,411.28
2013,17.1,31.6,5.7,139.6,593.67
2013,23.5,34.0,13.7,33.9,612.9
