일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,4.1,20.7,-8.7,20.1,262.15
2000,-1.7,12.4,-17.2,44.5,248.43
2001,-7.1,8.3,-26.2,43.1,264.89
2001,4.4,17.2,-8.7,17.2,271.73
2001,-3.2,11.1,-13.8,17.0,255.01
2002,-2.5,11.7,-20.4,53.7,248.52
2002,1.9,17.1,-10.1,9.8,257.57
2002,-0.9,16.0,-14.1,21.8,229.33
2003,-5.0,7.8,-19.7,14.2,263.09
2003,6.7,20.9,-7.6,71.8,229.01
2003,-2.0,9.5,-12.3,3.1,255.02
2004,-4.7,7.6,-19.6,15.2,290.09
2004,6.7,22.3,-4.7,67.5,268.81
2004,-0.6,16.3,-14.2,24.0,263.78
2005,-4.9,9.0,-15.9,3.8,290.62
2005,5.9,23.6,-6.6,42.5,291.48
2005,-6.2,9.4,-18.0,7.4,269.01
2006,-2.6,10.4,-16.4,35.3,247.25
2006,6.3,21.1,-4.5,40.8,250.47
2006,-1.0,13.7,-15.8,11.9,216.61
2007,-2.2,10.6,-13.8,3.6,254.26
2007,5.0,21.8,-9.3,23.0,280.94
2007,-0.4,15.1,-9.7,13.4,204.88
2008,-3.5,7.0,-15.2,6.7,240.4
2008,5.9,20.1,-8.8,23.9,258.15
2008,0.0,14.0,-14.1,34.6,227.25
2009,-3.5,12.6,-15.0,2.9,274.92
2009,5.7,22.0,-7.8,68.8,234.15
2009,-2.1,10.5,-15.0,19.7,210.09
2010,-5.5,9.2,-19.5,25.2,256.3
2010,4.8,18.6,-7.4,16.8,273.01
2010,-2.5,12.9,-16.0,29.4,219.32
2011,-8.8,2.1,-19.1,6.3,304.07
2011,9.1,26.2,-6.9,85.4,221.64
2011,-2.5,9.2,-13.9,7.9,235.46
2012,-4.5,8.7,-15.6,5.6,258.75
2012,4.6,18.1,-6.5,71.2,256.68
2012,-5.3,7.9,-16.9,33.9,222.62
2013,-5.0,13.9,-20.7,19.1,245.34
2013,4.6,21.1,-9.1,65.5,244.06
2013,-2.1,11.2,-13.8,34.9,237.97
2014,-2.1,7.8,-13.6,10.6,273.03
2014,7.3,22.7,-4.2,45.3,215.85
2014,-4.2,7.0,-15.6,13.6,199.15
2015,-2.3,9.7,-13.0,17.3,209.68
2015,8.0,21.1,-8.1,114.6,153.76
2015,0.5,13.9,-12.8,26.5,179.12
2016,-4.1,10.1,-19.3,1.3,219.62
2016,6.1,20.0,-8.7,18.1,211.07
2016,0.6,14.6,-12.0,67.7,185.35
2017,-2.5,13.6,-14.9,15.5,233.11
2017,4.2,19.5,-9.2,19.0,234.02
2017,-3.3,9.7,-16.6,29.6,207.9
2018,-5.4,9.8,-20.4,7.0,231.84
2018,6.4,20.8,-5.7,61.5,271.71
2018,-2.0,12.6,-15.5,11.0,253.86
2019,-2.4,9.8,-13.0,0.4,286.81
2019,5.7,19.7,-6.6,58.1,280.96
2019,0.0,13.3,-13.4,27.2,226.64
2020,0.0,12.4,-10.2,71.4,249.4
2020,6.3,19.7,-7.5,73.9,269.88
2020,-2.2,10.9,-15.9,0.6,261.57
2021,-4.2,15.0,-20.2,15.4,275.0
2021,6.4,22.2,-5.4,51.6,258.11
2021,-1.1,12.8,-17.3,8.3,248.82
2001,-2.3,11.2,-13.7,0.0,255.01
2002,-2.3,10.7,-21.8,55.5,248.52
2002,1.4,16.9,-10.0,8.8,257.57
2002,-1.3,15.9,-14.7,20.3,229.33
2003,-5.8,8.3,-21.6,11.7,263.09
2003,6.9,20.0,-7.9,69.7,229.01
2003,-2.1,8.7,-13.7,2.1,255.02
2004,-5.0,7.0,-19.8,16.1,290.09
2004,6.4,21.9,-4.6,77.0,268.81
2004,-1.0,16.2,-15.4,20.5,263.78
2005,-5.2,7.6,-17.0,2.5,290.62
2005,5.8,22.5,-7.4,43.8,291.48
2005,-6.2,9.5,-20.1,8.6,269.01
2006,-2.7,9.5,-17.6,34.1,247.25
2006,6.2,19.8,-6.0,21.5,250.47
2006,-1.4,12.8,-16.4,7.2,216.61
2007,-3.0,9.5,-15.6,6.3,254.26
2007,3.8,19.0,-10.2,30.1,280.94
2007,-0.9,13.5,-11.1,9.4,204.88
2008,-4.2,6.7,-17.4,8.5,240.4
2008,5.2,20.5,-10.7,19.4,258.15
2008,-1.0,12.6,-15.0,31.0,227.25
2009,-4.6,10.7,-17.9,2.5,274.92
2009,5.0,20.5,-8.9,147.5,234.15
2009,-3.1,10.5,-17.5,19.9,210.09
2010,-7.1,8.3,-25.9,23.7,256.3
2010,4.5,18.0,-8.6,14.3,273.01
2010,-2.9,13.4,-19.5,27.2,219.32
2011,-10.6,0.7,-23.0,9.0,304.07
2011,9.3,26.1,-7.5,67.7,221.64
2011,-2.7,9.9,-15.7,6.1,235.46
2012,-5.0,9.1,-17.8,7.3,258.75
2012,4.1,16.3,-7.7,69.5,256.68
2012,-6.1,8.3,-19.8,34.7,222.62
2013,-5.9,13.3,-24.5,22.3,245.34
2013,3.9,20.0,-9.7,57.9,244.06
2013,-3.1,10.0,-16.8,27.2,237.97
2014,-3.1,8.1,-15.8,7.8,273.03
2014,6.5,22.6,-6.3,43.5,215.85
2014,-5.1,7.3,-17.0,12.9,199.15
2015,-3.1,8.8,-15.6,20.9,209.68
2015,7.4,19.6,-8.5,111.6,153.76
2015,-0.2,11.1,-14.7,21.2,179.12
2016,-5.0,11.3,-20.0,1.0,219.62
2016,4.7,20.2,-10.3,15.8,211.07
2016,-0.6,11.4,-13.4,62.1,185.35
2017,-3.9,10.1,-17.9,12.8,233.11
2017,2.8,19.9,-11.1,16.8,234.02
2017,-4.6,8.0,-18.8,24.9,207.9
2018,-6.8,8.0,-23.5,6.1,231.84
2018,5.0,19.4,-8.3,50.5,271.71
2018,-3.2,11.4,-17.7,11.2,253.86
2019,-4.0,8.0,-16.1,0.2,286.81
2019,4.8,20.5,-8.2,72.2,280.96
2019,-0.8,10.9,-14.9,28.2,226.64
2020,-0.6,10.9,-11.4,82.3,249.4
2020,5.4,19.8,-8.9,64.2,269.88
2020,-3.3,10.6,-17.4,5.7,261.57
2021,-5.1,13.4,-21.7,12.9,275.0
2021,5.5,21.8,-7.0,47.2,266.77
2021,-1.9,12.3,-18.7,5.8,250.9
2000,6.1,20.3,-5.3,27.5,262.15
2000,0.3,13.2,-11.2,28.4,248.43
2001,-4.0,8.2,-18.3,42.2,264.89
2001,5.9,16.5,-3.1,14.2,271.73
2001,-1.1,10.8,-9.9,14.7,255.01
2002,-0.4,15.3,-13.3,31.8,248.52
2002,2.7,16.4,-7.4,12.2,257.57
2002,0.4,15.1,-10.4,17.2,229.33
2003,-4.0,7.6,-16.2,10.4,263.09
2003,9.3,21.8,-4.7,51.6,229.01
2003,0.6,12.8,-9.3,14.1,255.02
2004,-2.2,8.0,-15.9,17.8,290.09
2004,8.4,22.6,-1.5,67.5,268.81
2004,1.8,16.1,-10.2,25.2,263.78
