일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,8.9,19.7,-2.7,33.1,519.21
2000,13.4,24.5,2.4,81.1,542.48
2000,17.9,32.8,9.7,65.0,586.32
2001,8.5,20.8,-3.4,5.7,500.88
2001,14.2,25.8,3.0,42.0,601.99
2001,19.2,30.0,11.2,44.6,578.16
2002,10.6,22.4,0.4,136.6,482.64
2002,14.9,25.4,7.0,246.8,504.19
2002,18.0,29.9,10.4,118.6,523.3
2003,8.5,19.0,-1.3,51.4,452.51
2003,14.4,25.2,6.6,271.5,480.44
2003,18.1,27.5,7.6,301.5,526.37
2004,9.1,23.4,-4.1,43.7,487.62
2004,14.7,28.1,5.6,169.0,557.82
2004,18.9,28.4,11.0,220.0,498.53
2005,7.0,20.8,-4.2,89.0,510.53
2005,14.2,24.1,3.0,134.1,590.43
2005,17.8,27.8,10.0,101.0,679.06
2006,7.9,17.8,-5.8,18.1,526.72
2006,12.9,23.7,5.6,147.1,483.59
2006,17.5,27.2,9.2,284.9,514.69
2007,8.7,19.4,-4.6,121.1,491.13
2007,13.2,25.2,3.4,51.0,595.15
2007,18.5,30.7,10.8,132.0,681.88
2008,9.0,18.4,0.0,50.2,427.52
2008,14.1,24.7,5.0,78.5,443.545
2008,18.1,30.5,9.7,150.5,527.26
2009,9.5,20.7,-0.8,78.5,476.54
2009,14.5,25.8,3.8,127.5,590.2
2009,19.1,30.6,10.2,171.0,631.51
2010,7.9,20.4,-2.3,137.2,353.3
2010,11.4,22.3,2.3,163.0,471.885
2010,17.7,29.3,6.9,229.0,578.095
2011,7.1,22.3,-2.8,26.9,559.58
2011,12.9,22.8,2.6,149.6,579.325
2011,17.9,26.8,10.4,147.0,545.815
2012,7.9,19.6,-3.2,101.4,449.835
2012,14.0,25.8,1.7,217.4,539.605
2012,19.1,30.9,10.2,39.9,592.025
2013,9.6,21.0,-1.8,84.9,541.45
2013,12.5,22.6,2.0,90.5,551.85
2013,18.7,32.0,9.3,222.4,629.295
2014,9.6,23.9,-1.2,152.5,457.315
2014,14.5,27.1,3.8,102.9,523.4
2014,19.4,31.8,8.8,106.5,728.325
