일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,17.9,32.8,9.7,65.0,586.32
2000,21.4,32.1,15.4,118.7,471.26
2000,26.0,34.1,20.6,345.7,529.2
2001,19.2,30.0,11.2,44.6,578.16
2001,21.8,30.4,16.0,342.2,220.645
2001,26.3,34.8,20.0,159.5,550.49
2002,18.0,29.9,10.4,118.6,523.3
2002,22.1,31.1,15.2,82.0,567.44
2002,25.1,35.0,20.1,347.2,434.93
2003,18.1,27.5,7.6,301.5,526.37
2003,22.2,30.6,15.9,240.2,467.29
2003,22.8,31.1,18.5,476.4,349.96
2004,18.9,28.4,11.0,220.0,498.53
2004,22.3,30.6,14.0,214.9,516.23
2004,26.7,37.0,21.0,194.7,548.15
2005,17.8,27.8,10.0,101.0,679.06
2005,22.3,33.2,14.9,148.1,538.48
2005,24.7,33.6,19.5,302.8,461.21
2006,17.5,27.2,9.2,284.9,514.69
2006,21.3,30.3,14.8,231.2,558.64
2006,23.7,33.6,17.8,600.1,328.75
2007,18.5,30.7,10.8,132.0,681.88
2007,21.5,30.5,15.0,105.6,535.77
2007,23.8,36.0,18.6,265.5,490.53
2008,18.1,30.5,9.7,150.5,527.26
2008,20.7,30.0,14.4,309.1,441.36
2008,26.5,34.3,19.4,161.4,505.815
2009,19.1,30.6,10.2,171.0,631.51
2009,21.9,32.6,15.6,296.0,553.045
2009,24.0,31.1,18.2,818.6,402.915
2010,17.7,29.3,6.9,229.0,578.095
2010,22.3,31.7,10.9,71.9,561.065
2010,25.4,32.6,20.6,375.6,477.17
2011,17.9,26.8,10.4,147.0,545.815
2011,21.9,30.5,14.9,238.0,523.435
2011,25.6,32.5,19.3,414.1,505.825
2012,19.1,30.9,10.2,39.9,592.025
2012,21.8,30.1,15.5,78.9,490.83
2012,26.0,34.8,20.1,334.6,515.465
2013,18.7,32.0,9.3,222.4,629.295
2013,22.4,31.4,16.1,148.5,520.945
2013,27.0,34.9,22.1,190.1,538.55
2014,19.4,31.8,8.8,106.5,728.325
2014,22.0,31.7,15.9,45.1,497.01
2014,25.2,35.2,18.9,149.2,502.295
2015,19.3,33.6,10.7,134.0,692.82
2015,21.2,30.8,12.6,77.0,499.44
2015,24.1,33.9,17.6,197.5,496.22
2016,19.4,31.3,10.3,123.7,670.96
2016,22.5,31.2,14.3,108.8,558.7
2016,26.3,36.7,20.6,181.8,598.93
2017,19.7,33.3,10.3,31.1,727.14
2017,22.1,33.9,14.8,58.7,701.64
2017,27.1,35.7,21.0,162.4,569.55
2018,18.1,29.0,8.3,145.0,573.34
2018,21.7,34.7,13.9,194.8,603.37
2018,27.1,36.4,17.8,146.0,670.19
2019,18.9,31.7,7.7,131.1,714.78
2019,21.0,32.0,13.6,324.0,623.48
2019,24.4,32.7,19.1,265.7,493.78
2020,17.9,28.7,9.6,78.8,610.88
2020,22.8,32.9,15.7,278.9,636.31
2020,22.4,31.1,17.9,524.1,359.02
2021,17.7,28.9,8.1,147.9,588.66
2021,21.8,31.0,13.5,140.6,598.2
2021,26.5,33.6,19.5,521.2,598.42
2000,17.2,29.1,9.4,85.5,586.32
2000,20.9,28.4,15.5,133.5,471.26
2000,25.2,33.3,20.2,383.7,529.2
2001,18.2,27.5,10.9,50.4,578.16
2001,21.1,28.2,14.1,276.9,0.01
2001,25.4,33.0,19.0,260.2,550.49
2002,17.4,28.2,11.4,134.4,523.3
2002,21.3,30.8,13.0,71.0,567.44
2002,24.3,33.8,19.2,297.6,434.93
2003,18.0,27.3,7.4,260.2,526.37
2003,21.8,29.0,16.1,276.0,467.29
2003,23.0,29.7,18.1,482.9,349.96
2004,17.2,25.3,9.7,286.2,498.53
2004,20.8,29.3,11.4,184.0,516.23
2004,24.9,36.3,19.5,68.5,548.15
2005,16.9,25.3,9.1,180.8,679.06
2005,20.9,29.1,14.1,188.5,538.48
2005,23.3,31.1,18.6,182.1,461.21
2006,16.6,24.7,8.9,230.6,514.69
2006,20.4,29.0,14.5,249.0,558.64
2006,23.3,30.9,18.3,536.1,328.75
2007,18.4,30.7,11.3,153.3,681.88
2007,21.6,29.0,15.8,84.0,535.77
2007,24.0,33.0,19.2,284.1,490.53
2008,17.5,26.8,9.3,226.8,527.26
2008,20.0,28.4,14.0,252.7,441.36
2008,25.9,32.6,19.3,168.2,505.815
2009,18.4,29.5,11.2,204.0,631.51
2009,21.3,29.3,15.7,195.7,553.045
2009,23.7,29.5,18.0,652.2,402.915
2010,16.2,28.8,6.9,175.5,578.095
2010,20.9,29.8,11.7,71.4,561.065
2010,24.0,30.7,19.6,224.2,477.17
2011,16.7,24.8,11.1,180.7,545.815
2011,20.4,27.7,14.4,240.4,523.435
2011,24.5,31.8,18.7,224.6,505.825
2012,17.8,27.3,10.6,59.5,592.025
2012,20.9,28.1,15.1,70.5,490.83
2012,24.6,31.7,19.3,273.9,515.465
2013,17.1,24.9,9.0,215.5,629.295
2013,21.1,28.2,14.7,185.9,520.945
2013,25.2,31.3,21.0,147.0,538.55
2014,18.2,26.9,9.3,142.5,728.325
2014,21.1,28.5,16.2,67.3,497.01
2014,24.4,35.2,18.5,193.1,502.295
2015,18.0,29.4,9.3,160.1,692.82
2015,20.5,30.2,13.0,85.8,499.44
2015,23.9,33.6,17.6,180.9,496.22
2016,18.7,29.9,11.7,106.8,587.56
2016,21.6,27.9,14.4,112.7,443.02
2016,25.1,32.1,20.8,235.5,467.82
2017,18.5,28.2,11.8,34.8,619.57
2017,21.0,28.8,15.2,68.4,591.02
2017,25.7,32.0,21.2,223.3,473.54
2018,17.9,27.9,10.8,227.2,555.12
2018,21.2,29.5,14.6,306.5,558.28
2018,26.3,36.9,18.6,139.2,616.53
2019,18.3,27.1,9.9,95.2,702.41
2019,20.8,28.0,14.4,411.3,586.03
2019,24.3,31.5,19.5,329.3,493.78
2020,17.8,26.2,11.2,119.5,614.27
2020,22.0,29.6,15.1,371.3,632.67
2020,22.5,30.0,18.3,607.8,373.42
2021,17.9,27.0,9.8,163.1,588.66
2021,21.8,29.5,15.6,182.3,591.49
2021,26.5,33.2,20.6,404.5,590.16
2000,18.4,37.0,5.1,68.7,586.32
2000,22.3,34.9,12.4,123.6,471.26
2000,26.5,34.2,17.9,379.7,529.2
2001,18.8,31.5,6.6,41.8,578.16
2001,22.5,32.8,8.9,323.5,441.28
2001,26.5,37.2,17.2,266.6,550.49
2002,17.5,31.0,7.3,150.6,523.3
2002,22.0,33.4,10.0,81.7,567.44
2002,25.4,35.1,20.0,300.0,434.93
2003,17.7,28.6,4.6,293.0,526.37
2003,21.9,30.5,13.7,259.6,467.29
2003,22.9,32.7,16.5,481.0,349.96
2004,18.2,31.5,5.7,161.5,498.53
2004,22.2,32.9,10.4,243.0,516.23
2004,26.9,37.3,20.5,229.5,548.15
2005,18.2,30.4,5.0,90.9,679.06
2005,23.4,35.1,13.6,113.5,538.48
2005,25.8,36.7,19.9,273.6,461.21
2006,17.7,30.3,6.0,284.5,514.69
2006,22.0,31.8,13.3,268.6,558.64
2006,24.2,34.3,18.3,630.9,328.75
2007,18.7,31.6,6.3,97.9,681.88
2007,22.4,32.0,12.9,54.5,535.77
2007,24.7,36.2,18.6,245.7,490.53
2008,18.2,32.6,5.5,108.5,528.09
2008,20.9,32.2,10.6,337.6,377.55
2008,27.3,35.5,19.5,93.6,481.1
2009,19.3,31.5,6.3,142.5,658.73
2009,22.3,32.6,9.7,177.6,560.54
2009,23.7,32.2,17.1,734.6,424.73
2010,17.3,30.7,1.6,205.1,645.88
2010,22.0,32.0,8.0,53.9,580.84
2010,25.1,32.9,19.5,418.5,492.82
2011,17.5,27.3,5.7,198.6,570.65
2011,22.2,30.9,13.7,239.5,554.91
2011,25.4,34.3,17.4,626.3,516.31
2012,18.3,30.1,7.5,47.5,589.68
2012,21.7,29.9,14.0,50.1,489.25
2012,25.7,34.7,18.6,306.1,506.12
2013,18.0,31.8,4.1,249.5,622.51
2013,22.3,30.9,12.8,101.0,506.79
2013,26.4,34.3,20.1,247.5,522.2
2014,18.3,32.0,2.9,91.2,716.83
2014,21.4,30.9,12.0,143.6,489.28
2014,24.5,35.5,17.3,186.3,482.1
2015,18.5,33.2,3.6,127.7,668.29
2015,20.9,30.0,11.1,95.9,488.0
2015,23.9,33.9,14.6,221.1,468.51
2016,18.2,31.1,4.7,153.9,435.54
2016,21.9,30.8,10.9,113.8,340.18
2016,25.6,35.2,18.8,161.0,360.54
2017,18.4,34.4,5.9,43.8,453.36
2017,21.7,33.0,10.8,52.0,436.31
2017,27.0,36.7,18.2,96.0,403.22
2018,18.0,28.9,4.3,94.3,555.12
2018,21.9,33.2,11.7,207.7,558.28
2018,26.6,37.9,18.1,240.8,616.53
2019,18.4,32.2,4.7,132.3,714.82
2019,21.5,32.7,11.8,243.7,628.71
2019,24.9,32.6,17.3,234.0,522.9
2020,18.2,28.9,5.5,110.1,624.39
2020,23.0,33.1,10.9,234.2,639.16
2020,22.7,31.3,16.5,587.5,373.42
2021,17.6,29.3,3.5,116.9,615.57
2021,22.2,32.0,11.0,101.7,585.49
2021,26.2,34.0,17.6,359.3,590.16
2008,19.6,32.7,10.2,173.0,526.43
2008,21.5,31.0,15.0,211.2,505.17
2008,26.9,34.6,19.6,139.8,530.53
2009,20.4,31.1,12.6,131.9,591.84
2009,23.5,33.0,16.9,224.3,538.14
2009,25.3,31.8,19.6,672.4,371.55
2010,19.0,30.8,9.5,177.1,558.13
2010,22.9,31.8,11.4,39.1,563.31
2010,26.7,34.7,21.5,267.9,450.5
2011,19.3,28.3,11.6,105.6,503.9
2011,23.5,31.3,16.2,303.1,465.36
2011,27.0,35.5,21.0,369.4,501.35
2012,19.6,30.6,11.5,37.0,589.55
2012,22.9,30.5,16.3,75.3,478.41
2012,26.8,36.2,20.6,288.2,508.31
2013,19.3,33.5,8.8,182.6,627.62
2013,23.3,32.5,15.6,118.0,523.62
2013,27.0,35.6,21.8,186.6,542.81
2014,19.5,30.6,8.3,108.2,697.47
2014,21.8,31.5,14.3,51.6,464.71
2014,25.1,35.4,19.1,228.8,478.18
2015,19.8,33.5,10.3,128.3,665.06
2015,21.9,31.4,12.6,48.6,482.02
2015,25.0,35.3,18.1,179.9,463.21
2016,20.0,32.7,10.3,117.8,481.7
2016,23.0,32.2,14.5,104.4,378.37
2016,26.6,35.7,21.1,162.9,397.03
2017,20.0,33.6,10.4,33.1,518.73
2017,22.1,34.4,14.1,38.6,496.42
2017,26.8,36.3,20.5,112.1,347.81
2018,18.6,29.8,8.5,113.2,469.78
2018,22.3,35.3,14.2,190.0,473.64
2018,27.6,37.8,17.6,118.8,541.8
2019,20.4,32.5,9.7,119.5,599.09
2019,22.0,32.1,14.9,257.6,502.36
2019,25.2,33.7,20.2,371.4,384.13
2020,18.5,29.2,10.6,73.4,616.94
2020,23.3,33.7,16.1,239.1,632.67
2020,22.7,31.7,16.6,534.9,370.79
2021,18.0,29.4,7.1,149.7,578.08
2021,22.2,31.4,14.7,120.5,580.45
2021,26.5,34.5,19.8,427.3,571.93
2009,19.1,30.5,9.3,126.5,637.58
2009,22.1,32.1,14.0,211.4,545.55
2009,23.9,30.9,17.7,565.8,398.72
2010,17.8,30.9,5.7,164.6,598.06
2010,22.7,32.7,10.7,47.9,558.82
2010,25.6,32.6,20.1,259.9,462.32
2011,18.0,28.2,9.6,131.6,546.06
2011,22.3,31.4,14.7,179.9,506.81
2011,25.7,33.6,19.7,445.0,510.3
2012,19.1,29.8,8.9,45.7,620.49
2012,21.8,29.6,15.4,74.5,492.41
2012,26.2,35.1,19.8,370.0,522.62
2013,18.9,32.3,8.0,186.6,657.63
2013,22.6,30.8,14.5,117.5,518.27
2013,26.9,33.6,21.7,177.1,563.58
2014,19.4,33.1,7.1,86.6,731.72
2014,21.9,30.7,15.5,30.6,482.8
2014,25.2,36.7,18.9,183.0,503.06
2015,19.5,33.2,9.0,105.7,699.87
2015,21.4,30.9,11.3,68.3,496.16
2015,24.4,34.2,17.0,194.8,495.47
2016,19.4,30.5,9.3,169.0,587.56
2016,22.5,30.8,13.1,112.0,443.02
2016,26.1,35.4,20.2,195.1,467.82
2017,19.8,34.4,9.9,31.2,619.57
