일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,26.7,35.2,21.7,415.0,463.43
2000,21.9,32.6,13.1,239.4,389.16
2000,17.4,26.9,8.7,38.7,374.26
2000,10.5,22.1,0.7,52.3,301.48
2000,5.4,16.5,-6.2,1.4,287.57
2001,27.1,34.2,19.3,108.3,521.9
2001,22.8,31.0,14.7,86.7,482.72
2001,18.3,26.5,11.2,93.6,377.83
2001,10.6,21.8,0.3,12.5,326.78
2001,4.5,14.1,-2.3,37.3,287.04
2002,25.2,36.2,19.0,714.3,385.65
2002,22.1,31.6,14.6,76.4,474.17
2002,16.2,26.7,4.0,52.8,403.02
2002,8.3,21.6,-0.3,5.2,332.88
2002,5.9,16.5,-3.8,24.9,269.88
2003,25.4,33.7,20.7,291.6,421.32
2003,23.5,32.0,16.2,233.8,396.94
2003,17.0,27.4,7.5,11.3,445.7
2003,12.9,24.4,0.7,62.5,252.0
2003,5.3,14.8,-3.1,16.8,301.46
2004,26.7,35.5,18.9,429.4,493.01
2004,23.3,31.8,15.9,303.4,372.49
2004,17.6,26.9,9.0,0.6,438.3
2004,12.5,22.4,3.7,127.6,327.27
2004,6.7,18.1,-3.3,22.1,277.83
2005,25.9,34.3,20.1,499.6,446.5
2005,23.0,33.1,15.5,118.3,369.93
2005,16.9,26.5,7.6,26.2,403.6
2005,11.2,24.0,2.3,31.9,309.61
2005,1.3,14.9,-10.1,0.7,304.24
2006,27.4,35.0,20.6,153.5,553.52
2006,21.0,31.1,14.1,122.5,474.61
2006,18.6,26.7,11.2,35.0,486.57
2006,11.5,23.9,3.2,30.2,308.59
2006,4.9,15.6,-8.3,12.0,324.76
2007,26.6,34.1,19.6,286.8,500.56
2007,22.5,30.7,17.2,303.6,348.69
2007,17.1,27.2,6.2,105.2,461.17
2007,10.0,19.9,-2.3,0.0,331.05
2007,5.4,15.3,-3.1,46.9,270.43
2008,25.8,33.6,19.3,133.8,497.62
2008,23.2,31.8,12.0,32.9,393.42
2008,18.7,28.4,9.3,30.5,410.895
2008,10.8,20.4,-2.1,15.5,298.195
2008,5.3,18.8,-7.3,5.5,280.695
2009,25.3,33.7,19.8,132.4,445.285
2009,22.6,30.5,15.9,33.1,440.32
2009,18.0,27.7,10.4,64.0,447.845
2009,10.5,23.4,0.4,51.2,254.445
2009,4.5,17.8,-6.0,21.1,283.94
2010,27.7,34.5,23.4,214.8,502.295
2010,23.7,33.2,14.1,262.5,442.1
2010,17.3,26.6,5.0,67.5,408.585
2010,9.8,19.1,0.5,16.0,334.92
2010,4.0,17.4,-8.3,21.8,270.905
2011,25.7,33.0,19.3,198.5,409.325
2011,23.0,33.7,14.1,27.9,459.065
2011,16.5,26.3,5.6,91.5,415.405
2011,13.1,24.8,1.6,141.2,247.45
2011,3.8,13.5,-5.4,4.6,292.93
2012,27.5,35.5,20.3,329.6,479.435
2012,21.9,30.0,15.1,269.0,443.235
2012,16.8,25.2,8.7,37.0,441.255
2012,9.4,18.4,0.5,56.2,308.33
2012,1.7,12.6,-8.0,79.2,268.19
2013,28.0,37.1,21.5,82.3,593.29
2013,23.3,31.8,15.2,58.5,473.505
2013,18.3,28.5,8.2,83.2,410.105
2013,10.0,22.3,-1.9,59.6,330.6
2013,4.7,14.5,-4.4,5.1,296.23
2014,24.6,32.7,17.9,665.9,358.66
2014,22.3,30.8,15.8,109.8,448.165
2014,17.2,25.7,9.5,101.0,410.12
2014,11.6,20.1,1.8,51.5,292.715
2014,2.9,13.8,-6.0,15.7,294.595
2015,25.4,35.5,18.8,116.7,525.06
2015,20.9,29.0,14.3,88.9,214.77
2015,16.4,25.9,4.1,40.2,490.13
2015,11.8,21.4,-1.1,85.2,249.99
2015,5.5,14.2,-4.3,41.0,276.08
2016,27.3,36.6,17.9,110.0,642.99
2016,22.2,30.3,14.8,522.7,359.05
2016,17.4,29.1,7.6,215.8,344.22
2016,9.8,21.0,-1.7,35.1,308.42
2016,5.4,18.9,-4.1,136.8,295.09
2017,27.3,38.5,19.6,227.9,593.87
2017,22.2,30.8,12.5,104.8,492.9
2017,17.5,29.0,5.1,81.4,385.58
2017,9.7,23.9,-1.9,0.0,365.63
2017,2.0,13.1,-6.9,15.2,329.31
2018,27.5,37.0,19.8,243.7,525.49
2018,21.3,30.2,12.9,216.4,381.42
2018,15.1,26.4,4.7,146.2,455.43
2018,10.1,20.5,-0.3,23.7,339.45
2018,3.2,16.2,-9.8,26.9,296.07
2019,26.7,35.6,18.7,87.9,522.87
2019,22.7,31.5,14.5,252.0,319.28
2019,17.4,28.4,6.3,254.8,378.01
2019,11.1,22.8,0.2,36.4,303.78
2019,4.7,16.9,-4.5,34.8,256.57
2020,27.5,35.8,22.9,193.1,523.05
2020,21.5,30.7,12.9,241.7,407.11
2020,16.0,26.3,6.4,20.5,428.99
2020,10.7,22.3,-0.3,55.6,296.71
2020,2.6,12.7,-9.8,6.3,283.07
2021,26.2,35.5,20.6,413.0,493.79
2021,22.5,30.5,17.1,92.2,341.15
2021,17.4,30.0,3.8,25.0,417.24
2021,10.8,21.9,1.3,53.5,309.66
2021,4.2,15.5,-10.3,2.4,283.0
2000,26.6,34.6,22.0,339.2,463.43
2000,21.5,29.8,14.0,244.5,389.16
2000,17.2,26.4,8.0,60.5,374.26
2000,10.6,21.9,-0.5,68.5,301.48
2000,5.9,18.0,-4.5,4.2,287.57
2001,26.4,34.0,18.2,121.9,521.9
2001,22.5,30.9,15.2,82.5,482.72
2001,18.4,26.8,11.3,125.4,377.83
2001,10.8,21.9,0.4,12.6,326.78
2001,4.9,15.4,-2.9,35.0,287.04
2002,25.0,34.7,18.1,672.7,385.65
2002,22.3,32.6,14.5,80.2,474.17
2002,16.5,27.7,3.4,73.1,403.02
2002,8.7,19.8,-1.1,9.4,332.88
2002,6.4,17.3,-3.8,56.1,269.88
2003,25.4,32.4,20.5,309.6,421.32
2003,23.6,31.9,15.6,224.0,396.94
2003,17.4,27.5,6.2,5.3,445.7
2003,13.6,24.8,0.5,53.2,252.0
2003,6.0,17.1,-3.7,17.6,301.46
2004,25.7,35.0,18.1,220.1,493.01
2004,22.9,30.3,16.0,196.1,372.49
2004,17.6,25.1,8.9,10.6,438.3
2004,13.0,23.0,4.1,60.5,327.27
2004,8.4,19.6,-2.8,26.0,277.83
2005,25.0,32.7,18.7,181.6,446.5
2005,22.5,30.2,16.7,192.2,369.93
2005,16.8,27.1,6.1,16.1,403.6
2005,11.1,22.6,1.4,32.5,309.61
2005,2.3,14.7,-8.4,2.0,304.24
2006,26.7,34.2,20.7,63.1,553.52
2006,21.2,30.2,14.7,144.0,474.61
2006,19.3,28.0,11.9,19.7,486.57
2006,12.7,22.7,3.3,33.9,308.59
2006,6.1,16.6,-6.0,11.0,324.76
2007,26.9,34.0,20.7,188.4,500.56
2007,23.3,30.7,18.1,222.1,348.69
2007,18.2,27.5,6.4,125.2,461.17
2007,11.0,21.7,-2.2,0.0,331.05
2007,6.2,16.7,-3.0,51.1,270.43
2008,25.7,33.0,20.0,229.5,497.62
2008,23.5,32.7,13.4,29.4,393.42
2008,19.1,29.3,8.8,23.9,410.895
2008,11.5,22.0,-1.1,17.1,298.195
2008,6.3,18.3,-4.7,5.5,280.695
2009,25.3,32.2,20.0,78.8,445.285
2009,22.2,30.6,16.1,36.4,440.32
2009,17.7,27.1,10.9,61.6,447.845
2009,10.3,23.0,0.0,40.3,254.445
2009,4.8,16.3,-5.4,10.5,283.94
2010,26.4,33.0,22.6,184.5,502.295
2010,23.1,33.5,14.0,251.2,442.1
2010,17.2,27.0,5.6,30.2,408.585
2010,10.1,20.5,1.2,0.5,334.92
2010,4.6,17.2,-6.4,31.2,270.905
2011,24.8,32.8,18.3,285.5,409.325
2011,22.4,32.6,13.3,40.3,459.065
2011,16.3,24.2,4.7,116.0,415.405
2011,13.3,24.4,1.1,166.5,247.45
2011,3.9,13.3,-5.0,7.0,292.93
2012,26.5,34.5,19.3,252.3,479.435
2012,21.3,29.1,13.9,285.0,443.235
2012,16.5,25.1,7.6,59.5,441.255
2012,9.3,18.0,0.8,74.0,308.33
2012,2.4,14.6,-7.3,122.0,268.19
2013,26.6,34.5,21.3,104.0,593.29
2013,23.3,30.9,15.9,49.4,473.505
2013,18.4,28.2,8.4,102.6,410.105
2013,10.4,22.7,-1.0,68.8,330.6
2013,5.1,14.1,-3.8,9.6,296.23
2014,24.2,30.9,18.7,589.4,358.66
2014,22.4,29.8,16.3,108.8,448.165
2014,17.4,26.5,9.4,168.3,410.12
2014,11.9,20.4,2.2,66.2,292.715
2014,3.5,13.1,-4.7,21.1,294.595
2015,25.4,34.2,20.3,171.4,525.06
2015,21.8,29.8,15.2,123.0,457.16
2015,17.5,26.1,6.0,73.8,458.37
2015,13.1,21.9,0.7,97.2,224.67
2015,7.4,16.4,-3.3,51.3,255.09
2016,27.5,35.2,18.5,61.7,513.41
2016,22.8,29.7,16.0,543.3,286.5
2016,18.4,28.3,8.8,194.0,283.91
2016,11.4,20.4,0.1,61.7,255.21
