일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,23.9,30.9,18.9,0.0,415.98
2000,19.5,27.6,14.6,0.0,373.37
2000,13.6,22.4,7.8,0.0,343.1
2001,24.4,32.8,17.6,97.7,544.17
2001,20.3,29.9,12.0,19.4,465.46
2001,15.1,22.8,9.4,24.5,338.16
2002,22.5,30.4,17.8,201.4,321.86
2002,20.2,27.4,14.1,2.6,415.55
2002,12.3,22.6,2.3,36.5,374.21
2003,21.4,29.2,14.1,194.4,257.44
2003,17.5,23.8,11.8,87.8,294.21
2003,12.0,21.4,3.8,23.5,305.17
2004,23.4,32.3,17.2,174.1,459.17
2004,20.2,28.0,13.9,87.3,398.96
2004,14.7,24.2,5.6,0.3,401.14
2005,23.7,31.2,16.2,178.3,449.61
2005,20.4,28.6,14.5,149.0,388.63
2005,14.4,23.2,5.6,28.4,404.85
2006,25.0,32.0,19.8,38.5,580.29
2006,20.5,28.6,14.1,5.5,447.16
2006,17.1,25.6,8.6,28.6,366.32
2007,23.7,30.2,18.6,302.5,442.35
2007,20.3,28.1,14.5,350.6,320.99
2007,14.2,21.7,5.4,13.2,364.39
2008,23.3,30.8,16.9,161.8,556.25
2008,20.4,27.5,12.5,87.8,443.61
2008,15.6,22.6,9.4,30.7,368.82
2009,23.9,30.2,17.0,178.4,499.14
2009,20.4,27.2,16.5,2.8,474.46
2009,16.0,23.3,8.0,66.5,405.34
2010,24.4,29.9,18.1,273.2,438.97
2010,21.2,28.3,12.1,346.1,411.49
2010,13.9,22.2,2.1,39.6,390.56
2011,22.1,28.9,17.1,154.8,406.9
2011,18.7,25.4,10.7,67.9,453.79
2011,13.4,19.5,7.2,9.5,375.85
2012,24.0,31.3,18.4,278.6,409.17
2012,19.9,26.7,13.0,36.8,331.39
2012,14.9,21.2,4.4,98.0,353.96
2013,24.9,30.3,18.4,91.9,506.25
2013,20.1,27.7,14.7,58.0,388.42
2013,14.6,23.5,8.3,7.7,389.69
2014,23.1,33.2,17.6,31.9,401.69
2014,19.9,26.8,11.6,39.5,406.96
2014,15.0,22.5,8.2,5.5,286.81
2015,24.2,30.2,19.4,81.5,465.89
2015,20.8,28.2,15.0,13.6,443.85
2015,15.2,22.3,6.4,38.6,340.46
2016,24.8,31.5,15.6,54.4,501.24
2016,20.4,27.4,14.1,30.7,381.0
2016,15.0,23.3,2.2,90.7,297.78
2017,23.9,31.3,17.1,126.3,393.61
2017,20.7,27.4,14.9,4.2,411.43
2017,15.0,23.2,6.9,9.5,232.69
2018,24.9,32.8,18.4,194.9,660.12
2018,19.8,26.2,15.0,44.2,526.42
2018,13.9,22.0,6.3,36.4,469.54
2019,24.0,31.2,18.5,52.4,656.4
2019,20.5,28.1,14.8,144.4,468.31
2019,15.7,23.8,9.3,9.6,425.59
2020,23.8,30.5,20.1,302.9,360.34
2020,20.4,25.6,15.3,232.9,501.19
2020,15.1,21.2,9.1,22.5,438.38
