일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2001,3.1,15.6,-6.4,9.0,454.77
2001,9.1,23.2,2.4,8.4,542.68
2001,14.9,27.5,5.0,10.6,559.94
2002,4.9,14.6,-1.8,22.4,429.77
2002,9.7,21.0,3.9,95.8,516.37
2002,14.3,23.4,7.0,34.7,560.8
2003,2.9,16.6,-5.3,28.9,400.82
2003,9.4,19.6,2.1,96.3,379.57
2003,15.7,26.4,6.6,121.4,507.43
2004,3.9,14.5,-6.9,13.6,446.46
2004,10.0,23.7,2.4,36.0,494.08
2004,14.4,24.3,6.9,136.0,440.88
2005,2.2,14.2,-5.2,2.4,545.15
2005,9.0,22.8,1.8,53.7,566.82
2005,14.4,28.1,5.8,55.7,667.08
2006,2.4,12.9,-6.9,8.7,474.15
2006,7.3,20.9,2.0,36.4,448.27
2006,14.2,23.6,6.9,95.5,560.78
2007,3.9,11.9,-7.7,71.4,363.25
2007,8.4,18.7,1.5,66.0,507.95
2007,14.3,26.0,8.3,136.0,572.46
2008,5.0,14.1,0.0,17.0,430.88
2008,10.8,22.9,4.6,25.4,523.18
2008,13.6,22.0,8.1,39.2,583.79
2009,3.8,12.9,-3.1,18.6,442.3
2009,10.2,20.6,2.9,57.4,528.48
2009,15.6,26.5,5.6,88.5,609.85
2010,2.3,10.8,-3.9,39.7,368.68
2010,6.8,15.1,1.0,72.9,478.99
2010,13.5,23.4,6.5,70.9,555.76
2011,3.0,11.0,-3.1,3.7,524.87
2011,7.8,15.1,2.2,25.4,493.19
2011,14.0,25.8,7.0,26.8,536.11
2012,2.1,9.7,-4.9,9.8,416.01
2012,8.1,22.6,0.5,87.5,505.07
2012,15.9,24.2,6.5,2.5,632.16
2013,1.8,13.0,-4.1,11.7,446.08
2013,6.4,15.5,0.8,16.4,491.93
2013,13.5,24.3,5.6,124.9,543.51
2014,4.9,17.3,-2.9,4.4,424.51
2014,10.3,21.6,2.7,39.0,464.19
2014,14.1,23.8,6.2,48.4,650.89
2015,4.0,16.5,-5.4,6.4,427.25
2015,10.1,22.0,1.8,15.7,426.77
2015,14.6,25.6,7.7,41.2,580.22
2016,5.0,15.7,-3.9,35.3,425.19
2016,10.3,22.3,4.3,64.8,433.45
2016,15.9,26.8,7.6,128.0,555.43
2017,4.8,14.8,-3.4,8.8,435.76
2017,10.3,20.0,4.2,20.1,483.55
2017,15.9,24.8,8.4,10.2,586.76
2018,4.1,16.6,-5.1,22.6,440.44
2018,9.3,18.5,1.7,89.5,515.49
2018,13.2,21.8,7.9,62.5,621.3
2019,4.9,12.8,-0.5,23.5,475.51
2019,9.1,17.9,1.9,23.7,576.52
2019,15.2,24.9,7.2,28.9,765.12
2020,6.1,15.4,-1.2,6.9,581.49
2020,9.4,17.2,4.3,20.5,710.41
2020,13.7,22.5,6.2,223.2,541.13
2021,6.1,17.1,-0.9,68.0,485.2
2021,10.9,20.2,4.6,67.1,601.52
2021,14.5,23.1,6.1,67.3,682.22
2000,6.0,18.5,-3.4,2.7,471.03
2000,11.5,22.5,3.3,27.1,515.73
2000,16.5,28.6,8.8,63.5,523.82
2001,4.9,20.7,-4.8,12.1,454.77
2001,12.5,28.1,1.1,6.7,542.68
2001,18.1,30.5,10.2,19.7,559.94
2002,7.6,18.2,-1.6,28.3,429.77
2002,13.7,27.4,5.7,139.5,516.37
2002,17.5,28.4,9.7,66.9,560.8
2003,6.3,20.9,-4.8,26.3,400.82
2003,12.2,24.8,5.3,129.0,379.57
2003,18.1,31.0,8.3,99.6,507.43
2004,5.6,19.2,-5.2,14.2,446.46
2004,12.0,26.3,2.8,64.4,494.08
2004,16.2,27.8,8.7,169.0,440.88
2005,4.8,17.1,-5.0,12.9,545.15
2005,12.4,32.7,3.5,76.4,566.82
2005,17.3,30.8,5.9,82.0,667.08
2006,4.9,15.6,-5.8,5.0,474.15
2006,10.9,22.2,3.9,35.0,448.27
2006,17.1,26.6,10.6,186.5,560.78
2007,6.2,15.3,-6.0,108.3,363.25
2007,10.8,19.3,3.7,28.0,507.95
2007,16.6,27.1,9.1,134.1,572.46
2008,7.0,19.1,-0.5,45.8,430.88
2008,13.1,24.8,4.9,48.5,523.18
2008,16.6,27.3,8.9,63.9,583.79
2009,6.0,20.6,-3.0,64.1,442.3
2009,11.5,21.9,3.1,40.4,528.48
2009,17.3,29.1,9.2,134.5,609.85
2010,5.1,14.4,-2.8,62.9,368.68
2010,9.6,19.7,2.1,57.3,478.99
2010,16.1,26.3,7.2,104.9,555.76
2011,4.2,13.4,-2.8,14.5,524.87
2011,10.0,18.2,4.3,127.6,493.19
2011,16.8,27.5,9.0,44.2,536.11
2012,5.2,13.8,-4.8,26.6,416.01
2012,11.7,28.9,2.3,104.5,505.07
2012,18.1,27.4,12.1,14.0,632.16
2013,4.1,20.4,-4.0,30.7,446.08
2013,8.9,19.8,1.9,52.5,491.93
2013,16.0,27.1,6.8,126.2,543.51
2014,7.0,21.5,-3.4,8.5,424.51
2014,12.3,23.2,3.1,44.1,464.19
2014,16.9,28.9,7.4,74.3,650.89
2015,5.4,17.6,-6.0,10.0,427.25
2015,12.5,24.5,3.3,53.7,426.77
2015,17.0,27.5,9.8,30.1,580.22
2016,6.4,19.5,-5.0,44.1,425.19
2016,12.7,27.8,5.8,80.8,433.45
2016,18.3,29.3,9.8,148.5,555.43
2017,5.8,15.6,-3.5,9.7,435.76
2017,12.4,22.5,4.5,57.0,483.55
2017,17.6,26.8,10.8,21.6,586.76
2018,6.9,19.5,-5.5,78.6,440.44
2018,11.9,22.3,0.4,112.2,515.49
2018,17.0,27.8,8.6,158.9,566.66
2019,6.4,14.4,0.0,28.4,453.57
2019,11.3,25.3,3.3,41.1,511.07
2019,17.6,28.3,9.8,33.2,713.07
2020,7.1,19.9,-2.0,10.7,522.86
2020,10.4,20.5,3.0,13.8,647.34
2020,16.7,26.8,10.6,101.2,555.06
2021,7.7,19.0,-0.5,93.4,455.93
2021,13.2,24.8,4.9,116.9,547.8
2021,16.2,28.0,7.7,191.5,571.02
2000,4.2,16.7,-6.8,2.9,471.03
2000,9.7,21.0,-1.0,42.0,515.73
2000,14.7,26.0,5.4,73.0,523.82
2001,3.2,18.1,-7.4,14.0,454.77
2001,11.0,26.0,-2.9,6.5,542.68
2001,16.2,29.6,7.0,17.0,559.94
2002,5.7,15.8,-5.0,31.8,429.77
2002,11.6,26.0,1.2,166.0,516.37
2002,15.6,26.7,8.6,53.0,560.8
2003,4.1,19.9,-8.4,26.5,400.82
2003,11.3,23.4,1.8,142.5,379.57
2003,17.2,30.2,5.4,82.0,507.43
2004,4.3,17.1,-8.3,27.8,446.46
2004,10.6,25.3,-0.4,82.5,494.08
2004,15.0,26.2,4.9,163.0,440.88
2005,2.9,15.1,-7.9,7.7,545.15
2005,11.4,28.3,-0.8,82.5,566.82
2005,15.8,28.1,4.5,110.5,667.08
