일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,23.9,30.9,18.9,0.0,415.98
2000,19.5,27.6,14.6,0.0,373.37
2001,14.9,27.5,5.0,10.6,559.94
2001,19.5,27.3,13.6,148.3,452.0
2001,22.5,29.1,17.4,273.4,418.49
2001,24.4,32.8,17.6,97.7,544.17
2001,20.3,29.9,12.0,19.4,465.46
2002,14.3,23.4,7.0,34.7,560.8
2002,18.3,28.0,11.0,56.3,554.92
2002,21.8,33.5,13.0,74.3,481.37
2002,22.5,30.4,17.8,201.4,321.86
2002,20.2,27.4,14.1,2.6,415.55
2003,15.7,26.4,6.6,121.4,507.43
2003,18.4,26.0,13.3,53.8,352.48
2003,21.3,29.2,14.2,158.5,300.58
2003,21.4,29.2,14.1,194.4,257.44
2003,17.5,23.8,11.8,87.8,294.21
2004,14.4,24.3,6.9,136.0,440.88
2004,20.4,28.8,13.8,29.2,425.16
2004,22.1,30.1,16.4,219.5,327.45
2004,23.4,32.3,17.2,174.1,459.17
2004,20.2,28.0,13.9,87.3,398.96
2005,14.4,28.1,5.8,55.7,667.08
2005,18.7,27.3,11.6,68.7,543.04
2005,23.8,31.5,18.4,163.6,470.48
2005,23.7,31.2,16.2,178.3,449.61
2005,20.4,28.6,14.5,149.0,388.63
2006,14.2,23.6,6.9,95.5,560.78
2006,18.0,27.2,11.8,78.2,509.15
2006,21.5,32.1,16.6,241.4,327.0
2006,25.0,32.0,19.8,38.5,580.29
2006,20.5,28.6,14.1,5.5,447.16
2007,14.3,26.0,8.3,136.0,572.46
2007,19.8,28.0,12.0,51.3,545.89
2007,21.2,29.5,15.8,195.0,431.31
2007,23.7,30.2,18.6,302.5,442.35
2007,20.3,28.1,14.5,350.6,320.99
2008,13.6,22.0,8.1,39.2,583.79
2008,18.3,26.2,11.2,114.1,533.21
2008,21.7,27.3,17.9,371.0,412.39
2008,23.3,30.8,16.9,161.8,556.25
2008,20.4,27.5,12.5,87.8,443.61
2009,15.6,26.5,5.6,88.5,609.85
2009,18.9,25.8,11.3,85.7,576.08
2009,21.7,28.1,17.0,249.5,518.59
2009,23.9,30.2,17.0,178.4,499.14
2009,20.4,27.2,16.5,2.8,474.46
2010,13.5,23.4,6.5,70.9,555.76
2010,19.3,28.5,7.3,62.7,593.86
2010,23.3,29.1,18.3,64.5,505.66
2010,24.4,29.9,18.1,273.2,438.97
2010,21.2,28.3,12.1,346.1,411.49
2011,14.0,25.8,7.0,26.8,536.11
2011,17.2,28.1,9.8,197.5,509.31
2011,21.1,28.9,15.1,299.8,378.44
2011,22.1,28.9,17.1,154.8,406.9
2011,18.7,25.4,10.7,67.9,453.79
2012,15.9,24.2,6.5,2.5,632.16
2012,19.9,30.0,13.6,91.8,591.57
2012,22.3,28.9,16.1,168.6,440.33
2012,24.0,31.3,18.4,278.6,409.17
2012,19.9,26.7,13.0,36.8,331.39
2013,13.5,24.3,5.6,124.9,543.51
