일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,9.4,21.2,0.9,43.5,439.7
2000,13.5,26.1,4.4,32.8,555.65
2000,17.2,26.9,9.2,46.2,591.85
2001,9.5,21.2,-0.1,21.9,439.49
2001,14.1,24.3,4.2,62.6,545.6
2001,18.5,28.2,11.6,105.4,551.49
2002,11.4,21.0,3.0,59.4,411.85
2002,15.2,25.1,7.1,65.1,450.96
2002,17.4,25.4,12.1,141.6,467.48
2003,9.1,21.5,1.4,164.0,429.53
2003,14.1,26.7,6.6,120.9,489.03
2003,17.9,26.7,11.1,284.3,519.42
2004,10.0,23.9,0.4,57.7,468.59
2004,14.3,25.6,5.0,55.5,540.07
2004,18.1,30.8,9.7,124.8,503.02
2005,8.4,20.6,0.1,84.6,446.84
2005,15.4,30.1,7.3,33.5,618.12
2005,18.0,27.5,11.8,52.8,656.52
2006,9.7,19.8,0.6,43.8,468.61
2006,13.9,29.1,7.0,88.4,493.91
2006,17.6,28.3,11.5,163.7,531.37
2007,10.8,25.3,1.7,86.2,401.27
2007,13.9,23.3,3.9,38.1,525.75
2007,18.9,29.2,12.5,50.8,646.99
2008,10.0,18.3,3.1,77.5,443.08
2008,14.2,21.7,6.0,85.7,541.42
2008,17.2,26.1,8.8,135.0,631.31
2009,9.8,22.6,1.2,50.9,435.51
2009,13.7,21.8,4.5,94.4,577.2
2009,18.6,29.7,11.4,52.2,697.61
2010,9.3,25.5,-1.4,161.3,335.36
2010,11.8,21.2,3.8,210.5,461.62
2010,17.3,25.9,8.9,33.6,644.65
2011,7.8,18.7,1.0,32.4,499.77
2011,13.2,26.5,6.2,51.3,618.3
2011,18.2,29.8,10.5,66.1,594.13
2012,9.0,20.9,1.4,171.9,412.49
2012,14.5,24.4,4.3,165.0,549.17
2012,19.0,26.8,12.6,99.0,658.07
2013,10.0,28.1,2.3,55.2,438.73
2013,13.5,26.4,5.7,94.5,524.17
2013,18.6,27.8,10.2,59.7,608.53
2014,10.7,20.9,1.8,88.4,420.21
2014,14.8,24.6,7.6,52.3,498.81
2014,19.1,29.6,10.1,86.7,682.63
2015,10.4,22.2,0.2,80.7,448.34
2015,15.1,27.7,7.0,147.9,457.56
2015,18.8,29.4,11.0,150.0,660.45
2016,10.8,22.5,1.0,96.9,479.48
2016,15.6,24.5,9.8,121.4,483.09
2016,18.9,30.4,11.8,113.0,591.9
2017,9.8,17.9,3.0,48.2,433.79
2017,15.7,27.6,8.5,51.4,545.76
2017,19.5,28.1,13.6,38.5,682.11
2018,11.4,23.2,2.8,118.0,450.58
2018,15.9,26.1,5.3,112.5,550.16
2018,19.1,31.1,12.0,98.8,543.09
2019,10.8,22.0,3.6,55.5,464.14
2019,14.7,25.0,6.2,46.4,523.03
2019,20.0,33.1,11.9,42.8,682.44
2020,11.5,23.2,2.5,81.6,463.7
2020,13.2,24.8,6.0,82.3,631.61
2020,18.8,29.5,13.2,20.6,614.98
2021,12.5,21.9,4.8,81.1,453.55
2021,15.4,25.9,8.2,58.8,589.31
2021,19.0,30.9,9.4,100.7,645.53
2000,9.0,17.2,2.1,37.2,514.81
2000,12.3,19.2,5.1,28.5,605.55
2000,16.0,25.4,9.2,67.7,639.46
2001,9.0,20.0,-0.2,9.8,472.24
2001,13.9,23.4,5.7,47.3,600.76
2001,17.4,25.9,11.4,44.7,593.95
2002,10.8,19.4,3.9,61.1,469.65
2002,13.7,22.3,7.0,70.6,468.38
2002,16.5,25.2,11.3,96.1,507.95
2003,8.5,16.7,1.1,73.2,400.05
2003,13.2,22.4,6.1,133.1,462.25
2003,17.4,27.5,10.5,249.1,500.51
2004,9.6,21.4,-0.2,72.9,439.89
2004,13.6,23.4,5.6,118.3,522.55
2004,17.1,25.2,9.2,169.4,433.12
2005,7.8,17.3,-1.9,96.8,433.4
2005,13.9,22.0,7.3,53.7,542.89
2005,16.8,25.0,10.6,81.5,601.91
2006,9.2,17.1,-1.0,40.1,449.16
2006,12.3,20.2,6.8,117.7,453.51
2006,15.4,23.9,9.7,144.7,429.05
2007,10.1,19.8,0.6,84.7,436.79
2007,13.2,21.2,5.3,52.1,544.66
2007,17.4,24.7,11.8,75.5,629.77
2008,10.0,19.5,4.2,74.2,501.43
2008,14.1,22.6,6.8,46.1,536.4
2008,16.8,25.3,9.7,105.1,641.0
2009,9.3,19.4,2.5,87.5,452.78
2009,13.1,21.1,5.6,111.9,599.19
2009,17.3,24.7,11.0,55.8,717.61
2010,9.2,19.8,-2.3,122.0,369.36
2010,11.9,20.5,3.7,170.9,509.6
2010,16.8,23.7,10.0,49.5,615.48
2011,7.6,16.6,1.8,32.3,545.89
2011,12.3,18.7,6.7,86.2,643.37
2011,17.2,25.1,11.0,40.7,618.17
2012,9.2,19.2,1.4,116.5,454.85
2012,14.2,23.0,5.4,215.2,579.57
2012,18.3,27.0,12.5,51.5,698.99
2013,8.9,18.5,2.2,55.0,558.54
2013,12.1,21.6,5.1,63.5,600.03
2013,16.9,25.3,10.2,95.3,731.37
2014,9.7,20.6,1.5,108.9,454.87
2014,13.8,23.3,6.2,71.0,535.26
2014,17.3,25.3,9.4,184.8,654.83
2015,9.4,20.9,-0.6,91.3,377.41
2015,13.3,23.3,7.1,163.1,391.38
2015,16.7,25.5,10.3,232.0,530.26
2016,9.7,18.4,0.6,89.0,343.8
2016,14.2,22.5,9.7,147.3,336.98
2016,17.5,25.5,11.6,143.2,393.18
2017,9.4,19.1,0.0,34.2,319.64
2017,14.1,21.7,7.1,85.1,374.44
2017,17.8,25.8,12.3,31.1,438.06
2018,11.0,21.4,2.8,101.2,426.93
2018,15.1,23.2,4.1,175.6,515.4
2018,17.9,24.9,11.2,256.7,451.38
2019,10.2,18.0,3.5,46.0,447.56
2019,13.8,21.8,4.7,27.9,496.18
2019,18.0,26.2,10.8,122.6,615.43
2020,10.7,19.4,4.2,61.2,446.79
2020,12.3,20.9,6.6,32.5,597.68
2020,17.4,25.6,11.3,90.3,527.07
2021,12.0,21.0,4.7,111.8,450.07
2021,14.9,24.6,7.9,101.2,549.04
2021,17.9,26.7,10.3,132.2,582.95
2000,9.0,19.4,-2.7,83.0,477.255
2000,12.8,23.5,3.5,53.0,580.6
2000,16.9,29.1,7.1,123.0,615.655
2001,8.6,22.5,-1.2,14.5,455.865
2001,13.4,23.1,0.1,101.5,573.18
2001,17.9,26.8,8.1,74.5,572.72
2002,11.1,20.5,-0.5,91.5,440.75
2002,15.6,24.2,5.5,179.0,459.67
2002,18.6,28.0,12.8,200.0,487.715
2003,10.2,18.8,2.0,118.5,414.79
2003,15.8,24.3,5.5,185.0,475.64
2003,19.8,29.0,11.1,365.0,509.965
2004,9.1,19.8,-2.2,107.5,454.24
2004,13.7,25.2,3.4,143.0,531.31
2004,17.5,25.5,8.6,290.5,468.07
2005,7.6,18.0,-2.7,168.0,440.12
2005,14.3,24.5,3.7,97.0,580.505
2005,17.6,26.7,8.3,118.5,629.215
2006,9.3,20.0,-1.5,46.0,458.885
2006,13.6,23.5,4.9,250.0,473.71
2006,16.6,24.2,8.6,253.5,480.21
2007,10.8,19.8,1.2,105.9,419.03
2007,13.8,25.1,3.7,81.9,535.205
2007,18.4,27.1,9.0,92.1,638.38
2008,10.2,18.6,0.1,120.2,472.255
2008,14.3,22.6,4.6,111.2,538.91
2008,17.6,26.5,8.1,200.8,636.155
2000,9.0,19.4,-2.7,83.0,477.255
2000,12.8,23.5,3.5,53.0,580.6
2000,16.9,29.1,7.1,123.0,615.655
2001,8.6,22.5,-1.2,14.5,455.865
2001,13.4,23.1,0.1,101.5,573.18
2001,17.9,26.8,8.1,74.5,572.72
2002,11.1,20.5,-0.5,91.5,440.75
2002,15.6,24.2,5.5,179.0,459.67
2002,18.6,28.0,12.8,200.0,487.715
2003,10.2,18.8,2.0,118.5,414.79
2003,15.8,24.3,5.5,185.0,475.64
2003,19.8,29.0,11.1,365.0,509.965
2004,9.1,19.8,-2.2,107.5,454.24
2004,13.7,25.2,3.4,143.0,531.31
2004,17.5,25.5,8.6,290.5,468.07
2005,7.6,18.0,-2.7,168.0,440.12
2005,14.3,24.5,3.7,97.0,580.505
2005,17.6,26.7,8.3,118.5,629.215
2006,9.3,20.0,-1.5,46.0,458.885
2006,13.6,23.5,4.9,250.0,473.71
2006,16.6,24.2,8.6,253.5,480.21
2007,10.8,19.8,1.2,105.9,419.03
2007,13.8,25.1,3.7,81.9,535.205
2007,18.4,27.1,9.0,92.1,638.38
2008,10.2,18.6,0.1,120.2,472.255
2008,14.3,22.6,4.6,111.2,538.91
2008,17.6,26.5,8.1,200.8,636.155
2009,9.8,21.2,0.6,155.7,444.145
2009,13.6,22.8,4.3,150.5,588.195
2009,18.4,27.4,9.9,71.2,707.61
2010,8.5,18.8,-3.2,259.3,352.36
2010,10.7,17.5,2.4,271.9,485.61
2010,16.1,24.6,4.4,106.0,630.065
2011,7.6,18.5,-1.6,38.5,522.83
2011,13.1,22.5,3.3,92.8,630.835
2011,18.0,25.9,9.3,108.9,606.15
2012,9.2,19.6,0.5,179.3,433.67
2012,14.4,22.8,1.5,293.5,564.37
2012,18.6,28.1,9.6,144.0,678.53
2013,9.9,22.7,0.1,64.3,498.635
2013,13.1,22.3,3.7,132.8,562.1
2013,18.3,28.2,8.5,154.5,669.95
2014,10.4,22.4,-0.6,176.7,437.54
2014,14.4,22.4,4.2,172.0,517.035
2014,18.1,30.6,6.2,189.2,668.73
2015,9.4,20.9,-0.6,189.9,412.875
2015,13.9,22.7,2.9,290.7,424.47
2015,18.0,25.7,7.6,280.9,595.355
2016,10.1,19.2,-0.1,206.7,411.64
2016,15.2,24.2,8.3,294.4,410.035
2016,18.2,27.6,10.3,197.8,492.54
2017,9.1,17.8,-1.4,60.4,376.715
2017,15.1,28.1,5.5,106.7,460.1
2017,18.5,27.7,9.6,66.4,560.085
2018,10.6,20.9,1.7,179.5,438.755
2018,15.0,24.6,0.5,234.1,532.78
2018,17.9,25.5,6.7,151.8,497.235
2019,10.2,20.5,-0.1,133.5,455.85
2019,13.9,22.5,1.2,132.5,509.605
2019,18.7,29.6,7.9,247.3,648.935
2020,10.8,21.1,1.2,110.7,455.245
2020,12.6,23.1,4.5,87.0,614.645
2020,18.2,26.2,10.3,246.4,571.025
2021,12.3,19.9,2.8,214.1,451.81
2021,15.1,23.8,7.4,94.7,569.175
2021,18.4,27.6,7.3,154.1,614.24
2000,11.0,19.0,2.9,71.9,477.255
2000,14.8,23.1,6.1,60.7,580.6
2000,18.6,27.6,10.9,162.0,615.655
2001,11.2,23.2,-0.2,12.1,455.865
2001,15.7,23.3,5.0,203.0,573.18
2001,19.8,27.6,13.0,162.5,572.72
2002,13.0,21.1,4.3,101.1,440.75
2002,15.9,23.3,7.9,157.5,459.67
2002,19.2,28.3,13.2,194.5,487.715
2003,11.1,19.3,3.2,113.2,414.79
2003,16.0,24.8,9.6,225.0,475.64
2003,19.4,27.2,11.1,392.0,509.965
2004,11.8,23.8,0.9,87.0,454.24
2004,16.1,24.6,5.8,257.6,531.31
2004,19.3,26.5,12.4,420.7,468.07
2005,8.9,18.6,-2.7,194.6,440.12
2005,14.9,21.3,6.8,135.5,580.505
2005,18.1,26.5,11.0,137.7,629.215
2006,11.0,20.1,-0.2,54.2,458.885
2006,14.9,23.5,8.0,282.8,473.71
2006,17.8,25.8,11.6,178.7,480.21
2007,11.5,21.7,1.2,96.4,419.03
2007,14.9,25.0,5.6,81.0,535.205
2007,19.4,29.4,13.0,154.0,638.38
2008,11.1,20.2,1.5,123.6,472.255
2008,15.2,22.1,7.2,97.5,538.91
2008,18.6,27.1,11.3,209.9,636.155
2009,11.7,20.7,2.4,216.6,444.145
2009,15.2,23.4,4.6,183.2,588.195
2009,20.0,29.0,13.3,103.4,707.61
2010,10.8,23.8,-2.7,257.9,352.36
2010,13.3,21.7,6.2,324.8,485.61
2010,18.3,26.5,9.3,109.9,630.065
2011,9.3,18.9,1.8,91.6,522.83
2011,14.2,24.5,6.8,148.4,630.835
2011,18.7,26.4,12.5,125.4,606.15
2012,10.8,19.4,1.0,201.5,433.67
2012,15.5,24.5,5.9,516.5,564.37
2012,19.9,28.3,14.2,96.1,678.53
2013,12.2,21.3,3.6,59.4,498.635
2013,14.3,22.5,5.8,112.5,562.1
2013,19.2,26.7,11.1,160.5,669.95
2014,11.9,21.9,1.8,207.0,437.54
2014,15.7,23.7,6.7,198.2,517.035
2014,19.5,30.4,9.8,276.0,668.73
2015,11.1,20.7,-0.3,183.5,412.875
2015,15.0,23.8,8.2,248.1,424.47
2015,19.0,26.6,13.2,426.5,595.355
2016,11.1,19.6,-0.5,138.1,411.64
2016,15.8,22.7,10.8,232.2,410.035
2016,18.9,26.2,12.6,216.6,492.54
2017,10.3,17.6,2.0,36.3,376.715
2017,15.7,24.1,7.5,222.5,460.1
2017,19.2,27.5,13.1,59.2,560.085
2018,11.8,19.8,3.2,151.6,438.755
2018,15.8,24.5,3.5,312.0,532.78
2018,18.7,25.7,11.0,356.1,497.235
2019,11.6,21.9,4.2,64.8,455.85
2019,15.0,24.5,5.4,89.2,509.605
2019,19.9,29.7,12.1,376.7,648.935
