일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,17.2,26.9,9.2,46.2,591.85
2000,21.6,30.9,14.7,97.6,502.96
2000,26.4,36.0,19.8,166.2,578.74
2000,28.0,33.2,23.5,169.6,569.56
2000,22.2,32.8,16.3,331.2,367.14
2001,18.5,28.2,11.6,105.4,551.49
2001,22.3,31.0,16.2,259.7,462.19
2001,26.7,35.8,18.8,123.1,606.15
2001,26.8,35.0,18.2,233.9,470.85
2001,23.1,27.7,17.5,109.7,406.46
2002,17.4,25.4,12.1,141.6,467.48
2002,21.6,32.3,15.2,118.6,562.25
2002,24.5,35.0,19.6,495.7,464.24
2002,25.6,33.4,20.6,356.5,470.09
2002,22.6,29.0,17.1,143.9,446.94
2003,17.9,26.7,11.1,284.3,519.42
2003,21.4,28.9,16.0,201.9,528.68
2003,24.2,34.3,17.8,362.2,399.71
2003,25.9,33.9,20.7,245.1,472.26
2003,23.9,33.1,17.4,330.4,487.1
2004,18.1,30.8,9.7,124.8,503.02
2004,21.5,28.5,14.6,66.1,512.74
2004,27.4,34.1,20.8,55.7,709.95
2004,27.2,34.3,21.3,405.1,513.09
2004,23.2,31.4,17.2,348.5,334.42
2005,18.0,27.5,11.8,52.8,656.52
2005,23.2,33.7,16.5,11.5,654.5
2005,26.9,34.5,21.2,120.7,535.8
2005,27.4,34.7,20.1,217.6,559.19
2005,25.1,32.2,20.2,9.0,447.68
2006,17.6,28.3,11.5,163.7,531.37
2006,21.1,30.0,14.1,271.6,514.84
2006,25.6,33.7,19.7,338.7,541.32
2006,27.9,34.0,22.2,64.8,586.01
2006,21.7,29.0,17.1,261.0,392.77
2007,18.9,29.2,12.5,50.8,646.99
2007,21.5,30.7,15.1,101.9,512.41
2007,24.8,34.0,19.7,302.8,507.77
2007,28.1,33.7,23.5,231.7,610.88
2007,23.3,32.7,18.7,880.0,345.99
2008,17.2,26.1,8.8,135.0,631.31
2008,20.8,29.0,14.4,260.5,414.9
2008,27.2,34.8,19.7,61.5,659.78
2008,26.7,34.0,21.1,243.7,549.76
2008,23.9,29.4,13.9,126.3,406.25
2009,18.6,29.7,11.4,52.2,697.61
2009,22.6,30.7,15.7,155.8,623.8
2009,25.8,33.6,18.7,201.1,574.58
2009,25.6,33.4,20.5,240.5,486.66
2009,22.9,28.8,18.5,113.3,443.06
2010,17.3,25.9,8.9,33.6,644.65
2010,21.2,27.7,14.3,188.0,505.25
2010,25.9,32.2,20.9,263.9,574.45
2010,28.8,35.8,24.6,227.6,611.42
2010,24.2,33.9,14.8,179.1,452.24
2011,18.2,29.8,10.5,66.1,594.13
2011,21.7,33.2,15.5,398.6,499.06
2011,27.3,34.5,20.8,68.3,637.43
2011,26.0,34.7,20.6,423.1,507.37
2011,23.1,29.5,16.1,47.8,500.14
2012,19.0,26.8,12.6,99.0,658.07
2012,22.3,30.2,16.9,104.8,507.22
2012,26.6,34.9,21.5,207.3,524.25
2012,27.8,34.4,21.7,601.9,501.33
2012,22.0,30.3,16.5,499.1,447.1
2013,18.6,27.8,10.2,59.7,608.53
2013,21.7,30.8,16.3,160.5,433.11
2013,28.7,36.3,20.0,14.7,637.07
2013,29.1,35.7,22.2,74.2,618.95
2013,24.0,29.9,16.3,82.1,475.16
2014,19.1,29.6,10.1,86.7,682.63
2014,21.8,29.7,17.3,65.4,529.41
2014,25.1,35.2,20.0,288.7,468.17
2014,25.1,30.0,20.9,460.3,384.21
2014,23.5,29.1,18.1,93.5,429.36
2015,18.8,29.4,11.0,150.0,660.45
2015,22.0,30.6,15.3,186.4,479.34
2015,25.6,36.7,19.1,329.7,593.93
2015,26.4,35.5,20.4,248.6,530.07
2015,23.2,28.6,18.4,172.9,494.55
2016,18.9,30.4,11.8,113.0,591.9
2016,22.2,30.2,16.7,162.7,451.38
2016,27.4,35.5,22.3,98.6,610.55
2016,28.5,34.4,19.9,75.6,631.34
2016,23.9,33.0,18.9,172.3,367.08
2017,19.5,28.1,13.6,38.5,682.11
2017,22.0,28.0,16.7,60.7,584.91
2017,29.2,37.0,23.1,35.2,617.2
2017,28.7,35.7,22.1,159.5,619.22
2017,24.0,32.1,18.0,83.4,414.01
2018,19.1,31.1,12.0,98.8,543.09
2018,22.3,32.3,16.2,211.1,576.1
2018,27.3,35.0,19.6,48.7,632.09
2018,28.8,35.3,24.4,376.5,613.7
2018,23.9,31.2,18.5,187.7,386.19
2019,20.0,33.1,11.9,42.8,682.44
2019,21.5,29.8,15.9,145.8,594.51
2019,25.2,35.4,20.4,510.1,536.39
2019,27.7,34.7,20.8,242.3,519.94
2019,24.0,30.4,16.7,610.6,369.79
2020,18.8,29.5,13.2,20.6,614.98
2020,22.4,30.9,15.0,221.5,514.61
2020,24.2,34.3,19.2,184.7,466.66
2020,29.4,36.3,24.3,140.4,609.75
2020,22.9,30.7,16.8,400.5,376.53
2021,19.0,30.9,9.4,100.7,645.53
2021,23.4,31.5,18.4,122.4,604.98
2021,27.8,34.2,22.7,247.1,551.05
2021,27.3,33.8,22.2,227.8,500.53
2021,24.9,33.3,19.0,493.1,368.49
2000,16.0,25.4,9.2,67.7,639.46
2000,20.5,26.0,14.5,121.5,477.35
2000,25.4,32.7,19.5,94.4,614.81
2000,26.8,32.2,22.6,229.2,632.7
2000,21.9,30.0,15.6,198.2,471.87
2001,17.4,25.9,11.4,44.7,593.95
2001,20.5,26.6,15.1,237.1,459.64
2001,25.8,31.7,18.3,163.3,635.99
2001,26.4,34.3,17.1,196.7,603.1
2001,23.0,29.6,16.6,18.7,561.88
2002,16.5,25.2,11.3,96.1,507.95
2002,20.9,28.0,14.8,52.1,625.7
2002,23.5,31.8,18.5,273.7,503.99
2002,24.9,31.5,19.3,308.7,486.37
2002,22.4,29.6,16.5,111.0,552.27
2003,17.4,27.5,10.5,249.1,500.51
2003,20.5,26.8,13.5,253.3,494.48
2003,23.1,29.5,17.7,265.8,296.34
2003,25.5,30.7,20.0,244.2,515.46
2003,23.6,31.6,16.2,79.6,505.31
2004,17.1,25.2,9.2,169.4,433.12
2004,22.0,29.5,14.5,85.3,511.92
2004,25.1,33.1,17.4,48.1,615.25
2004,27.3,33.5,22.2,363.7,589.97
2004,23.4,32.2,16.1,239.5,389.81
2005,16.8,25.0,10.6,81.5,601.91
2005,21.4,27.9,13.6,35.6,557.52
2005,25.1,31.0,19.2,164.5,478.54
2005,26.3,32.6,20.5,130.3,506.97
2005,24.3,31.4,17.1,10.5,473.45
2006,15.4,23.9,9.7,144.7,429.05
2006,19.9,28.3,13.9,203.5,430.87
2006,24.3,30.1,18.1,407.5,469.31
2006,27.3,33.0,22.7,100.9,596.54
2006,21.4,30.6,15.6,102.6,390.18
2007,17.4,24.7,11.8,75.5,629.77
2007,20.9,28.6,14.6,68.1,475.31
2007,24.5,32.7,19.2,285.1,529.53
2007,27.5,32.2,23.7,189.5,661.13
2007,24.0,30.0,19.6,318.2,457.09
2008,16.8,25.3,9.7,105.1,641.0
2008,20.1,25.6,14.0,252.8,428.33
2008,25.8,31.7,18.4,69.1,652.41
2008,26.1,32.5,20.6,126.8,591.4
2008,23.4,29.9,14.8,81.7,467.16
2009,17.3,24.7,11.0,55.8,717.61
2009,20.7,27.6,14.2,187.0,590.87
2009,24.2,29.2,18.0,150.8,541.64
