일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,12.4,20.9,3.5,93.2,251.59
2000,8.4,17.5,0.5,19.8,225.19
2001,5.6,15.1,-3.1,117.0,173.81
2001,12.5,21.0,6.7,42.0,270.04
2001,7.4,17.5,1.2,107.6,147.68
2002,7.7,21.4,1.3,56.6,188.7
2002,10.7,22.5,2.8,18.2,271.25
2002,8.5,17.1,1.8,102.4,142.21
2003,4.9,15.3,-2.1,55.9,186.09
2003,14.4,23.2,3.7,112.5,215.16
2003,8.3,21.0,1.9,20.0,188.5
2004,5.5,13.6,-3.2,40.6,195.41
2004,13.9,24.0,6.2,51.5,293.29
2004,9.5,22.1,1.2,55.4,196.02
2005,5.4,13.8,0.6,47.0,145.55
2005,14.2,24.8,6.8,92.5,277.85
2005,6.0,17.8,-1.5,78.9,164.21
2006,7.3,16.3,0.1,57.0,187.34
2006,14.8,25.5,7.4,83.6,231.51
2006,9.0,18.2,2.2,62.0,166.31
2007,7.2,13.1,2.0,124.5,163.03
2007,12.0,19.7,3.7,2.6,263.53
2007,9.6,17.7,1.7,92.7,69.88
2008,6.4,18.3,0.2,156.8,150.44
2008,13.0,20.8,4.2,73.3,215.76
2008,8.4,19.0,0.9,28.2,194.77
2009,5.5,15.9,-2.5,61.7,161.68
2009,12.4,23.6,3.4,115.3,191.44
2009,7.3,15.8,-0.7,28.5,164.43
2010,5.3,18.9,-2.3,34.6,195.65
2010,11.7,22.1,3.5,1.8,289.0
2010,7.1,17.8,-0.6,82.5,195.1
2011,2.3,8.0,-2.8,15.6,147.22
2011,15.7,26.4,6.4,231.3,215.28
2011,7.1,14.1,1.4,59.9,138.85
2012,5.4,11.1,-0.1,32.9,166.36
2012,12.0,18.1,4.8,90.6,227.01
2012,6.6,18.0,-0.2,131.0,138.02
2013,5.6,17.4,-1.6,20.5,192.54
2013,12.9,23.2,3.4,82.1,255.98
2013,8.1,17.2,1.8,41.8,181.75
2014,6.8,17.4,0.1,50.2,259.24
2014,13.9,22.5,6.9,100.3,242.51
2014,7.3,14.7,1.1,47.2,163.23
2015,7.4,17.5,1.2,82.4,203.06
2015,15.2,23.8,3.1,173.2,165.46
2015,10.0,20.1,2.3,90.0,143.71
2016,6.1,16.8,-5.8,125.6,132.75
2016,13.7,23.2,6.7,71.3,247.4
2016,9.5,22.3,3.1,56.6,203.16
2017,6.6,14.8,0.7,50.7,201.43
2017,12.6,24.2,5.0,19.2,288.3
2017,7.2,15.1,0.7,25.4,183.32
2018,4.9,14.4,-2.6,58.0,184.41
2018,13.9,20.5,7.3,28.6,294.87
2018,8.7,22.9,0.2,96.0,155.8
2019,6.4,12.6,2.0,24.2,222.25
2019,14.6,24.3,6.9,27.5,289.92
2019,9.7,18.7,1.8,48.2,174.39
2020,8.9,23.6,2.4,116.7,163.1
2020,14.1,26.7,7.6,28.2,268.92
2020,7.7,15.0,-1.4,29.5,205.64
2021,6.8,18.2,-3.1,116.6,216.43
2021,14.0,23.2,7.0,63.8,273.16
2021,8.9,17.4,-0.5,31.4,167.0
2000,12.5,21.2,3.0,90.0,316.0
2000,8.6,18.1,0.5,10.5,259.35
