일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,26.9,34.6,19.2,428.1,462.8
2000,20.8,31.1,11.8,232.9,350.82
2000,15.6,28.3,3.9,37.3,370.87
2001,26.7,36.0,16.7,85.0,522.68
2001,22.6,33.0,10.7,78.2,512.87
2001,16.8,27.1,6.8,99.3,340.67
2002,25.1,34.7,19.7,359.5,337.19
2002,21.5,32.5,12.1,44.5,443.47
2002,14.0,27.5,-0.2,39.5,389.09
2003,24.7,33.7,16.8,299.1,378.27
2003,22.1,32.1,11.1,186.9,389.21
2003,14.5,27.5,2.7,31.5,408.05
2004,26.6,35.7,18.8,440.5,474.74
2004,22.3,32.2,12.2,146.1,391.66
2004,15.2,26.8,1.9,7.4,431.64
2005,26.2,35.8,17.6,431.0,438.95
2005,23.3,33.2,13.5,101.9,367.2
2005,15.1,26.2,1.8,19.7,366.25
2006,27.7,36.4,20.4,149.0,493.37
2006,20.9,31.9,11.6,41.1,426.68
2006,18.1,28.5,6.4,38.9,398.57
2007,27.2,34.8,20.0,313.3,447.33
2007,22.2,32.3,12.5,457.1,311.91
2007,15.3,27.6,3.1,33.2,377.34
2008,25.8,35.3,17.4,187.2,523.97
2008,22.7,33.8,7.2,27.7,446.64
2008,16.4,29.3,6.4,33.0,378.44
2009,25.7,34.1,17.1,177.4,496.99
2009,21.8,32.2,13.6,56.5,480.18
2009,16.3,28.2,6.5,19.6,415.87
2010,27.7,35.7,21.9,660.7,430.49
2010,23.2,34.5,7.9,90.5,433.99
2010,15.0,25.3,-1.6,41.5,372.65
2011,26.0,36.2,16.5,477.8,389.9
2011,21.9,33.3,10.8,71.2,460.27
2011,14.2,26.3,0.6,34.6,407.03
2012,27.7,38.3,17.9,405.5,454.39
2012,21.2,31.2,12.3,209.1,387.52
2012,15.2,27.1,3.1,59.2,376.23
2013,28.5,37.8,19.6,278.5,501.24
2013,22.4,33.4,9.0,83.4,404.75
2013,16.3,29.5,3.9,25.6,383.76
2014,24.5,33.0,17.1,355.5,363.43
2014,21.9,31.5,13.0,88.1,457.46
2014,15.9,30.0,3.3,101.1,432.71
2015,25.9,35.3,19.3,49.0,563.97
2015,21.6,31.7,13.7,36.7,524.08
2015,16.1,26.1,2.1,98.1,438.84
2016,27.4,36.2,16.2,35.8,601.61
2016,22.6,32.5,13.9,145.4,408.23
2016,16.5,29.8,3.3,152.3,312.26
2017,26.2,35.1,16.3,272.3,533.35
2017,21.4,30.7,10.9,91.9,493.74
2017,16.0,28.0,2.4,28.2,383.9
2018,28.6,38.9,19.8,368.9,583.99
2018,21.7,31.0,10.4,101.8,472.4
2018,13.9,26.7,4.4,123.2,432.22
2019,26.8,35.1,19.1,117.7,566.26
2019,22.7,31.8,12.6,194.8,419.23
2019,16.6,27.9,6.3,73.0,415.98
2020,27.7,34.6,22.7,471.5,466.92
2020,21.3,31.8,13.1,135.2,419.43
2020,14.9,26.1,4.7,4.2,422.25
2021,25.9,34.6,19.4,454.8,469.92
2021,22.9,30.2,15.8,162.1,407.92
2021,16.4,31.5,2.1,37.0,409.05
2011,26.1,36.7,18.1,389.8,418.51
2011,21.3,32.9,10.0,33.0,498.35
2011,13.8,25.5,0.4,18.5,418.07
2012,27.5,37.0,17.3,475.4,474.36
2012,20.8,30.2,12.3,178.7,444.02
2012,15.1,25.6,4.1,48.2,430.73
2013,27.0,34.8,18.3,277.2,599.14
2013,20.9,30.7,7.9,51.6,468.57
2013,15.0,28.0,1.4,11.1,400.96
2014,23.2,31.0,16.9,475.8,377.63
2014,20.6,29.0,12.5,75.2,473.22
2014,14.9,26.8,2.1,93.6,426.64
2015,25.0,35.6,17.1,73.0,556.19
