일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,6.9,21.0,-5.9,30.0,458.47
2000,12.8,25.5,-0.4,44.8,525.87
2000,18.2,33.2,5.6,37.3,542.32
2001,6.1,24.5,-5.2,19.6,448.29
2001,13.7,28.9,-0.1,25.4,603.48
2001,19.5,31.3,8.1,29.2,628.22
2002,8.2,24.7,-4.2,44.2,450.16
2002,14.2,28.3,2.8,180.3,534.1
2002,17.6,28.9,7.9,104.3,530.37
2003,6.5,23.4,-4.5,50.6,414.31
2003,13.4,28.2,2.7,245.0,455.89
2003,19.2,30.7,5.7,122.0,568.6
2004,7.0,23.4,-6.6,25.7,477.24
2004,13.5,30.7,-0.1,63.3,529.82
2004,18.5,28.9,6.9,100.4,500.95
2005,4.8,21.0,-6.9,50.2,472.89
2005,14.6,31.2,0.6,39.5,554.34
2005,18.0,29.9,6.4,52.1,627.55
2006,6.6,20.5,-7.7,10.2,469.12
2006,11.9,26.5,1.8,66.1,437.03
2006,18.9,31.8,9.2,115.5,532.0
2007,7.6,21.6,-5.0,120.3,398.23
2007,11.8,24.8,-0.2,28.5,531.55
2007,18.6,29.2,9.0,68.0,597.19
2008,7.7,21.1,-3.6,38.8,449.8
2008,14.0,28.4,2.7,47.5,533.54
2008,18.5,32.6,7.0,127.9,631.29
2009,7.0,24.4,-4.5,50.2,465.38
2009,12.6,29.0,-1.3,19.5,551.43
2009,18.9,31.9,7.5,113.8,637.41
2010,6.3,21.5,-3.7,69.9,341.59
2010,10.3,25.1,-1.1,84.5,496.74
2010,18.0,32.1,3.6,88.0,597.05
2011,4.5,19.6,-5.7,23.5,538.8
2011,11.7,26.1,0.3,80.8,553.33
2011,18.8,30.8,6.4,122.8,549.32
2012,5.9,21.7,-5.8,78.0,410.18
2012,13.5,31.1,-1.3,51.5,532.85
2012,19.7,31.1,9.8,32.0,636.6
2013,7.0,28.2,-4.2,72.5,448.72
2013,11.0,28.5,0.2,89.0,449.87
2013,18.9,32.3,5.2,90.0,559.58
2014,8.3,25.9,-5.3,95.8,387.95
2014,14.0,27.2,0.4,79.7,480.85
2014,19.2,34.8,5.4,39.6,635.54
2015,7.2,23.4,-5.7,30.5,519.74
2015,13.9,27.2,2.7,93.3,457.85
2015,19.2,33.2,4.9,40.6,702.9
2016,7.6,22.9,-6.1,67.0,519.0
2016,14.6,26.4,5.2,144.2,526.14
2016,19.2,30.1,9.6,84.3,709.69
2017,6.5,19.3,-3.0,24.1,527.55
2017,14.0,28.7,1.6,57.8,607.56
2017,18.8,30.3,9.7,51.5,705.07
2018,9.0,24.6,-4.8,98.0,487.52
2018,14.0,28.4,0.0,98.7,568.67
2018,18.9,30.3,7.8,122.1,606.0
2019,7.7,22.7,-1.7,33.1,487.53
2019,12.6,29.0,0.1,98.5,511.84
2019,18.9,32.4,5.6,45.6,765.48
2020,8.4,23.7,-3.0,25.4,547.11
2020,10.9,27.1,0.3,23.0,680.76
2020,18.6,29.2,9.2,79.0,619.71
2021,9.5,23.7,-0.9,95.7,450.85
2021,14.4,28.6,2.4,34.9,576.5
2021,17.7,30.8,6.4,182.2,538.96
2011,4.2,18.7,-4.8,14.0,466.33
2011,10.8,25.6,-1.9,80.6,491.55
2011,18.4,29.1,4.4,125.5,524.69
2012,5.3,21.4,-6.0,71.8,430.26
2012,12.6,28.1,-1.3,82.5,552.71
2012,18.5,31.8,7.8,40.5,667.24
2013,6.0,26.9,-4.4,82.0,524.2
2013,9.7,24.8,-1.4,55.9,529.5
2013,17.1,30.6,3.4,94.6,616.16
2014,7.2,25.0,-6.1,86.2,453.82
2014,12.3,25.7,0.2,67.9,541.47
2014,17.4,32.2,4.8,43.1,717.75
2015,5.9,21.9,-4.9,36.1,523.47
2015,12.4,26.2,1.9,110.6,484.29
2015,17.3,30.7,4.5,34.1,708.39
2016,6.7,22.2,-5.2,20.0,518.2
2016,13.9,25.9,3.7,176.2,525.6
2016,18.7,30.0,7.8,105.8,676.55
2017,5.2,18.2,-5.1,22.2,393.17
2017,13.0,27.4,-2.2,48.8,444.51
2017,18.1,30.8,8.1,30.2,519.03
2018,8.3,23.7,-4.1,77.6,353.52
