일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,18.2,33.2,5.6,37.3,542.32
2000,22.9,32.8,13.4,408.9,484.32
2000,26.9,34.9,19.7,334.9,506.71
2000,26.9,34.6,19.2,428.1,462.8
2000,20.8,31.1,11.8,232.9,350.82
2001,19.5,31.3,8.1,29.2,628.22
2001,23.0,32.7,12.7,238.9,436.22
2001,27.0,35.0,20.4,239.6,475.69
2001,26.7,36.0,16.7,85.0,522.68
2001,22.6,33.0,10.7,78.2,512.87
2002,17.6,28.9,7.9,104.3,530.37
2002,22.5,32.6,13.2,49.3,601.79
2002,25.9,36.2,18.6,149.0,470.15
2002,25.1,34.7,19.7,359.5,337.19
2002,21.5,32.5,12.1,44.5,443.47
2003,19.2,30.7,5.7,122.0,568.6
2003,21.9,31.7,12.0,121.6,445.99
2003,23.7,32.1,17.1,666.0,355.07
2003,24.7,33.7,16.8,299.1,378.27
2003,22.1,32.1,11.1,186.9,389.21
2004,18.5,28.9,6.9,100.4,500.95
2004,23.1,33.7,10.3,290.3,496.24
2004,26.9,36.5,19.5,247.5,468.73
2004,26.6,35.7,18.8,440.5,474.74
2004,22.3,32.2,12.2,146.1,391.66
2005,18.0,29.9,6.4,52.1,627.55
2005,23.5,32.6,15.1,131.5,535.44
2005,26.2,34.6,19.3,465.6,428.87
2005,26.2,35.8,17.6,431.0,438.95
2005,23.3,33.2,13.5,101.9,367.2
2006,18.9,31.8,9.2,115.5,532.0
2006,23.3,33.3,14.0,97.5,536.63
2006,25.0,34.4,18.9,527.4,327.32
2006,27.7,36.4,20.4,149.0,493.37
2006,20.9,31.9,11.6,41.1,426.68
2007,18.6,29.2,9.0,68.0,597.19
2007,22.8,33.1,13.5,129.1,497.5
2007,24.9,32.8,19.6,206.7,420.17
2007,27.2,34.8,20.0,313.3,447.33
2007,22.2,32.3,12.5,457.1,311.91
2008,18.5,32.6,7.0,127.9,631.29
2008,22.3,31.6,12.8,262.2,492.42
2008,27.2,35.1,21.5,205.9,497.03
2008,25.8,35.3,17.4,187.2,523.97
2008,22.7,33.8,7.2,27.7,446.64
2009,18.9,31.9,7.5,113.8,637.41
2009,22.9,34.4,12.1,105.5,595.53
2009,24.8,32.2,18.1,502.2,400.88
2009,25.7,34.1,17.1,177.4,496.99
2009,21.8,32.2,13.6,56.5,480.18
2010,18.0,32.1,3.6,88.0,597.05
2010,23.5,32.9,12.1,21.3,579.38
2010,26.5,35.1,19.6,211.2,482.84
2010,27.7,35.7,21.9,660.7,430.49
2010,23.2,34.5,7.9,90.5,433.99
2011,18.8,30.8,6.4,122.8,549.32
2011,23.4,33.6,13.2,151.8,554.9
2011,26.4,34.8,18.4,467.0,433.42
2011,26.0,36.2,16.5,477.8,389.9
2011,21.9,33.3,10.8,71.2,460.27
2012,19.7,31.1,9.8,32.0,636.6
2012,23.7,33.1,14.4,77.4,565.24
2012,26.7,36.0,19.9,300.0,482.06
2012,27.7,38.3,17.9,405.5,454.39
2012,21.2,31.2,12.3,209.1,387.52
2013,18.9,32.3,5.2,90.0,559.58
2013,23.9,33.8,14.0,106.4,478.7
2013,27.8,35.9,21.8,349.8,431.69
2013,28.5,37.8,19.6,278.5,501.24
2013,22.4,33.4,9.0,83.4,404.75
2014,19.2,34.8,5.4,39.6,635.54
2014,23.0,32.1,14.6,89.4,481.78
2014,25.8,36.0,18.9,222.5,459.98
2014,24.5,33.0,17.1,355.5,363.43
2014,21.9,31.5,13.0,88.1,457.46
2015,19.2,33.2,4.9,40.6,702.9
2015,22.7,33.6,12.7,124.7,529.59
2015,25.1,34.2,17.0,121.9,530.45
2015,25.9,35.3,19.3,49.0,563.97
2015,21.6,31.7,13.7,36.7,524.08
2016,19.2,30.1,9.6,84.3,709.69
2016,22.8,31.3,15.7,95.8,557.71
2016,26.5,34.5,20.4,251.8,564.96
2016,27.4,36.2,16.2,35.8,601.61
2016,22.6,32.5,13.9,145.4,408.23
2017,18.8,30.3,9.7,51.5,705.07
2017,22.3,33.0,11.5,100.0,666.89
2017,27.1,34.3,21.6,216.4,480.69
2017,26.2,35.1,16.3,272.3,533.35
2017,21.4,30.7,10.9,91.9,493.74
2018,18.9,30.3,7.8,122.1,606.0
2018,23.1,34.8,15.2,137.2,626.09
2018,27.8,36.8,18.3,169.1,682.56
2018,28.6,38.9,19.8,368.9,583.99
2018,21.7,31.0,10.4,101.8,472.4
2019,18.9,32.4,5.6,45.6,765.48
2019,21.9,32.9,12.7,89.1,619.46
2019,25.6,34.0,18.9,176.2,518.47
2019,26.8,35.1,19.1,117.7,566.26
2019,22.7,31.8,12.6,194.8,419.23
2020,18.6,29.2,9.2,79.0,619.71
2020,23.4,35.1,13.5,187.5,533.34
2020,23.5,31.7,17.7,644.7,375.61
2020,27.7,34.6,22.7,471.5,466.92
2020,21.3,31.8,13.1,135.2,419.43
2021,17.7,30.8,6.4,182.2,538.96
2021,23.0,33.6,14.2,145.3,571.52
2021,27.2,36.3,20.5,255.1,554.76
2021,25.9,34.6,19.4,454.8,469.92
2021,22.9,30.2,15.8,162.1,407.92
2011,18.4,29.1,4.4,125.5,524.69
2011,22.9,32.7,14.1,126.4,566.38
2011,27.1,35.8,19.0,415.1,493.53
2011,26.1,36.7,18.1,389.8,418.51
2011,21.3,32.9,10.0,33.0,498.35
2012,18.5,31.8,7.8,40.5,667.24
2012,22.8,31.7,13.3,43.9,575.46
2012,26.1,34.5,20.0,298.4,499.13
2012,27.5,37.0,17.3,475.4,474.36
2012,20.8,30.2,12.3,178.7,444.02
2013,17.1,30.6,3.4,94.6,616.16
2013,22.0,31.4,12.4,66.5,551.81
2013,26.3,32.5,20.4,426.9,477.71
2013,27.0,34.8,18.3,277.2,599.14
2013,20.9,30.7,7.9,51.6,468.57
2014,17.4,32.2,4.8,43.1,717.75
2014,21.7,29.6,15.4,27.2,572.22
2014,24.3,34.5,17.3,267.1,479.2
2014,23.2,31.0,16.9,475.8,377.63
2014,20.6,29.0,12.5,75.2,473.22
2015,17.3,30.7,4.5,34.1,708.39
2015,21.6,31.1,12.2,156.6,527.02
2015,24.7,33.9,15.7,181.4,523.96
2015,25.0,35.6,17.1,73.0,556.19
2015,20.5,30.3,11.4,33.3,433.34
2016,18.7,30.0,7.8,105.8,676.55
2016,22.1,29.7,14.7,74.4,529.07
2016,26.1,34.2,18.7,198.5,573.87
2016,26.6,35.7,16.1,47.0,612.33
2016,22.0,32.2,13.5,157.7,413.36
2017,18.1,30.8,8.1,30.2,519.03
2017,21.5,31.7,10.8,17.7,480.25
2017,27.0,34.5,21.8,277.8,367.52
2017,25.9,35.3,14.5,243.4,420.5
2017,20.6,30.1,8.6,115.1,363.99
2018,17.9,29.4,6.9,64.2,428.52
2018,22.1,33.9,13.3,168.4,452.34
2018,27.0,35.8,19.9,183.7,501.83
2018,27.8,37.8,20.6,269.6,437.19
2018,20.9,30.1,9.8,118.1,339.42
2019,17.7,30.0,3.1,57.9,543.51
2019,20.8,31.4,12.0,72.2,447.02
2019,24.8,32.8,18.4,142.9,393.61
2019,26.0,35.1,17.6,238.8,411.07
2019,21.8,29.9,9.9,247.5,349.06
2020,17.6,27.5,8.1,100.3,437.58
2020,22.4,33.0,12.7,136.4,423.26
2020,23.0,30.3,16.8,454.2,299.53
2020,27.4,34.0,21.0,362.3,386.87
2020,20.7,31.6,10.9,227.9,322.06
2021,17.1,29.5,3.9,93.5,616.69
2021,22.7,32.4,15.0,143.2,631.7
2021,26.8,35.0,19.6,185.5,621.75
2021,25.7,34.0,19.1,345.7,497.4
2021,22.4,30.9,13.5,139.9,426.77
2000,15.7,30.1,4.1,29.5,542.32
2000,20.8,30.6,10.9,137.0,484.32
2000,25.4,34.1,17.6,198.0,506.71
2000,25.6,34.6,17.5,471.5,462.8
2000,19.3,31.7,8.3,209.5,350.82
2001,16.8,30.8,6.1,16.5,628.22
2001,20.7,31.2,10.8,208.0,436.22
2001,25.3,34.2,18.3,161.0,475.69
2001,25.1,35.2,16.2,86.0,522.68
2001,20.3,31.6,7.5,36.0,512.87
2002,16.5,28.8,9.3,134.0,530.37
2002,21.4,32.2,13.0,63.5,601.79
2002,25.1,35.7,18.7,187.5,470.15
2002,24.5,34.2,19.1,380.5,337.19
2002,20.7,31.2,11.3,47.0,443.47
2003,17.6,31.1,5.8,147.5,568.6
2003,21.0,29.8,11.6,158.5,445.99
2003,23.4,33.5,18.0,563.0,355.07
2003,24.7,34.7,16.7,307.5,378.27
2003,21.9,31.7,11.1,167.5,389.21
2004,16.5,27.7,7.6,97.5,500.95
2004,21.8,30.7,9.6,272.0,496.24
2004,25.9,34.2,19.3,266.5,468.73
2004,26.2,35.2,18.0,269.0,474.74
2004,21.8,32.5,11.6,199.5,391.66
2005,16.2,27.2,5.3,65.0,627.55
2005,21.6,31.1,14.1,113.5,535.44
2005,24.9,32.5,18.3,468.5,428.87
2005,25.2,35.5,16.7,363.0,438.95
2005,21.9,32.0,12.1,154.0,367.2
2006,17.7,30.1,9.0,142.5,532.0
2006,22.0,31.6,14.8,142.5,536.63
2006,24.8,34.2,18.5,484.0,327.32
2006,27.3,35.7,20.6,88.5,493.37
2006,20.4,31.3,11.8,31.0,426.68
2007,18.4,29.7,8.6,72.5,597.19
2007,22.5,32.2,15.0,116.0,497.5
2007,24.9,33.5,19.0,274.0,420.17
2007,27.2,35.7,20.5,582.0,447.33
2007,22.0,32.0,12.5,677.0,311.91
2008,17.3,31.8,6.2,109.5,568.795
