일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,8.0,22.3,-5.1,39.5,239.66
2000,2.7,19.1,-8.4,14.5,249.66
2001,-0.4,10.3,-12.5,64.5,237.9
2001,7.9,18.6,-0.2,15.9,279.71
2001,1.9,14.9,-7.0,43.4,220.99
2002,3.1,18.3,-9.7,66.3,211.37
2002,5.9,21.1,-4.4,30.9,289.82
2002,3.1,14.6,-8.3,54.3,234.41
2003,-1.4,12.2,-15.1,38.3,279.44
2003,10.6,24.4,-4.0,44.1,236.12
2003,2.5,13.0,-7.6,15.5,228.66
2004,-0.6,9.8,-13.1,14.2,278.84
2004,9.9,25.4,-1.0,59.0,265.9
2004,4.1,19.6,-6.7,38.2,243.25
2005,-0.5,11.3,-9.5,14.2,269.02
2005,9.4,24.6,-3.8,27.8,298.2
2005,-1.6,15.1,-15.0,30.0,235.13
2006,1.5,16.0,-9.2,17.0,244.19
2006,10.3,22.2,-1.0,51.6,264.67
2006,3.1,15.9,-8.4,36.2,227.62
2007,1.6,13.1,-7.2,14.5,256.49
2007,7.4,20.4,-4.7,8.7,296.93
2007,3.4,15.4,-5.5,35.4,191.84
2008,0.2,10.8,-10.6,34.8,234.7
2008,8.5,23.7,-4.4,15.5,264.34
2008,3.1,18.0,-10.8,15.6,223.13
2009,-0.4,13.7,-12.9,13.6,268.28
2009,8.6,24.6,-4.4,18.6,244.47
2009,1.3,11.7,-10.1,45.2,223.69
2010,-0.8,14.0,-10.9,36.5,269.85
2010,7.9,18.8,-3.2,15.9,301.32
2010,1.6,17.6,-10.3,45.7,238.86
2011,-4.9,5.1,-13.4,4.5,304.57
2011,12.2,28.0,-1.1,118.9,245.56
2011,1.1,11.4,-9.3,10.5,232.58
2012,-0.9,10.5,-10.1,20.0,262.88
2012,7.3,19.2,-2.4,54.7,232.39
2012,-0.9,10.8,-12.7,67.1,201.47
2013,-1.3,14.1,-15.3,25.5,237.28
2013,8.0,24.4,-2.3,76.4,227.31
2013,2.2,14.3,-7.6,22.1,201.07
2014,1.1,13.7,-9.7,6.6,249.49
2014,9.3,19.0,-1.4,75.0,263.14
2014,0.2,10.7,-8.7,51.3,222.33
2015,1.0,13.2,-9.0,41.5,249.98
2015,10.9,21.4,-2.1,102.8,176.39
2015,4.4,14.1,-4.8,58.6,215.47
2016,-0.2,14.0,-13.0,25.2,239.54
2016,8.6,21.1,-2.1,37.5,286.94
2016,3.8,16.9,-6.5,46.8,248.23
2017,0.8,13.7,-9.7,13.4,299.09
2017,7.5,22.1,-3.1,3.1,300.38
2017,1.0,14.1,-9.4,36.5,259.31
2018,-1.5,10.1,-15.0,28.4,288.19
2018,9.2,19.5,-0.6,35.0,298.67
2018,2.0,19.6,-9.6,28.6,263.87
2019,0.6,9.0,-7.4,13.2,309.2
2019,9.8,21.8,-1.5,57.0,315.87
2019,4.0,17.1,-7.5,31.6,259.0
2020,3.5,16.4,-6.4,76.8,242.36
2020,9.6,24.1,0.5,58.5,277.42
2020,1.7,13.9,-10.0,9.1,258.47
2021,0.5,14.4,-16.5,28.7,270.69
2021,9.7,23.8,0.7,81.1,272.18
2021,3.3,14.3,-10.7,6.0,239.26
2010,6.7,18.85,-4.35,0.0,301.32
2010,2.7,19.2,-9.9,53.8,199.16
2011,-4.1,5.3,-13.9,20.5,257.16
2011,12.1,26.5,-2.5,111.8,237.58
2011,1.5,11.8,-7.0,19.9,230.94
2012,-0.8,9.2,-13.3,22.2,251.33
2012,8.2,18.8,-1.5,48.5,261.55
2012,0.1,13.0,-11.3,69.2,235.01
2013,-0.3,14.5,-12.4,11.3,258.19
2013,7.9,21.5,-1.8,73.1,248.4
2013,2.4,12.7,-5.8,33.1,221.25
2014,1.0,13.0,-8.4,10.6,297.08
2014,9.1,18.3,-1.8,82.0,266.57
2014,0.6,10.9,-12.2,59.1,234.07
2015,0.8,11.3,-13.0,54.5,267.05
2015,10.9,20.3,-1.1,97.6,172.56
2015,4.6,15.7,-4.5,59.8,216.41
2016,-0.1,13.5,-12.4,53.6,244.57
2016,8.9,20.9,-2.1,27.1,277.04
2016,4.3,19.0,-5.4,36.5,212.91
2017,0.9,13.2,-9.4,20.7,212.27
2017,7.2,21.5,-3.3,4.1,237.2
2017,0.9,13.7,-8.7,44.7,179.42
2018,-1.6,10.1,-13.7,44.0,205.03
2018,8.4,19.8,-1.1,43.4,233.1
2018,1.9,19.1,-15.8,47.2,190.55
2019,0.4,9.0,-8.3,15.4,234.59
2019,9.4,21.7,-3.6,44.6,414.75
2019,4.0,15.9,-6.2,32.4,204.0
2020,3.3,18.1,-5.6,58.0,177.44
2020,9.0,24.2,-1.0,58.3,192.64
2020,1.1,13.9,-10.5,28.7,267.08
2021,0.0,14.4,-17.0,46.2,277.59
2021,9.2,23.2,-2.8,86.4,287.46
2021,2.8,14.9,-10.5,23.2,251.42
2000,8.3,21.9,-3.9,44.0,239.66
2000,3.3,17.8,-7.9,18.0,249.66
2001,0.3,11.2,-14.6,85.7,237.9
2001,7.3,18.5,-1.5,19.0,279.71
2001,1.4,13.1,-6.6,32.0,220.99
2002,2.6,18.6,-10.5,62.7,211.37
2002,5.5,20.5,-4.5,55.5,289.82
2002,2.6,13.6,-6.9,66.0,234.41
2003,-1.7,13.1,-16.7,51.8,279.44
2003,10.4,25.5,-4.0,44.0,236.12
2003,2.3,12.6,-8.6,19.1,228.66
2004,-1.3,8.8,-15.6,20.5,278.84
2004,9.7,24.2,-0.8,85.5,265.9
2004,3.3,18.2,-6.6,49.6,243.25
2005,-0.9,10.1,-9.8,6.7,269.02
2005,9.2,23.8,-4.4,25.5,298.2
2005,-1.8,16.0,-17.2,68.5,235.13
2006,1.3,14.8,-8.1,27.0,244.19
2006,10.1,23.1,-1.1,57.5,264.67
2006,3.0,14.8,-13.3,46.8,227.62
2007,1.6,11.8,-6.3,14.5,256.49
2007,7.9,20.7,-4.0,12.5,296.93
2007,3.7,15.5,-4.3,55.0,97.01
2008,-0.2,9.8,-9.7,37.8,179.675
2008,8.6,24.5,-4.3,37.4,264.34
2008,3.0,17.3,-13.7,33.1,223.13
2009,-0.2,14.3,-12.7,29.0,268.28
2009,8.8,24.2,-4.1,24.1,244.47
2009,1.2,12.2,-9.2,61.4,223.69
2010,-1.3,12.5,-12.0,34.7,269.85
2010,7.7,18.9,-3.3,11.7,301.32
2010,1.6,18.1,-11.5,47.7,219.01
2011,-5.1,3.6,-17.0,5.8,280.865
2011,11.7,26.8,-1.5,86.9,242.42
2011,1.1,10.8,-11.8,26.4,231.76
2012,-0.9,8.6,-12.2,19.4,257.105
2012,7.2,18.4,-2.5,58.0,262.79
2012,-1.4,10.5,-12.6,69.0,225.49
2013,-1.7,13.5,-15.8,20.8,262.035
2013,8.0,22.6,-1.8,77.0,251.375
