일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,25.7,33.1,20.3,748.4,610.95
2000,20.2,28.9,13.1,254.0,390.26
2000,15.3,25.4,5.5,48.0,407.565
2001,26.1,33.8,19.3,138.0,581.725
2001,22.6,31.2,13.7,9.1,560.275
2001,16.9,26.7,9.1,78.2,397.935
2002,24.8,32.8,20.2,316.2,413.98
2002,21.5,31.1,14.7,49.5,507.255
2002,13.9,25.0,2.2,73.5,402.01
2003,24.0,32.0,17.3,186.7,435.22
2003,21.3,29.3,13.8,130.1,462.58
2003,14.5,25.8,4.9,27.0,456.095
2004,25.9,35.1,19.0,254.1,584.435
2004,21.3,31.2,12.0,179.7,417.64
2004,15.0,25.8,1.5,3.5,487.16
2005,25.7,35.7,17.9,321.4,502.63
2005,22.6,32.4,15.9,176.0,410.455
2005,15.0,24.5,1.9,29.6,409.795
2006,27.4,35.7,19.8,69.5,610.535
2006,20.8,31.2,12.4,35.5,459.485
2006,17.8,27.5,6.9,31.1,448.92
2007,26.2,32.9,19.1,241.0,522.71
2007,21.1,31.7,12.3,575.6,369.425
2007,15.0,26.6,3.5,42.8,425.96
2008,25.2,34.5,18.6,198.7,595.97
2008,22.4,32.2,10.0,22.5,458.0
2008,16.4,27.8,7.4,27.1,413.49
2009,25.0,32.5,17.1,116.0,565.48
2009,21.2,29.3,14.7,49.7,517.47
2009,16.3,27.2,7.5,21.0,454.7
2010,27.3,34.7,21.9,362.3,544.06
2010,22.6,33.9,8.3,144.9,477.61
2010,14.9,23.8,1.9,8.8,448.47
2011,24.9,34.0,18.6,292.4,410.545
2011,20.7,31.4,10.9,86.9,519.895
2011,13.5,23.7,1.7,15.5,443.61
2012,26.7,36.1,17.2,710.1,491.44
2012,20.3,29.2,12.3,198.5,473.82
2012,14.7,24.4,4.1,54.2,435.51
2013,27.3,34.9,18.3,108.2,634.655
2013,21.4,30.9,9.6,114.2,494.2
2013,15.8,28.1,4.3,10.4,448.795
2014,23.7,31.5,18.5,293.2,400.195
2014,21.3,30.3,14.0,128.2,478.2
2014,15.5,28.3,2.9,128.7,447.76
2015,25.6,34.7,19.2,31.0,550.835
2015,21.2,30.1,13.4,66.9,509.71
2015,15.6,25.2,2.9,99.3,441.665
2016,27.1,34.9,15.9,10.0,584.235
2016,22.3,32.5,14.7,192.1,339.28
2016,16.2,29.5,3.8,112.3,250.48
2017,25.8,36.2,14.9,164.7,491.11
2017,21.0,29.6,10.1,90.2,403.89
2017,15.8,26.5,2.1,28.0,313.51
2018,27.7,37.1,19.0,495.9,539.23
2018,21.2,30.6,11.0,77.5,379.74
2018,13.6,25.5,4.7,138.1,427.57
2019,26.5,34.9,18.7,104.5,526.82
2019,22.0,30.5,11.9,185.2,385.18
2019,16.3,26.3,5.6,98.4,401.86
2020,26.9,34.7,22.3,520.6,522.89
2020,21.0,31.2,12.8,171.0,436.02
2020,14.5,24.7,4.1,4.1,447.16
2021,25.5,33.8,19.1,218.3,523.99
2021,22.3,29.1,15.3,138.8,380.61
