일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,5.9,19.5,-3.9,12.9,486.315
2000,11.2,23.6,1.6,35.9,581.05
2000,16.3,28.6,7.5,33.9,592.87
2001,5.2,21.8,-3.4,14.2,500.36
2001,11.8,26.6,0.5,25.8,611.355
2001,17.9,29.9,10.0,8.4,598.95
2002,7.4,20.2,-2.0,30.8,477.13
2002,13.4,26.3,5.4,166.0,506.04
2002,16.3,25.7,6.7,137.6,503.965
2003,5.5,20.6,-3.6,44.0,454.975
2003,12.0,26.4,4.7,244.5,494.055
2003,17.7,29.6,7.5,118.0,559.87
2004,5.6,21.7,-6.1,36.0,510.625
2004,11.4,27.2,0.1,62.4,553.21
2004,16.6,27.2,7.6,103.5,540.865
2005,3.8,17.6,-6.4,39.6,502.205
2005,12.5,29.7,1.1,51.7,616.825
2005,16.8,27.5,6.4,80.6,667.35
2006,5.4,19.2,-6.3,10.2,522.935
2006,10.6,23.0,2.4,110.3,506.27
2006,17.7,29.2,9.4,94.1,504.06
2007,6.6,19.8,-4.9,111.5,443.885
2007,10.9,24.3,0.0,31.5,564.51
2007,17.3,28.2,8.8,103.0,633.84
2008,6.7,19.6,-2.5,47.0,479.18
2008,12.7,25.1,3.3,45.5,542.8
2008,17.2,30.1,7.2,74.1,599.21
2009,6.4,23.6,-4.1,49.6,486.47
2009,11.2,25.9,0.4,43.0,627.34
2009,17.4,30.0,8.7,126.4,677.86
2010,5.5,18.8,-3.3,63.8,373.24
2010,9.5,23.1,-0.2,68.4,518.75
2010,16.6,29.5,4.4,132.8,624.28
2011,4.0,15.8,-4.0,12.0,564.105
2011,10.1,22.4,-1.6,73.3,622.27
2011,17.5,28.8,6.2,85.1,577.72
2012,4.7,20.4,-4.4,43.3,438.14
2012,11.7,29.2,0.3,91.2,555.56
2012,17.7,27.4,10.2,23.7,646.225
2013,4.8,26.1,-4.3,62.1,539.21
2013,9.1,27.0,0.0,94.1,561.455
2013,16.6,29.1,5.8,157.5,661.555
2014,7.0,24.0,-4.0,89.9,475.19
2014,12.5,25.5,0.8,97.7,554.52
2014,17.3,31.1,6.3,58.2,744.41
2015,5.6,18.6,-5.4,44.0,544.42
2015,12.3,25.1,3.5,114.9,475.35
2015,17.2,30.3,5.7,45.7,626.84
2016,6.6,22.4,-5.6,24.1,444.155
2016,13.0,24.0,4.2,166.6,470.02
2016,18.2,29.6,8.6,102.9,580.755
2017,5.7,17.3,-3.3,12.8,524.32
2017,12.9,26.2,0.8,61.6,543.66
2017,17.9,28.5,10.2,39.3,570.74
2018,7.8,23.7,-5.1,96.3,383.44
2018,12.6,24.9,0.1,122.0,482.24
2018,17.7,28.6,9.9,139.6,512.09
2019,6.8,19.5,-2.2,33.6,496.2
2019,11.6,25.8,-0.4,78.8,480.62
2019,17.5,30.0,5.4,44.3,709.94
2020,7.5,21.0,-3.9,16.8,526.44
2020,10.3,25.4,0.3,20.3,656.56
2020,17.4,28.0,8.8,98.7,578.61
2021,8.3,22.8,-1.7,91.9,505.9
2021,13.3,27.5,2.7,43.9,601.92
2021,16.6,29.1,5.6,137.0,611.44
2000,5.8,18.7,-3.5,20.0,486.315
2000,11.1,23.3,1.3,11.0,581.05
2000,16.1,28.8,5.1,29.2,592.87
2000,6.7,18.8,-3.6,21.2,448.39
2000,11.9,22.9,2.6,6.4,555.93
2000,16.8,30.6,8.0,40.2,596.46
2001,6.1,21.7,-3.3,18.7,502.45
2001,12.6,26.0,2.4,32.0,626.31
2001,18.0,28.0,10.0,28.5,620.34
2002,8.3,19.3,-0.9,31.5,472.51
2002,13.6,24.0,5.7,105.7,514.83
2002,16.9,26.6,10.8,79.2,514.51
2003,6.6,18.8,-2.5,75.3,458.31
2003,12.9,23.9,5.0,195.2,489.14
2003,18.3,26.8,10.0,147.9,554.61
2004,6.8,22.0,-3.3,28.4,513.9
2004,12.5,25.9,2.3,52.4,557.98
2004,17.0,26.7,8.8,85.8,542.1
2005,4.3,17.3,-5.4,64.0,504.56
2005,12.4,24.0,2.3,55.9,624.46
2005,18.1,31.0,8.9,81.6,667.56
2006,6.5,18.0,-4.1,27.9,511.08
2006,11.4,23.7,3.7,109.2,489.88
2006,17.3,27.3,10.3,247.3,495.72
2007,8.2,19.2,-1.6,88.8,439.02
2007,12.2,22.2,2.0,26.5,561.21
2007,17.9,26.3,10.6,128.5,650.34
2008,7.6,18.9,-1.0,64.1,479.18
2008,13.2,24.5,4.1,62.0,559.07
2008,17.2,26.4,9.3,150.5,621.75
2009,7.0,21.3,-1.6,43.1,479.42
2009,12.0,24.2,2.3,47.5,590.22
2009,17.6,26.9,9.9,97.2,677.86
2010,6.4,18.3,-4.0,88.7,370.3
2010,10.0,21.2,0.6,140.5,515.13
2010,16.5,27.5,6.9,99.5,618.03
2011,4.8,16.2,-2.4,25.6,554.86
2011,10.6,24.1,2.9,85.3,594.33
2011,17.0,26.3,7.8,96.9,578.58
2012,5.3,18.2,-2.7,136.6,435.32
2012,12.0,23.3,1.6,107.2,555.07
2012,17.6,27.6,10.0,26.9,660.62
2013,6.1,22.3,-2.8,68.9,458.84
2013,10.4,22.3,2.3,41.6,485.3
2013,17.2,28.0,7.4,140.7,570.07
2014,7.7,22.1,-2.3,92.3,390.2
2014,13.2,24.9,5.2,71.4,480.94
2014,17.8,30.5,8.7,72.8,651.19
2015,6.9,20.5,-3.2,34.4,432.07
2015,12.7,24.0,3.6,159.6,407.03
2015,17.7,28.1,6.7,77.8,578.14
2016,7.5,19.5,-2.5,54.9,423.08
2016,13.8,24.8,6.8,192.0,435.42
2016,18.6,29.0,10.2,119.9,538.58
2017,6.6,16.9,-1.1,28.5,426.17
2017,13.6,23.1,4.3,46.5,496.19
2017,18.7,28.7,11.2,14.0,570.74
2018,8.6,22.4,-2.2,152.7,383.44
2018,13.7,24.3,2.3,169.0,482.24
2018,18.2,27.3,10.7,89.3,532.37
2019,7.7,19.0,0.4,38.5,495.34
2019,12.3,26.2,2.5,86.3,480.54
2019,18.1,28.9,7.8,122.9,715.2
2020,7.4,19.3,-2.4,28.8,526.44
2020,10.3,22.1,2.5,60.9,664.15
2020,17.2,25.1,11.1,141.4,578.61
2021,9.2,22.0,0.3,127.4,500.49
2021,13.9,24.9,4.8,51.9,599.12
