일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,16.3,28.6,7.5,33.9,592.87
2000,21.5,31.3,14.4,315.5,504.945
2000,25.3,32.3,18.2,152.9,569.42
2001,17.9,29.9,10.0,8.4,598.95
2001,21.7,31.0,14.5,122.2,454.505
2001,26.1,33.5,20.7,160.0,523.39
2002,16.3,25.7,6.7,137.6,503.965
2002,21.5,30.4,15.7,68.8,639.105
2002,25.1,35.3,20.1,193.4,442.51
2003,17.7,29.6,7.5,118.0,559.87
2003,20.7,29.0,13.8,135.3,535.505
2003,22.9,30.0,17.9,513.1,351.495
2004,16.6,27.2,7.6,103.5,540.865
2004,21.8,30.9,12.5,233.0,535.64
2004,25.1,33.5,18.8,390.2,520.27
2005,16.8,27.5,6.4,80.6,667.35
2005,22.2,31.0,14.6,132.0,547.025
2005,25.2,33.3,18.5,550.2,504.255
2006,17.7,29.2,9.4,94.1,504.06
2006,21.9,32.1,14.1,124.8,518.87
2006,24.4,33.9,18.6,546.9,383.97
2007,17.3,28.2,8.8,103.0,633.84
2007,21.9,30.7,15.6,119.6,488.58
2007,23.9,30.8,19.2,310.9,497.005
2008,17.2,30.1,7.2,74.1,599.21
2008,21.2,29.0,12.6,281.4,469.56
2008,26.0,33.8,20.6,119.1,492.42
2009,17.4,30.0,8.7,126.4,677.86
2009,21.7,31.1,14.1,156.6,580.79
2009,23.8,30.2,17.8,335.7,486.44
2010,16.6,29.5,4.4,132.8,624.28
2010,22.0,31.8,13.4,18.9,586.39
2010,25.6,32.4,19.6,375.6,513.16
2011,17.5,28.8,6.2,85.1,577.72
2011,21.1,31.4,14.0,253.2,535.155
2011,25.1,33.5,18.4,644.5,514.075
2012,17.7,27.4,10.2,23.7,646.225
2012,22.4,30.8,13.9,83.2,540.05
2012,25.2,33.4,19.6,305.2,488.09
2013,16.6,29.1,5.8,157.5,661.555
2013,22.3,31.1,13.6,38.4,533.93
2013,26.3,33.4,20.8,293.0,483.765
2014,17.3,31.1,6.3,58.2,744.41
2014,22.1,29.5,16.1,82.4,544.395
2014,24.9,35.3,18.9,113.2,479.495
2015,17.2,30.3,5.7,45.7,626.84
2015,21.5,32.1,12.6,120.4,499.625
2015,24.4,33.8,16.4,113.0,472.805
2016,18.2,29.6,8.6,102.9,580.755
2016,22.2,29.2,15.2,37.4,460.935
2016,26.0,34.0,19.3,327.2,501.465
2017,17.9,28.5,10.2,39.3,570.74
2017,21.9,31.2,11.7,37.0,512.28
2017,26.6,33.1,21.9,221.1,434.69
2018,17.7,28.6,9.9,139.6,512.09
2018,22.0,32.8,14.8,101.1,534.21
2018,26.9,35.7,19.3,316.3,587.48
2019,17.5,30.0,5.4,44.3,709.94
2019,20.8,30.7,13.0,74.8,586.69
2019,25.0,34.0,18.4,198.1,482.44
2020,17.4,28.0,8.8,98.7,578.61
2020,22.4,33.9,14.0,196.6,569.49
2020,23.0,31.0,17.7,446.2,378.37
2021,16.6,29.1,5.6,137.0,611.44
2021,22.1,31.6,14.0,98.8,627.6
2021,26.6,34.4,20.3,251.3,574.89
2000,16.1,28.8,5.1,29.2,592.87
2000,21.4,31.0,13.4,203.9,504.945
2000,25.7,33.4,20.3,162.9,569.42
2000,16.8,30.6,8.0,40.2,596.46
2000,21.7,30.5,13.9,222.4,503.35
2000,25.8,32.9,20.8,204.0,567.75
2001,18.0,28.0,10.0,28.5,620.34
2001,21.2,28.9,14.7,270.3,461.31
2001,25.7,32.8,20.0,171.5,599.5
2002,16.9,26.6,10.8,79.2,514.51
2002,21.8,30.6,15.1,97.0,657.16
2002,24.7,32.2,20.0,201.2,482.74
2003,18.3,26.8,10.0,147.9,554.61
2003,21.3,28.9,14.5,135.7,536.53
2003,23.1,32.0,18.7,402.4,364.72
2004,17.0,26.7,8.8,85.8,542.1
2004,21.6,29.8,13.5,217.2,540.9
2004,25.5,32.6,19.1,375.4,564.84
2005,18.1,31.0,8.9,81.6,667.56
2005,22.9,29.5,16.6,209.7,559.23
2005,25.0,32.2,20.1,197.1,505.26
2006,17.3,27.3,10.3,247.3,495.72
2006,21.9,30.6,15.1,191.9,549.57
2006,25.0,32.0,20.5,333.3,402.81
2007,17.9,26.3,10.6,128.5,650.34
2007,21.6,30.6,15.8,30.6,481.93
2007,24.2,31.3,19.7,191.9,514.63
2008,17.2,26.4,9.3,150.5,621.75
2008,20.7,26.8,14.3,294.8,470.72
2008,25.9,33.2,18.9,112.2,526.15
2009,17.6,26.9,9.9,97.2,677.86
2009,21.4,29.4,14.4,122.8,580.79
2009,23.6,28.8,17.9,465.8,462.18
2010,16.5,27.5,6.9,99.5,618.03
2010,21.4,29.0,13.7,52.9,556.38
2010,24.8,31.2,20.3,264.4,526.9
2011,17.0,26.3,7.8,96.9,578.58
2011,21.0,28.2,14.3,134.6,524.49
2011,25.3,33.3,18.4,227.6,532.46
2012,17.6,27.6,10.0,26.9,660.62
2012,21.9,29.4,16.0,51.7,498.37
2012,25.1,33.1,19.5,319.4,450.15
2013,17.2,28.0,7.4,140.7,570.07
2013,22.0,30.2,13.9,84.4,486.1
2013,26.4,33.0,21.7,224.9,452.97
2014,17.8,30.5,8.7,72.8,651.19
2014,21.7,28.8,16.5,69.9,523.53
2014,24.5,34.3,19.0,136.8,430.3
2015,17.7,28.1,6.7,77.8,578.14
