일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,25.7,33.1,20.3,748.4,610.95
2000,20.2,28.9,13.1,254.0,390.26
2000,15.3,25.4,5.5,48.0,407.565
2000,8.1,20.3,-2.2,51.8,286.105
2000,2.8,14.7,-6.9,17.1,276.395
2001,26.1,33.8,19.3,138.0,581.725
2001,22.6,31.2,13.7,9.1,560.275
2001,16.9,26.7,9.1,78.2,397.935
2001,8.5,17.4,0.0,16.9,319.36
2001,2.2,12.7,-4.8,32.7,217.585
2002,24.8,32.8,20.2,316.2,413.98
2002,21.5,31.1,14.7,49.5,507.255
2002,13.9,25.0,2.2,73.5,402.01
2002,5.6,18.6,-2.9,29.4,297.635
2002,2.7,13.9,-5.8,70.7,214.28
2003,24.0,32.0,17.3,186.7,435.22
2003,21.3,29.3,13.8,130.1,462.58
2003,14.5,25.8,4.9,27.0,456.095
2003,10.3,22.9,-1.4,31.6,272.6
2003,2.2,11.8,-7.6,12.0,241.105
2004,25.9,35.1,19.0,254.1,584.435
2004,21.3,31.2,12.0,179.7,417.64
2004,15.0,25.8,1.5,3.5,487.16
2004,9.3,24.2,-0.3,80.2,313.54
2004,3.6,18.0,-6.1,42.1,239.15
2005,25.7,35.7,17.9,321.4,502.63
2005,22.6,32.4,15.9,176.0,410.455
2005,15.0,24.5,1.9,29.6,409.795
2005,9.6,23.8,-2.2,25.3,303.255
2005,-2.3,14.0,-14.5,55.1,233.52
2006,27.4,35.7,19.8,69.5,610.535
2006,20.8,31.2,12.4,35.5,459.485
2006,17.8,27.5,6.9,31.1,448.92
2006,10.1,22.1,-0.4,50.9,286.27
2006,2.9,14.8,-9.0,30.9,233.08
2007,26.2,32.9,19.1,241.0,522.71
2007,21.1,31.7,12.3,575.6,369.425
2007,15.0,26.6,3.5,42.8,425.96
2007,7.6,19.8,-4.0,15.5,313.665
2007,3.4,15.6,-4.8,48.8,203.35
2008,25.2,34.5,18.6,198.7,595.97
2008,22.4,32.2,10.0,22.5,458.0
2008,16.4,27.8,7.4,27.1,413.49
2008,8.8,23.1,-4.7,17.5,282.82
2008,3.0,15.1,-11.0,28.5,247.47
2009,25.0,32.5,17.1,116.0,565.48
2009,21.2,29.3,14.7,49.7,517.47
2009,16.3,27.2,7.5,21.0,454.7
2009,8.3,23.5,-1.7,34.3,262.32
2009,1.2,11.8,-8.8,44.7,233.59
2010,27.3,34.7,21.9,362.3,544.06
2010,22.6,33.9,8.3,144.9,477.61
2010,14.9,23.8,1.9,8.8,448.47
2010,7.9,18.5,-1.6,10.4,350.11
2010,1.7,17.2,-10.0,32.1,248.43
2011,24.9,34.0,18.6,292.4,410.545
2011,20.7,31.4,10.9,86.9,519.895
2011,13.5,23.7,1.7,15.5,443.61
2011,11.4,25.2,-2.2,83.7,253.34
2011,1.0,10.5,-8.5,15.2,254.98
2012,26.7,36.1,17.2,710.1,491.44
2012,20.3,29.2,12.3,198.5,473.82
2012,14.7,24.4,4.1,54.2,435.51
2012,7.1,17.6,-2.4,52.7,273.635
