일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,4.9,20.7,-8.9,15.5,486.28
2000,10.8,23.2,-2.8,43.4,525.325
2000,16.6,32.4,3.8,44.5,555.795
2001,4.3,22.8,-7.7,11.3,472.005
2001,12.7,28.1,-3.4,12.7,601.045
2001,18.4,30.6,5.4,14.3,629.745
2002,6.8,21.2,-6.3,28.5,464.895
2002,12.9,29.7,-0.1,178.0,408.5
2002,16.6,27.8,6.3,106.9,430.925
2003,5.2,20.4,-7.0,44.5,414.07
2003,12.0,26.2,-1.0,192.7,465.05
2003,16.8,29.2,2.7,149.5,575.485
2004,5.4,22.3,-13.6,34.5,484.64
2004,12.6,28.1,-1.2,74.0,559.61
2004,16.8,28.5,4.0,121.8,533.05
2005,4.0,19.0,-7.6,43.1,505.255
2005,13.0,31.3,-1.3,63.1,558.08
2005,16.8,29.8,3.8,53.9,645.77
2006,4.5,18.4,-9.5,8.7,479.96
2006,10.4,24.3,-0.3,91.8,435.83
2006,17.0,29.5,5.3,105.5,557.9
2007,5.5,20.3,-8.0,112.7,382.87
2007,10.8,27.1,-3.1,24.2,539.7
2007,16.9,29.7,6.4,116.5,613.225
2008,6.2,20.9,-4.9,29.4,452.275
2008,12.7,27.3,-0.9,31.5,533.255
2008,17.0,31.7,3.3,64.5,640.81
2009,6.1,23.9,-6.0,53.0,467.825
2009,11.9,28.5,-1.1,34.0,539.355
2009,18.0,29.9,6.0,112.1,618.89
2010,4.1,19.2,-5.5,88.6,343.625
2010,9.2,24.8,-3.7,70.5,494.85
2010,16.7,30.8,1.5,110.0,616.575
2011,3.2,19.6,-7.7,23.5,536.77
2011,10.6,24.5,-1.4,111.2,528.585
2011,16.8,28.3,5.9,153.8,553.155
2012,4.9,20.2,-7.5,79.0,408.86
2012,12.5,29.1,-1.9,92.4,519.835
2012,17.7,29.0,7.0,40.9,613.21
2013,5.2,25.5,-6.1,48.0,398.525
2013,9.4,27.6,-1.9,84.7,394.415
2013,17.6,31.4,5.0,97.9,505.52
2014,6.8,25.1,-7.1,51.1,472.395
2014,12.6,26.4,-2.5,46.7,553.885
2014,17.6,34.5,2.1,35.0,750.62
2015,5.6,23.3,-8.5,44.1,514.08
2015,11.7,27.2,0.6,92.1,433.3
2015,18.1,31.8,3.1,24.4,679.305
2016,6.2,20.6,-11.7,21.5,469.825
2016,13.4,29.1,1.8,132.1,502.705
2016,18.1,30.7,6.2,82.4,669.655
2017,5.5,18.8,-6.8,22.5,478.375
2017,13.4,28.3,0.3,64.7,559.045
2017,18.1,31.7,5.9,21.3,670.655
2018,7.1,23.5,-7.5,81.7,436.625
2018,12.7,30.0,-1.5,132.0,555.24
2018,17.6,30.7,4.9,103.9,599.155
2019,6.0,20.3,-5.4,29.0,468.705
2019,11.4,28.6,-4.7,60.8,509.8
2000,4.9,20.7,-8.9,15.5,486.28
2000,10.8,23.2,-2.8,43.4,525.325
2000,16.6,32.4,3.8,44.5,555.795
2001,4.3,22.8,-7.7,11.3,472.005
2001,12.7,28.1,-3.4,12.7,601.045
2001,18.4,30.6,5.4,14.3,629.745
2002,6.8,21.2,-6.3,28.5,464.895
2002,12.9,29.7,-0.1,178.0,408.5
2002,16.6,27.8,6.3,106.9,430.925
2003,5.2,20.4,-7.0,44.5,414.07
2003,12.0,26.2,-1.0,192.7,465.05
2003,16.8,29.2,2.7,149.5,575.485
2004,5.4,22.3,-13.6,34.5,484.64
2004,12.6,28.1,-1.2,74.0,559.61
2004,16.8,28.5,4.0,121.8,533.05
2005,4.0,19.0,-7.6,43.1,505.255
2005,13.0,31.3,-1.3,63.1,558.08
2005,16.8,29.8,3.8,53.9,645.77
2006,4.5,18.4,-9.5,8.7,479.96
2006,10.4,24.3,-0.3,91.8,435.83
2006,17.0,29.5,5.3,105.5,557.9
2007,5.5,20.3,-8.0,112.7,382.87
