일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,16.6,32.4,3.8,44.5,555.795
2000,21.4,33.0,11.7,196.5,519.9
2000,24.8,33.6,16.7,293.4,530.525
2000,24.6,33.5,17.6,318.5,438.38
2000,18.2,29.3,7.7,244.6,365.085
2001,18.4,30.6,5.4,14.3,629.745
2001,21.9,33.6,9.3,238.9,460.215
2001,25.2,33.6,15.6,171.5,527.685
2001,24.7,34.5,13.1,93.5,540.58
2001,19.5,31.2,5.6,19.5,496.705
2002,16.6,27.8,6.3,106.9,430.925
2002,21.0,31.9,8.5,57.9,481.415
2002,24.0,34.7,17.0,190.2,399.225
2002,23.1,33.3,15.6,597.1,267.125
2002,18.7,31.2,9.1,90.5,390.37
2003,16.8,29.2,2.7,149.5,575.485
2003,20.1,30.2,9.6,186.0,462.775
2003,22.0,31.2,14.4,495.0,351.565
2003,23.0,32.7,15.1,314.7,367.515
2003,19.9,29.8,7.8,268.1,364.27
2004,16.8,28.5,4.0,121.8,533.05
2004,21.4,32.8,9.4,335.0,507.565
2004,24.7,35.0,18.1,391.5,455.125
2004,23.9,34.5,16.0,247.6,475.54
2004,19.4,30.2,10.6,144.1,388.015
2005,16.8,29.8,3.8,53.9,645.77
2005,22.1,32.5,10.3,171.5,553.115
2005,24.4,34.7,17.5,381.6,453.875
2005,23.9,34.0,15.4,291.8,435.0
2005,20.4,32.5,10.0,295.5,369.13
2006,17.0,29.5,5.3,105.5,557.9
2006,21.0,31.5,12.3,128.0,549.92
2006,22.4,32.2,16.2,666.9,300.6
2006,25.4,35.5,18.1,56.5,550.165
2006,17.6,29.9,7.7,25.0,430.77
2007,16.9,29.7,6.4,116.5,613.225
2007,21.2,32.7,10.8,124.0,519.355
2007,23.1,31.7,15.6,282.5,403.245
2007,25.2,33.5,16.3,366.0,438.545
2007,20.0,31.8,11.8,351.5,292.27
2008,17.0,31.7,3.3,64.5,640.81
2008,20.0,31.0,9.3,112.0,496.305
2008,25.5,34.3,18.3,274.6,505.78
2008,23.6,34.3,14.1,195.5,537.15
2008,19.9,31.9,5.2,63.6,444.275
2009,18.0,29.9,6.0,112.1,618.89
2009,21.6,33.0,9.0,89.5,605.93
2009,23.2,31.1,17.0,404.0,442.31
2009,23.5,33.3,15.3,142.5,469.58
2009,19.6,30.4,10.6,58.5,455.02
2010,16.7,30.8,1.5,110.0,616.575
2010,22.0,32.1,6.4,42.6,612.08
2010,24.8,33.4,18.4,199.6,481.375
2010,26.2,33.9,20.6,357.7,426.63
2010,20.4,32.5,6.5,278.6,410.485
2011,16.8,28.3,5.9,153.8,553.155
2011,21.7,31.9,12.5,412.0,561.97
2011,24.4,32.5,18.1,535.1,420.245
2011,24.0,33.5,15.1,296.7,401.445
2011,19.5,32.2,7.2,157.2,441.47
2012,17.7,29.0,7.0,40.9,613.21
2012,21.7,32.6,12.3,79.4,560.52
2012,24.8,34.4,17.6,265.7,486.3
2012,25.4,36.4,17.5,479.5,434.535
2012,18.6,30.0,7.6,177.2,402.89
2013,17.6,31.4,5.0,97.9,505.52
2013,22.4,32.0,12.1,144.6,482.0
2013,25.3,32.7,20.1,245.2,393.42
2013,25.9,34.2,17.6,183.9,541.595
2013,19.3,30.2,6.1,122.2,406.085
2014,17.6,34.5,2.1,35.0,750.62
2014,21.6,31.1,13.9,92.6,567.07
2014,24.3,33.7,16.6,111.4,535.07
2014,22.7,33.1,13.7,284.3,393.75
2014,19.2,30.1,8.4,122.7,444.04
2015,18.1,31.8,3.1,24.4,679.305
2015,21.7,33.5,8.9,75.4,559.205
2015,23.8,34.2,12.9,156.7,480.145
2015,24.2,36.0,15.9,71.8,518.39
2015,18.8,29.4,8.7,33.8,465.46
2016,18.1,30.7,6.2,82.4,669.655
2016,22.3,32.2,9.9,42.1,570.665
2016,24.8,33.8,17.4,374.4,509.685
2016,26.0,35.6,13.8,69.0,554.565
2016,20.5,30.7,8.8,78.1,355.28
2017,18.1,31.7,5.9,21.3,670.655
2017,21.7,34.0,9.6,60.6,636.82
2017,25.5,33.9,17.9,464.8,428.255
2017,24.5,36.2,13.4,257.9,481.075
2017,18.9,28.9,5.5,78.3,470.455
2018,17.6,30.7,4.9,103.9,599.155
2018,21.9,33.3,11.8,75.3,615.095
2018,26.3,37.5,15.0,161.5,629.135
2018,26.9,39.1,15.2,350.3,541.875
2018,19.2,29.2,6.6,184.9,440.48
2000,16.6,32.4,3.8,44.5,555.795
2000,21.4,33.0,11.7,196.5,519.9
2000,24.8,33.6,16.7,293.4,530.525
2000,24.6,33.5,17.6,318.5,438.38
2000,18.2,29.3,7.7,244.6,365.085
2001,18.4,30.6,5.4,14.3,629.745
2001,21.9,33.6,9.3,238.9,460.215
2001,25.2,33.6,15.6,171.5,527.685
2001,24.7,34.5,13.1,93.5,540.58
2001,19.5,31.2,5.6,19.5,496.705
2002,16.6,27.8,6.3,106.9,430.925
2002,21.0,31.9,8.5,57.9,481.415
2002,24.0,34.7,17.0,190.2,399.225
2002,23.1,33.3,15.6,597.1,267.125
2002,18.7,31.2,9.1,90.5,390.37
2003,16.8,29.2,2.7,149.5,575.485
2003,20.1,30.2,9.6,186.0,462.775
2003,22.0,31.2,14.4,495.0,351.565
2003,23.0,32.7,15.1,314.7,367.515
2003,19.9,29.8,7.8,268.1,364.27
2004,16.8,28.5,4.0,121.8,533.05
2004,21.4,32.8,9.4,335.0,507.565
2004,24.7,35.0,18.1,391.5,455.125
2004,23.9,34.5,16.0,247.6,475.54
2004,19.4,30.2,10.6,144.1,388.015
2005,16.8,29.8,3.8,53.9,645.77
2005,22.1,32.5,10.3,171.5,553.115
2005,24.4,34.7,17.5,381.6,453.875
2005,23.9,34.0,15.4,291.8,435.0
2005,20.4,32.5,10.0,295.5,369.13
2006,17.0,29.5,5.3,105.5,557.9
2006,21.0,31.5,12.3,128.0,549.92
2006,22.4,32.2,16.2,666.9,300.6
2006,25.4,35.5,18.1,56.5,550.165
2006,17.6,29.9,7.7,25.0,430.77
2007,16.9,29.7,6.4,116.5,613.225
2007,21.2,32.7,10.8,124.0,519.355
2007,23.1,31.7,15.6,282.5,403.245
2007,25.2,33.5,16.3,366.0,438.545
2007,20.0,31.8,11.8,351.5,292.27
2008,17.0,31.7,3.3,64.5,640.81
2008,20.0,31.0,9.3,112.0,496.305
2008,25.5,34.3,18.3,274.6,505.78
2008,23.6,34.3,14.1,195.5,537.15
2008,19.9,31.9,5.2,63.6,444.275
2009,18.0,29.9,6.0,112.1,618.89
2009,21.6,33.0,9.0,89.5,605.93
2009,23.2,31.1,17.0,404.0,442.31
2009,23.5,33.3,15.3,142.5,469.58
2009,19.6,30.4,10.6,58.5,455.02
2010,16.7,30.8,1.5,110.0,616.575
2010,22.0,32.1,6.4,42.6,612.08
2010,24.8,33.4,18.4,199.6,481.375
2010,26.2,33.9,20.6,357.7,426.63
2010,20.4,32.5,6.5,278.6,410.485
2011,16.8,28.3,5.9,153.8,553.155
2011,21.7,31.9,12.5,412.0,561.97
2011,24.4,32.5,18.1,535.1,420.245
2011,24.0,33.5,15.1,296.7,401.445
2011,19.5,32.2,7.2,157.2,441.47
2012,17.7,29.0,7.0,40.9,613.21
2012,21.7,32.6,12.3,79.4,560.52
2012,24.8,34.4,17.6,265.7,486.3
2012,25.4,36.4,17.5,479.5,434.535
2012,18.6,30.0,7.6,177.2,402.89
2013,17.6,31.4,5.0,97.9,505.52
2013,22.4,32.0,12.1,144.6,482.0
2013,25.3,32.7,20.1,245.2,393.42
2013,25.9,34.2,17.6,183.9,541.595
2013,19.3,30.2,6.1,122.2,406.085
2014,17.6,34.5,2.1,35.0,750.62
2014,21.6,31.1,13.9,92.6,567.07
2014,24.3,33.7,16.6,111.4,535.07
2014,22.7,33.1,13.7,284.3,393.75
2014,19.2,30.1,8.4,122.7,444.04
2015,18.1,31.8,3.1,24.4,679.305
2015,21.7,33.5,8.9,75.4,559.205
2015,23.8,34.2,12.9,156.7,480.145
2015,24.2,36.0,15.9,71.8,518.39
2015,18.8,29.4,8.7,33.8,465.46
2016,18.1,30.7,6.2,82.4,669.655
2016,22.3,32.2,9.9,42.1,570.665
2016,24.8,33.8,17.4,374.4,509.685
2016,26.0,35.6,13.8,69.0,554.565
2016,20.5,30.7,8.8,78.1,355.28
2017,18.1,31.7,5.9,21.3,670.655
2017,21.7,34.0,9.6,60.6,636.82
2017,25.5,33.9,17.9,464.8,428.255
2017,24.5,36.2,13.4,257.9,481.075
2017,18.9,28.9,5.5,78.3,470.455
2018,17.6,30.7,4.9,103.9,599.155
2018,21.9,33.3,11.8,75.3,615.095
2018,26.3,37.5,15.0,161.5,629.135
2018,26.9,39.1,15.2,350.3,541.875
2018,19.2,29.2,6.6,184.9,440.48
2019,18.1,24.1,13.7,0.2,737.19
2019,21.7,32.2,10.8,103.5,646.145
2019,25.2,34.4,16.1,274.4,526.94
2019,26.2,35.5,17.4,187.7,580.365
2019,21.8,30.5,12.0,163.2,403.115
2020,18.2,29.1,7.5,91.6,643.645
2020,23.2,33.4,13.5,214.2,616.575
2020,23.2,30.6,17.1,436.4,423.75
2020,26.8,34.8,22.2,501.1,491.105
2020,20.5,30.9,12.2,171.3,450.815
2021,16.8,30.5,5.3,141.9,561.085
