일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,4.9,21.2,-7.6,37.3,272.435
2000,-0.5,14.5,-13.1,17.5,272.865
2001,-3.7,7.9,-18.1,47.7,261.88
2001,4.5,17.2,-6.1,6.9,298.45
2001,-1.8,10.6,-13.5,19.5,273.625
2002,-0.5,13.8,-14.6,58.7,254.955
2002,2.8,19.3,-8.6,19.1,281.715
2002,0.6,14.5,-11.8,48.0,228.2
2003,-3.7,9.7,-18.5,17.2,269.13
2003,8.4,22.8,-6.7,47.2,227.495
2003,0.2,12.3,-11.2,17.2,243.27
2004,-2.8,9.5,-15.6,15.4,298.895
2004,7.0,23.0,-3.7,37.0,262.215
2004,0.6,17.2,-11.1,25.4,252.69
2005,-3.2,10.4,-14.1,4.6,288.665
2005,6.0,22.1,-7.0,16.0,291.065
2005,-5.1,12.2,-17.3,11.7,254.27
2006,-1.4,12.6,-14.9,26.5,244.675
2006,7.1,20.7,-3.7,61.4,243.15
2006,0.3,13.7,-14.1,16.7,228.205
2007,-0.3,11.6,-10.1,11.0,261.43
2007,4.5,19.9,-9.3,10.6,301.645
2007,-0.1,13.9,-9.0,21.9,195.16
2008,-2.3,8.9,-13.2,29.3,249.53
2008,5.8,20.4,-9.7,10.5,262.74
2008,-0.1,14.8,-13.0,14.3,244.75
2009,-3.8,10.2,-16.8,14.8,276.9
2009,6.0,22.2,-7.9,44.3,193.71
2009,-1.6,10.1,-14.0,34.8,193.38
2010,-4.7,9.2,-19.7,37.8,239.435
2010,4.7,17.3,-6.7,15.1,312.16
2010,-1.8,14.4,-14.1,23.8,255.845
2011,-8.0,2.0,-19.3,2.8,315.15
2011,9.5,24.8,-4.8,84.5,229.47
2011,-1.7,9.2,-14.0,14.6,244.79
2012,-3.4,8.7,-13.5,16.1,265.71
2012,4.4,16.6,-5.9,52.1,201.425
2012,-4.7,8.8,-17.6,55.6,175.745
2013,-5.0,12.1,-21.7,40.5,210.15
2013,4.9,20.9,-8.0,63.2,274.07
2013,-0.5,11.1,-11.8,32.2,246.59
2014,-2.1,10.3,-13.0,8.0,293.045
2014,6.8,17.5,-4.5,24.8,249.145
2014,-3.6,8.8,-14.2,25.8,234.695
2015,-1.7,8.9,-13.7,17.5,256.87
2015,8.6,20.3,-4.1,109.8,163.175
2015,1.4,12.0,-11.2,39.7,201.325
2016,-3.1,11.5,-17.0,5.7,256.08
2016,5.9,21.0,-7.2,26.4,262.425
2016,0.7,13.9,-11.2,42.4,225.945
2017,-2.5,12.8,-16.0,16.4,276.06
2017,4.4,20.2,-7.7,17.2,290.585
2017,-2.3,10.3,-14.5,25.5,248.975
2018,-4.3,8.8,-19.2,17.6,281.44
2018,5.9,19.6,-5.6,50.0,281.06
2018,-1.5,14.6,-14.8,30.0,261.265
2019,-2.2,8.6,-13.1,1.0,301.04
2000,4.9,21.2,-7.6,37.3,272.435
2000,-0.5,14.5,-13.1,17.5,272.865
2001,-3.7,7.9,-18.1,47.7,261.88
2001,4.5,17.2,-6.1,6.9,298.45
2001,-1.8,10.6,-13.5,19.5,273.625
2002,-0.5,13.8,-14.6,58.7,254.955
2002,2.8,19.3,-8.6,19.1,281.715
2002,0.6,14.5,-11.8,48.0,228.2
2003,-3.7,9.7,-18.5,17.2,269.13
2003,8.4,22.8,-6.7,47.2,227.495
2003,0.2,12.3,-11.2,17.2,243.27
2004,-2.8,9.5,-15.6,15.4,298.895
2004,7.0,23.0,-3.7,37.0,262.215
2004,0.6,17.2,-11.1,25.4,252.69
2005,-3.2,10.4,-14.1,4.6,288.665
2005,6.0,22.1,-7.0,16.0,291.065
2005,-5.1,12.2,-17.3,11.7,254.27
2006,-1.4,12.6,-14.9,26.5,244.675
2006,7.1,20.7,-3.7,61.4,243.15
2006,0.3,13.7,-14.1,16.7,228.205
2007,-0.3,11.6,-10.1,11.0,261.43
2007,4.5,19.9,-9.3,10.6,301.645
2007,-0.1,13.9,-9.0,21.9,195.16
2008,-2.3,8.9,-13.2,29.3,249.53
2008,5.8,20.4,-9.7,10.5,262.74
2008,-0.1,14.8,-13.0,14.3,244.75
2009,-3.8,10.2,-16.8,14.8,276.9
2009,6.0,22.2,-7.9,44.3,193.71
2009,-1.6,10.1,-14.0,34.8,193.38
2010,-4.7,9.2,-19.7,37.8,239.435
2010,4.7,17.3,-6.7,15.1,312.16
2010,-1.8,14.4,-14.1,23.8,255.845
2011,-8.0,2.0,-19.3,2.8,315.15
2011,9.5,24.8,-4.8,84.5,229.47
2011,-1.7,9.2,-14.0,14.6,244.79
2012,-3.4,8.7,-13.5,16.1,265.71
2012,4.4,16.6,-5.9,52.1,201.425
2012,-4.7,8.8,-17.6,55.6,175.745
2013,-5.0,12.1,-21.7,40.5,210.15
2013,4.9,20.9,-8.0,63.2,274.07
2013,-0.5,11.1,-11.8,32.2,246.59
2014,-2.1,10.3,-13.0,8.0,293.045
2014,6.8,17.5,-4.5,24.8,249.145
2014,-3.6,8.8,-14.2,25.8,234.695
2015,-1.7,8.9,-13.7,17.5,256.87
2015,8.6,20.3,-4.1,109.8,163.175
2015,1.4,12.0,-11.2,39.7,201.325
2016,-3.1,11.5,-17.0,5.7,256.08
2016,5.9,21.0,-7.2,26.4,262.425
2016,0.7,13.9,-11.2,42.4,225.945
2017,-2.5,12.8,-16.0,16.4,276.06
2017,4.4,20.2,-7.7,17.2,290.585
2017,-2.3,10.3,-14.5,25.5,248.975
2018,-4.3,8.8,-19.2,17.6,281.44
2018,5.9,19.6,-5.6,50.0,281.06
2018,-1.5,14.6,-14.8,30.0,261.265
2019,-2.2,8.6,-13.1,1.0,301.04
2019,8.1,21.3,-3.1,112.2,275.295
2019,2.0,14.8,-9.4,26.5,242.825
2020,2.1,14.3,-8.6,81.3,239.4
2020,8.0,22.0,-3.2,50.1,290.085
2020,-0.1,12.2,-13.8,3.5,267.93
2021,-1.7,13.4,-19.1,22.0,285.645
2021,8.2,20.9,-2.4,60.9,280.14
2021,1.2,12.8,-14.0,8.0,249.96
