일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,6.3,18.9,-4.8,3.1,389.5
2000,11.9,23.5,1.8,30.7,440.9
2000,17.5,30.5,7.9,75.2,443.69
2001,5.0,21.0,-6.1,18.1,396.53
2001,13.6,28.2,2.1,12.3,492.04
2001,19.1,31.5,10.4,16.5,504.43
2002,7.6,19.4,-2.9,31.5,455.61
2002,13.6,27.7,4.3,155.1,539.06
2002,18.2,27.7,10.0,58.0,569.16
2003,6.5,20.9,-5.0,26.8,391.06
2003,13.2,24.6,4.8,139.6,440.66
2003,19.6,30.4,8.5,106.0,586.05
2004,6.3,18.7,-5.6,27.6,465.92
2004,13.1,27.3,2.7,74.1,516.08
2004,17.6,27.6,8.8,168.5,507.25
2005,4.1,17.6,-6.5,12.5,466.52
2005,13.2,29.8,4.1,94.7,518.09
2005,17.7,30.2,6.3,85.8,603.92
2006,5.2,17.2,-6.9,14.0,439.42
2006,11.6,22.2,2.9,51.8,407.21
2006,18.4,28.3,10.8,156.2,541.55
2007,6.1,16.2,-7.6,123.5,321.94
2007,11.4,22.5,1.6,41.1,474.64
2007,18.1,30.1,9.0,137.6,523.35
2008,7.3,19.8,-1.7,53.9,390.28
2008,14.1,28.0,3.8,38.5,496.97
2008,17.7,28.5,8.1,97.7,560.5
2009,6.0,22.2,-3.3,63.9,425.54
2009,12.7,25.8,2.2,66.5,517.66
2009,19.1,31.0,9.8,109.0,612.91
2010,4.3,14.2,-4.0,82.5,351.1
2010,9.5,20.7,1.1,62.8,458.41
2010,17.2,28.6,5.8,124.0,535.71
2011,3.6,16.8,-5.5,14.6,506.61
2011,10.7,19.0,4.3,110.1,504.97
2011,17.9,31.2,8.5,53.4,529.85
2012,5.1,16.2,-5.7,47.4,367.51
2012,12.3,29.4,0.6,157.0,448.48
2012,19.7,29.3,12.0,8.2,553.4
2013,5.1,23.8,-4.4,27.3,443.31
2013,10.0,21.6,1.3,71.7,449.86
2013,18.2,31.8,7.9,132.0,513.2
2014,7.9,23.8,-4.6,7.2,392.05
2014,14.0,26.2,2.3,31.0,455.0
2014,18.9,33.3,6.8,63.0,627.82
2015,6.3,21.9,-6.9,9.6,458.62
2015,13.3,28.3,3.5,80.5,449.84
2015,18.9,32.2,8.3,28.9,602.95
2016,7.0,21.4,-7.5,40.5,432.76
2016,14.1,29.6,5.1,76.8,460.4
2016,19.6,31.9,8.9,160.5,594.54
2017,6.3,18.9,-5.3,7.9,444.9
2017,13.9,27.8,3.1,61.6,488.91
2017,19.5,30.3,10.0,16.1,645.35
2018,8.1,22.1,-6.7,49.5,446.41
2018,13.0,26.3,0.1,130.3,513.19
2018,18.2,29.6,6.9,222.0,561.24
2019,7.1,17.6,-1.7,26.8,417.72
2019,12.1,28.2,0.3,47.3,502.12
2019,19.4,33.4,8.4,37.8,701.39
2020,7.7,20.6,-2.8,16.3,515.18
2020,11.1,23.8,1.9,16.9,637.52
2020,18.0,30.0,9.2,112.4,564.83
2021,9.0,22.9,-1.2,110.9,476.94
2021,14.2,28.2,3.1,124.1,558.28
2021,17.1,30.8,7.3,183.1,570.5
