일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,17.5,30.5,7.9,75.2,443.69
2000,23.7,33.9,14.6,68.1,443.37
2000,26.8,34.2,19.9,114.7,398.51
2000,26.2,35.1,19.0,599.4,350.5
2000,20.7,31.0,11.9,178.5,317.17
2001,19.1,31.5,10.4,16.5,504.43
2001,22.5,32.7,15.6,157.4,359.31
2001,25.9,32.8,20.3,698.4,322.67
2001,26.5,35.3,19.4,252.0,431.66
2001,22.5,31.7,11.0,49.3,405.66
2002,18.2,27.7,10.0,58.0,569.16
2002,22.2,32.0,14.5,61.4,568.18
2002,25.2,34.8,18.9,220.6,398.92
2002,24.2,32.2,17.9,688.0,314.8
2002,21.6,30.6,13.5,61.1,391.8
2003,19.6,30.4,8.5,106.0,586.05
2003,21.5,31.1,14.4,156.0,422.35
2003,23.8,31.4,18.3,469.8,420.74
2003,24.1,32.2,16.6,684.2,391.98
2003,20.9,28.7,13.8,258.2,373.37
2004,17.6,27.6,8.8,168.5,507.25
2004,23.2,32.5,14.6,138.1,475.28
2004,24.8,34.5,19.5,510.7,316.98
2004,26.1,36.2,18.7,193.3,469.31
2004,21.7,31.3,12.8,198.7,415.76
2005,17.7,30.2,6.3,85.8,603.92
2005,22.7,32.0,15.5,168.5,465.11
2005,25.3,34.2,18.3,269.4,371.21
2005,25.1,35.0,16.5,285.0,368.84
2005,21.8,30.8,13.8,313.3,334.1
2006,18.4,28.3,10.8,156.2,541.55
2006,21.8,32.4,14.1,168.5,469.24
2006,23.1,30.1,17.5,1014.0,253.15
2006,27.0,34.7,20.8,121.2,483.73
2006,21.1,30.3,11.3,11.1,444.25
2007,18.1,30.1,9.0,137.6,523.35
2007,23.2,33.2,14.1,54.5,501.44
2007,24.2,31.2,17.7,274.1,390.34
2007,26.5,33.2,19.8,237.6,360.81
2007,21.5,31.1,14.1,241.9,286.98
2008,17.7,28.5,8.1,97.7,560.5
2008,21.5,29.6,13.7,165.0,521.13
2008,25.1,32.9,20.2,530.8,336.23
2008,25.3,35.4,16.3,251.2,493.57
2008,22.0,32.0,10.3,99.2,415.31
2009,19.1,31.0,9.8,109.0,612.91
2009,22.4,32.4,14.3,132.0,549.15
2009,24.3,32.4,18.7,659.4,437.75
2009,25.7,34.4,16.4,285.3,465.59
2009,21.8,29.9,14.4,64.5,473.84
2010,17.2,28.6,5.8,124.0,535.71
2010,23.4,32.7,12.1,127.6,581.11
2010,25.8,32.3,21.0,239.2,410.55
2010,26.5,33.8,19.9,598.7,365.07
2010,21.8,31.4,8.4,671.5,373.65
2011,17.9,31.2,8.5,53.4,529.85
2011,22.0,32.9,14.4,404.5,492.72
2011,24.6,34.1,18.9,1131.0,342.33
2011,25.8,34.1,18.1,166.8,378.91
2011,21.8,32.4,10.3,25.6,449.39
2012,19.7,29.3,12.0,8.2,553.4
2012,24.1,33.5,16.3,91.9,534.46
2012,25.4,33.2,18.5,448.9,375.14
2012,27.1,36.7,18.7,464.9,362.84
2012,21.0,29.5,12.0,212.0,356.28
2013,18.2,31.8,7.9,132.0,513.2
2013,24.4,32.6,16.3,28.3,507.43
2013,25.5,31.3,20.5,676.2,268.48
2013,27.7,33.9,21.1,148.6,420.57
2013,21.8,31.1,10.9,138.5,368.82
2014,18.9,33.3,6.8,63.0,627.82
2014,23.1,31.1,17.3,98.1,465.41
2014,26.1,34.4,19.1,207.9,296.02
2014,25.2,35.8,18.3,172.8,352.98
2014,22.1,31.3,14.9,88.1,388.56
2015,18.9,32.2,8.3,28.9,602.95
2015,23.6,34.9,15.6,99.0,530.22
2015,25.8,36.0,18.2,226.0,428.46
2015,26.3,34.4,18.9,72.9,436.33
2015,22.4,31.0,14.2,26.0,458.73
2016,19.6,31.9,8.9,160.5,594.54
2016,23.6,32.2,17.1,54.4,508.07
2016,26.2,34.1,19.8,358.2,403.01
2016,28.0,36.6,16.1,67.1,468.05
2016,23.1,31.1,14.3,33.0,370.92
2017,19.5,30.3,10.0,16.1,645.35
2017,23.3,34.1,14.5,66.6,625.27
2017,26.9,35.4,21.9,621.0,375.27
2017,25.9,35.3,16.1,297.0,411.09
2017,22.1,31.4,11.2,35.0,445.23
2018,18.2,29.6,6.9,222.0,561.24
2018,23.1,32.9,16.3,171.5,602.59
2018,27.8,38.3,17.7,185.6,561.1
2018,28.8,39.6,20.2,202.6,517.16
2018,21.5,30.9,10.8,68.5,470.96
2019,19.4,33.4,8.4,37.8,701.39
2019,22.5,32.8,14.1,74.0,589.02
2019,25.9,36.1,19.3,194.4,426.99
2019,27.2,36.8,18.5,190.5,486.24
2019,22.6,30.5,13.6,139.8,386.78
2020,18.0,30.0,9.2,112.4,564.83
2020,23.9,35.4,14.8,139.6,603.98
2020,24.1,32.9,17.2,270.4,464.55
2020,26.5,34.5,21.5,675.7,325.97
2020,21.4,29.5,13.6,181.5,452.05
2021,17.1,30.8,7.3,183.1,570.5
2021,22.8,31.6,13.3,104.6,563.35
2021,28.1,36.5,19.6,168.3,578.3
2021,25.9,33.7,18.1,211.2,428.88
2021,22.6,30.3,16.0,131.0,474.13
