일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,7.0,20.3,-3.8,27.1,213.58
2000,0.9,11.9,-11.4,27.0,193.19
2001,-4.1,6.8,-18.6,39.4,205.8
2001,7.0,16.0,-3.1,13.0,235.81
2001,-0.6,10.9,-8.8,15.7,236.38
2002,0.3,13.5,-12.0,37.4,203.68
2002,4.0,16.7,-4.8,12.5,247.98
2002,1.7,15.9,-9.1,15.0,210.18
2003,-2.5,8.7,-15.5,14.1,242.47
2003,9.5,21.3,-3.2,69.3,180.5
2003,0.7,12.0,-8.1,6.9,208.57
2004,-1.5,8.1,-16.7,19.8,234.67
2004,9.1,21.5,0.2,80.0,233.97
2004,1.9,16.2,-8.3,27.2,225.8
2005,-2.5,7.3,-11.0,4.5,256.19
2005,8.6,21.8,-1.1,44.6,261.97
2005,-3.9,11.1,-14.0,10.3,241.05
2006,-0.2,9.3,-10.1,34.3,227.59
2006,8.4,20.2,-1.3,47.6,230.89
2006,1.4,12.6,-12.3,17.3,203.9
2007,0.4,11.8,-7.6,10.8,232.34
2007,6.7,19.3,-5.5,26.4,261.71
2007,1.8,13.8,-7.4,12.7,193.98
2008,-1.7,7.3,-11.1,17.7,226.64
2008,7.6,18.4,-7.2,19.6,244.52
2008,1.1,13.3,-13.1,25.9,203.88
2009,-2.0,12.2,-11.4,5.7,263.32
2009,6.9,21.8,-4.3,52.4,235.39
2009,-1.0,10.1,-12.9,21.5,218.66
2010,-4.5,8.4,-15.3,29.3,257.47
2010,6.5,17.4,-5.2,10.9,280.01
2010,-1.3,13.5,-15.1,16.1,221.67
2011,-7.2,0.3,-17.8,8.9,308.49
2011,10.7,25.9,-5.5,56.2,189.83
2011,-0.9,9.1,-10.6,7.1,215.83
2012,-2.8,8.4,-12.2,6.7,234.5
2012,5.5,15.7,-3.0,67.8,228.59
2012,-4.1,8.3,-14.5,41.4,210.32
2013,-3.4,11.5,-16.4,22.1,217.73
2013,6.2,20.7,-6.4,46.8,233.94
2013,-0.2,11.0,-9.8,24.7,202.42
2014,-0.7,8.2,-10.5,13.0,225.31
2014,9.0,22.9,-3.1,41.5,250.26
2014,-2.9,7.9,-13.2,17.9,229.68
2015,-0.9,9.0,-9.8,11.3,245.05
2015,8.9,21.0,-7.3,104.6,177.93
2015,1.6,12.2,-9.5,29.1,206.35
2016,-3.2,9.5,-18.0,1.0,246.52
2016,6.8,18.6,-6.2,16.7,235.03
2016,1.2,13.6,-9.8,61.1,205.35
2017,-1.8,11.4,-12.6,14.9,256.11
2017,5.6,18.4,-6.6,40.7,145.34
2017,-1.9,8.7,-12.3,34.8,151.69
2018,-4.0,8.7,-17.8,8.5,158.99
2018,7.8,19.4,-3.1,79.1,265.35
2018,-0.6,13.5,-14.4,16.4,253.64
2019,-0.9,8.5,-10.1,0.0,285.25
2019,7.6,22.1,-4.6,78.8,284.28
2019,1.4,12.9,-10.9,22.6,223.25
2020,1.6,11.9,-6.5,60.5,252.58
2020,8.0,20.0,-3.6,120.1,281.51
2020,-0.3,11.4,-12.9,4.6,276.39
2021,-2.4,13.9,-18.6,18.9,270.25
2021,8.2,21.3,-3.7,62.4,271.64
2021,0.6,13.3,-15.5,7.9,257.25
