일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,26.0,33.8,20.2,262.1,463.43
2000,20.6,32.9,11.7,217.0,389.16
2000,16.5,26.3,7.1,41.4,374.26
2001,26.2,35.1,18.0,87.4,521.9
2001,21.5,30.5,12.9,94.5,482.72
2001,17.4,26.0,8.7,98.3,377.83
2002,24.5,35.0,16.9,592.5,385.65
2002,20.7,32.6,12.7,99.9,474.17
2002,15.2,28.3,2.8,89.9,403.02
2003,25.0,35.4,18.7,223.1,421.32
2003,22.7,33.4,12.5,145.2,396.94
2003,16.1,26.3,4.9,4.5,445.7
2004,25.5,35.9,17.3,264.9,493.01
2004,21.9,31.9,13.7,273.6,372.49
2004,16.3,26.8,6.4,6.7,438.3
2005,26.3,34.9,19.6,210.6,446.5
2005,22.5,34.0,15.8,392.2,369.93
2005,16.5,28.1,4.9,12.2,403.6
2006,27.3,36.0,19.4,131.7,553.52
2006,20.5,30.8,14.0,150.0,474.61
2006,18.6,29.4,9.2,21.0,486.57
2007,27.5,35.7,18.7,171.4,500.56
2007,22.1,31.8,16.6,228.5,348.69
2007,16.7,26.3,6.0,110.7,461.17
2008,24.8,34.0,17.3,305.4,497.62
2008,21.8,30.7,10.6,49.4,393.42
2008,17.4,27.7,6.9,9.4,410.895
2009,24.2,33.6,18.2,43.0,445.285
2009,21.4,29.6,16.0,50.4,440.32
2009,17.0,27.2,7.7,54.5,447.845
2010,27.8,35.4,22.4,114.5,502.295
2010,22.7,33.6,11.8,182.0,442.1
2010,16.6,25.9,4.3,38.5,408.585
2011,25.3,34.6,17.5,71.0,409.325
2011,21.8,32.9,11.8,96.5,459.065
2011,15.8,28.2,3.5,71.0,415.405
2012,26.8,34.7,19.0,220.4,479.435
2012,21.1,30.7,12.2,392.6,443.235
2012,16.1,25.5,7.0,40.6,441.255
2013,29.0,38.8,20.3,47.7,593.29
2013,22.8,32.5,13.7,49.6,473.505
2013,17.7,27.4,6.4,129.9,410.105
2014,24.3,33.6,17.7,577.5,358.66
2014,21.9,31.9,14.9,113.2,448.165
2014,16.7,26.7,7.6,120.3,410.12
2015,26.4,36.8,18.9,120.2,525.06
2015,21.1,28.6,14.8,160.6,457.16
2015,16.6,26.7,3.9,39.8,458.37
2016,26.4,35.7,16.3,98.2,513.41
2016,21.7,30.0,15.6,364.3,286.5
2016,17.2,29.3,7.2,358.7,283.91
2017,25.9,35.1,18.0,69.8,473.69
2017,21.3,29.7,11.0,178.0,419.39
2017,17.0,28.0,5.5,63.1,305.63
2018,27.0,37.3,18.1,279.3,525.49
2018,21.1,30.0,13.2,156.9,376.48
2018,15.1,25.7,4.7,162.0,414.24
2019,26.4,35.0,18.6,195.7,522.87
2019,22.3,31.8,12.4,287.5,329.33
2019,17.3,27.6,6.0,222.2,378.01
2020,27.6,35.5,22.6,137.1,526.6
2020,21.1,30.2,12.3,243.0,407.11
2020,15.9,26.1,7.0,18.9,454.37
2021,25.3,33.7,19.9,443.9,481.07
2021,22.1,29.3,16.5,125.2,366.93
2021,17.1,30.5,4.1,49.0,429.24
