일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,8.7,19.9,-2.9,58.5,519.21
2000,13.6,25.8,2.9,62.5,542.48
2000,18.1,32.1,9.2,49.2,586.32
2001,8.5,23.6,-3.2,9.4,500.88
2001,14.4,28.6,2.0,28.0,601.99
2001,19.0,30.5,9.0,55.9,578.16
2002,10.5,23.3,-0.1,86.5,482.64
2002,14.8,27.3,4.4,91.1,504.19
2002,17.4,29.0,9.8,112.9,523.3
2003,8.0,21.9,-2.6,40.4,452.51
2003,14.1,26.5,2.8,156.6,480.44
2003,17.1,27.0,5.0,352.8,526.37
2004,8.9,23.9,-4.6,20.5,487.62
2004,15.1,31.0,3.1,124.5,557.82
2004,19.1,30.8,9.3,104.0,498.53
2005,7.4,21.2,-3.6,102.9,510.53
2005,15.1,29.7,1.0,48.1,590.43
2005,17.9,29.9,9.3,52.6,679.06
2006,8.4,20.5,-5.8,21.0,526.72
2006,13.0,28.1,3.9,135.1,483.59
2006,17.5,29.8,8.2,207.1,514.69
2007,8.8,21.7,-3.7,82.1,491.13
2007,13.5,27.8,1.8,30.5,595.15
2007,18.8,30.3,10.5,84.4,681.88
2008,8.5,19.3,-2.2,47.9,427.52
2008,13.8,28.4,3.2,78.2,443.545
2008,17.7,30.4,8.9,121.6,527.26
2009,8.8,22.8,-1.4,35.0,476.54
2009,13.9,27.6,2.7,62.9,590.2
2009,18.8,32.3,10.6,92.3,631.51
2010,7.0,22.2,-2.6,98.9,353.3
2010,10.8,22.2,0.7,112.8,471.885
2010,17.6,30.9,5.9,137.3,578.095
2011,6.7,21.0,-3.5,18.5,559.58
2011,12.6,26.3,1.6,83.6,579.325
2011,17.2,27.4,7.8,114.8,545.815
2012,7.5,19.9,-3.3,103.2,449.835
2012,14.1,27.7,1.8,150.5,539.605
2012,18.4,30.4,9.5,38.1,592.025
2013,9.4,24.6,-2.5,78.0,541.45
2013,12.1,25.5,2.1,86.5,551.85
2013,18.4,33.0,7.5,155.1,629.295
2014,9.5,24.8,-1.1,122.4,457.315
2014,14.4,28.3,3.9,91.2,523.4
2014,19.9,32.9,7.5,45.7,728.325
2015,8.9,22.3,-4.3,51.7,541.545
2015,13.8,29.2,3.8,122.9,446.085
2015,20.0,32.7,9.7,98.3,692.82
2016,9.2,21.6,-4.0,92.2,423.28
2016,14.3,26.2,4.1,179.2,465.53
2016,18.9,30.3,8.3,86.1,587.56
2017,8.0,18.2,-2.5,27.6,449.25
2017,15.1,28.9,3.4,111.9,524.06
2017,19.6,33.4,8.7,26.3,619.57
2018,9.5,24.6,-2.2,155.3,349.76
2018,14.5,29.1,1.5,123.3,513.19
2018,18.1,31.5,9.2,95.4,555.12
2019,9.9,22.5,-0.5,40.7,447.29
2019,12.8,25.9,1.1,88.9,477.48
2019,19.7,31.7,6.6,35.0,702.41
2020,9.6,23.6,-1.5,41.6,527.17
2020,12.3,25.5,2.9,73.2,633.67
2020,18.1,28.7,9.2,51.5,614.27
2021,10.5,21.9,-0.8,138.9,497.1
2021,13.8,25.7,3.1,73.9,608.97
2021,17.8,30.5,7.2,120.4,588.66
