일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,18.1,32.1,9.2,49.2,586.32
2000,21.4,33.2,12.0,78.4,471.26
2000,26.0,35.4,17.8,165.4,529.2
2000,26.0,33.8,20.2,262.1,463.43
2000,20.6,32.9,11.7,217.0,389.16
2001,19.0,30.5,9.0,55.9,578.16
2001,22.0,32.7,12.8,203.3,220.645
2001,26.6,35.7,18.0,121.6,550.49
2001,26.2,35.1,18.0,87.4,521.9
2001,21.5,30.5,12.9,94.5,482.72
2002,17.4,29.0,9.8,112.9,523.3
2002,21.8,32.0,11.7,52.6,567.44
2002,24.7,34.7,18.0,326.6,434.93
2002,24.5,35.0,16.9,592.5,385.65
2002,20.7,32.6,12.7,99.9,474.17
2003,17.1,27.0,5.0,352.8,526.37
2003,21.9,30.7,11.9,269.0,467.29
2003,22.3,32.2,17.3,469.8,349.96
2003,25.0,35.4,18.7,223.1,421.32
2003,22.7,33.4,12.5,145.2,396.94
2004,19.1,30.8,9.3,104.0,498.53
2004,22.0,32.3,11.9,201.8,516.23
2004,26.8,36.3,20.3,102.0,548.15
2004,25.5,35.9,17.3,264.9,493.01
2004,21.9,31.9,13.7,273.6,372.49
2005,17.9,29.9,9.3,52.6,679.06
2005,23.3,35.5,13.1,72.5,538.48
2005,25.5,34.6,18.4,148.1,461.21
2005,26.3,34.9,19.6,210.6,446.5
2005,22.5,34.0,15.8,392.2,369.93
2006,17.5,29.8,8.2,207.1,514.69
2006,21.8,31.9,13.4,100.7,558.64
2006,23.7,35.9,18.2,543.2,328.75
2006,27.3,36.0,19.4,131.7,553.52
2006,20.5,30.8,14.0,150.0,474.61
2007,18.8,30.3,10.5,84.4,681.88
2007,21.7,33.2,14.1,118.0,535.77
2007,24.0,35.2,18.0,216.3,490.53
2007,27.5,35.7,18.7,171.4,500.56
2007,22.1,31.8,16.6,228.5,348.69
2008,17.7,30.4,8.9,121.6,527.26
2008,19.8,32.1,13.3,171.5,441.36
2008,26.9,35.1,18.7,218.2,505.815
2008,24.8,34.0,17.3,305.4,497.62
2008,21.8,30.7,10.6,49.4,393.42
2009,18.8,32.3,10.6,92.3,631.51
2009,22.2,34.2,14.5,228.7,553.045
2009,23.3,31.7,16.5,450.7,402.915
2009,24.2,33.6,18.2,43.0,445.285
2009,21.4,29.6,16.0,50.4,440.32
2010,17.6,30.9,5.9,137.3,578.095
2010,22.2,33.0,11.9,40.1,561.065
2010,25.4,34.4,18.8,266.8,477.17
2010,27.8,35.4,22.4,114.5,502.295
2010,22.7,33.6,11.8,182.0,442.1
2011,17.2,27.4,7.8,114.8,545.815
2011,22.0,33.0,13.8,293.5,523.435
2011,25.2,34.2,18.2,284.8,505.825
2011,25.3,34.6,17.5,71.0,409.325
2011,21.8,32.9,11.8,96.5,459.065
2012,18.4,30.4,9.5,38.1,592.025
2012,21.2,30.0,14.3,76.4,490.83
2012,26.1,35.4,18.7,221.0,515.465
2012,26.8,34.7,19.0,220.4,479.435
2012,21.1,30.7,12.2,392.6,443.235
2013,18.4,33.0,7.5,155.1,629.295
2013,22.0,32.0,13.9,79.9,520.945
2013,27.8,35.8,21.5,130.1,538.55
2013,29.0,38.8,20.3,47.7,593.29
2013,22.8,32.5,13.7,49.6,473.505
2014,19.9,32.9,7.5,45.7,728.325
2014,21.7,32.8,14.5,73.6,497.01
2014,25.9,34.9,19.0,96.9,502.295
2014,24.3,33.6,17.7,577.5,358.66
2014,21.9,31.9,14.9,113.2,448.165
2015,20.0,32.7,9.7,98.3,692.82
2015,21.5,32.6,12.0,77.0,499.44
2015,24.4,36.6,17.5,176.3,496.22
2015,26.4,36.8,18.9,120.2,525.06
2015,21.1,28.6,14.8,160.6,457.16
2016,18.9,30.3,8.3,86.1,587.56
2016,22.0,31.3,12.4,70.1,443.02
2016,25.3,34.2,18.9,226.9,467.82
2016,26.4,35.7,16.3,98.2,513.41
2016,21.7,30.0,15.6,364.3,286.5
2017,19.6,33.4,8.7,26.3,619.57
2017,21.2,32.3,12.5,38.5,591.02
2017,27.1,36.1,19.9,104.6,473.54
2017,25.9,35.1,18.0,69.8,473.69
2017,21.3,29.7,11.0,178.0,419.39
2018,18.1,31.5,9.2,95.4,555.12
2018,21.6,34.5,12.7,127.6,558.28
2018,26.8,36.1,17.3,160.3,616.53
2018,27.0,37.3,18.1,279.3,525.49
2018,21.1,30.0,13.2,156.9,376.48
2019,19.7,31.7,6.6,35.0,702.41
2019,20.7,29.7,13.3,247.5,586.03
2019,24.8,33.9,18.5,206.5,493.78
2019,26.4,35.0,18.6,195.7,522.87
2019,22.3,31.8,12.4,287.5,329.33
2020,18.1,28.7,9.2,51.5,614.27
2020,22.7,31.0,14.8,218.6,632.67
2020,22.1,32.0,15.6,498.3,373.42
2020,27.6,35.5,22.6,137.1,526.6
2020,21.1,30.2,12.3,243.0,407.11
2021,17.8,30.5,7.2,120.4,588.66
2021,21.7,29.8,14.1,93.8,591.49
2021,25.9,34.2,19.2,189.3,590.16
2021,25.3,33.7,19.9,443.9,481.07
2021,22.1,29.3,16.5,125.2,366.93
