일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,10.0,22.5,-0.2,67.5,301.48
2000,4.9,17.0,-6.4,1.0,287.57
2001,1.6,9.6,-9.8,59.4,276.46
2001,9.9,21.4,-0.3,13.2,326.78
2001,4.1,15.0,-2.9,41.9,287.04
2002,4.5,19.2,-6.1,49.6,288.58
2002,7.9,22.0,-2.4,3.5,332.88
2002,5.3,17.2,-4.6,47.5,269.88
2003,1.5,13.0,-9.9,26.7,311.86
2003,12.7,26.4,-1.2,114.5,252.0
2003,4.9,16.8,-4.5,11.0,301.46
2004,2.4,12.6,-10.6,10.7,308.11
2004,12.0,23.7,1.3,64.7,327.27
2004,6.6,19.6,-3.5,25.6,277.83
2005,2.0,12.4,-6.4,36.5,306.14
2005,10.7,25.1,-0.2,24.5,309.61
2005,1.2,15.6,-10.4,1.1,304.24
2006,3.6,13.4,-7.0,27.2,273.56
2006,11.4,24.4,1.7,16.1,308.59
2006,5.1,16.3,-9.0,7.5,324.76
2007,4.8,14.5,-3.7,3.0,351.66
2007,9.6,20.7,-2.7,2.0,331.05
2007,5.4,15.6,-3.0,39.6,270.43
2008,2.5,14.0,-7.0,73.5,235.03
2008,10.0,22.8,-1.9,16.7,298.195
2008,4.5,18.2,-7.5,10.5,280.695
2009,1.5,12.1,-9.2,14.7,261.455
2009,9.6,25.1,-1.4,36.3,254.445
2009,3.9,17.5,-6.5,16.1,283.94
2010,1.5,15.9,-8.1,17.0,319.415
2010,9.0,20.7,-2.1,15.5,334.92
2010,3.3,19.8,-8.5,30.2,270.905
2011,-1.9,8.8,-13.5,10.5,345.605
2011,12.3,23.1,-0.2,93.9,247.45
2011,3.2,13.6,-6.9,19.0,292.93
2012,1.6,11.4,-8.9,74.2,303.99
2012,8.9,19.7,-1.4,65.9,308.33
2012,1.3,13.9,-9.4,63.2,268.19
2013,0.9,15.1,-10.2,22.0,319.205
2013,9.8,23.3,-2.2,40.9,330.6
2013,4.3,15.4,-4.1,12.2,296.23
2014,3.9,16.5,-5.2,8.6,336.74
2014,11.3,21.1,1.1,44.3,292.715
2014,2.6,13.5,-6.5,6.5,294.595
2015,3.5,12.7,-5.2,26.3,303.84
2015,12.4,23.5,1.1,103.5,224.67
2015,6.5,16.2,-4.2,47.6,255.09
2016,1.8,15.6,-11.4,50.6,258.38
2016,10.1,21.2,-1.0,47.1,255.21
2016,6.1,17.4,-4.7,88.1,245.23
2017,2.8,13.6,-8.7,15.3,294.4
2017,9.8,22.5,-2.0,0.0,304.05
2017,2.3,14.6,-7.6,12.7,263.3
2018,0.7,14.5,-12.4,31.3,236.4
2018,10.7,21.3,-1.3,51.8,293.14
2018,4.1,19.5,-8.5,28.1,271.54
2019,3.5,14.5,-5.3,15.5,335.21
2019,11.3,22.1,0.0,31.0,303.78
2019,5.4,18.7,-5.2,40.8,256.57
2020,5.2,18.4,-3.9,178.7,233.19
2020,11.0,23.1,0.2,37.7,316.97
2020,3.4,15.6,-8.9,5.7,308.93
2021,2.1,16.3,-12.2,20.6,318.7
2021,11.1,21.0,1.4,49.7,323.96
2021,4.7,16.6,-8.9,3.5,312.84
