,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
연도별,시도별,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,노지배추:면적 (ha),95,727,316,273,373,105,152,-,3789,10891,3988,3629,4377,8860,4928,2279,745
2000.1,10a당 생산량 (kg),5258,7293,7376,7716,7885,9049,7986,-,7066,4276,6501,9148,7599,6536,5748,6804,5442
2000.2,생산량 (톤),4995,53022,23307,21064,29412,9501,12138,-,267712,465701,259245,331980,332595,579133,283279,155064,40542
2000.3,노지봄배추:면적 (ha),72,403,177,107,178,6,61,-,1331,9608,2642,810,2317,6320,3400,1183,499
2000.4,10a당 생산량 (kg),3694,4446,4799,4316,5090,4700,4410,-,3903,3839,5265,4011,3848,5120,4080,3713,3731
2000.5,생산량 (톤),2660,17917,8494,4618,9060,282,2690,-,51949,368899,139101,32489,89165,323584,138730,43919,18618
2000.6,일반봄배추:면적 (ha),72,403,177,107,178,6,61,-,1331,2147,2561,810,713,6320,2816,707,499
2000.7,10a당 생산량 (kg),3695,4446,4799,4316,5090,4696,4410,-,3903,4081,5308,4011,4272,5120,4109,3589,3731
2000.8,생산량 (톤),2660,17917,8494,4618,9060,282,2690,-,51949,87619,135938,32489,30459,323584,115709,25374,18618
2000.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,7461,81,0,1604,0,584,476,0
2000.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3770,3905,0,3660,0,3942,3896,0
2000.11,생산량 (톤),0,0,0,0,0,0,0,-,0,281280,3163,0,58706,0,23021,18545,0
2000.12,노지가을배추:면적 (ha),23,324,139,166,195,99,91,-,2458,1283,1346,2819,2060,2540,1528,1096,246
2000.13,10a당 생산량 (kg),10152,10835,10657,9907,10437,9312,10382,-,8778,7545,8926,10624,11817,10061,9460,10141,8912
2000.14,생산량 (톤),2335,35105,14813,16446,20352,9219,9448,-,215763,96802,120144,299491,243430,255549,144549,111145,21924
2001,노지배추:면적 (ha),30,733,371,242,313,104,159,-,3280,10081,3444,3648,3987,10517,4456,2468,586
2001.1,10a당 생산량 (kg),8877,9124,6721,8266,8150,8236,9427,-,8471,4310,6262,9291,6859,6175,5423,7041,6099
2001.2,생산량 (톤),2663,66881,24936,20004,25508,8565,14989,-,277837,434475,215664,338948,273485,649395,241642,173763,35742
2001.3,노지봄배추:면적 (ha),8,452,232,66,132,26,49,-,1081,9260,2326,796,2552,8560,3104,1253,353
2001.4,10a당 생산량 (kg),4413,5760,4520,3653,5280,4412,3500,-,4316,4039,5175,3241,4077,5254,4234,3384,3924
2001.5,생산량 (톤),353,26035,10486,2411,6970,1147,1715,-,46656,373976,120366,25798,104040,449742,131413,42397,13852
2001.6,일반봄배추:면적 (ha),8,452,232,66,132,26,49,-,1081,1983,2285,796,708,8560,2732,553,353
2001.7,10a당 생산량 (kg),4415,5760,4520,3653,5280,4413,3500,-,4316,4206,5196,3241,4894,5254,4246,3663,3924
2001.8,생산량 (톤),353,26035,10486,2411,6970,1147,1715,-,46656,83405,118729,25798,34650,449742,116001,20256,13852
2001.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,7277,41,0,1844,0,372,700,0
2001.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3993,3993,0,3763,0,4143,3163,0
2001.11,생산량 (톤),0,0,0,0,0,0,0,-,0,290571,1637,0,69390,0,15412,22141,0
2001.12,노지가을배추:면적 (ha),22,281,139,176,181,78,110,-,2199,821,1118,2852,1435,1957,1352,1215,233
2001.13,10a당 생산량 (kg),10502,14536,10396,9996,10242,9510,12067,-,10513,7369,8524,10980,11808,10202,8153,10812,9395
2001.14,생산량 (톤),2310,40846,14450,17593,18538,7418,13274,-,231181,60499,95298,313150,169445,199653,110229,131366,21890
2002,노지배추:면적 (ha),65,476,310,176,285,87,160,-,2655,7696,2477,2730,3084,8383,3923,2071,903
2002.1,10a당 생산량 (kg),4978,8260,7368,7952,8509,8859,7591,-,7152,4204,5706,9384,6972,6018,5269,6275,5351
2002.2,생산량 (톤),3236,39316,22842,13996,24251,7707,12145,-,189886,323564,141339,256188,215011,504480,206704,129948,48319
2002.3,노지봄배추:면적 (ha),49,248,259,48,102,4,58,-,1015,6974,1701,521,1744,6807,2890,1165,603
2002.4,10a당 생산량 (kg),3312,5550,6940,3694,5000,4850,5219,-,4974,3912,4691,3695,3764,5023,4268,3424,3832
2002.5,생산량 (톤),1623,13764,17975,1773,5100,194,3027,-,50486,272829,79794,19251,65641,341916,123341,39892,23107
2002.6,일반봄배추:면적 (ha),49,248,259,48,102,4,58,-,1015,1329,1696,521,441,6807,2491,499,603
2002.7,10a당 생산량 (kg),3313,5550,6940,3693,5000,4851,5219,-,4974,4282,4693,3695,4499,5023,4391,2693,3832
2002.8,생산량 (톤),1623,13764,17975,1773,5100,194,3027,-,50486,56908,79593,19251,19841,341916,109380,13438,23107
2002.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,5645,5,0,1303,0,399,666,0
2002.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3825,4014,0,3515,0,3499,3972,0
2002.11,생산량 (톤),0,0,0,0,0,0,0,-,0,215921,201,0,45800,0,13961,26454,0
2002.12,노지가을배추:면적 (ha),16,228,51,128,183,83,102,-,1640,722,776,2209,1340,1576,1033,906,300
2002.13,10a당 생산량 (kg),10083,11207,9543,9549,10465,9052,8939,-,8500,7027,7931,10726,11147,10315,8070,9940,8404
2002.14,생산량 (톤),1613,25552,4867,12223,19151,7513,9118,-,139400,50735,61545,236937,149370,162564,83363,90056,25212
2003,노지배추:면적 (ha),65,487,248,184,264,123,122,-,2819,8801,3733,2995,3605,11433,4804,2169,1157
2003.1,10a당 생산량 (kg),5643,7710,6022,8195,8798,8080,7917,-,6568,4259,5870,8575,6734,6079,3525,6525,5237
2003.2,생산량 (톤),3668,37548,14934,15079,23226,9939,9659,-,185152,374796,219129,256811,242774,695061,169362,141528,60588
2003.3,노지봄배추:면적 (ha),40,277,200,42,109,32,48,-,1021,8019,2620,790,2156,9435,3510,1251,863
2003.4,10a당 생산량 (kg),3070,5560,5340,3695,7000,4603,4406,-,4807,4004,4906,4560,4122,5109,2101,3972,3881
2003.5,생산량 (톤),1228,15401,10680,1552,7630,1473,2115,-,49079,321049,128542,36024,88876,482034,73735,49691,33493
2003.6,일반봄배추:면적 (ha),40,277,200,42,109,32,48,-,1021,1735,2589,790,732,9435,3029,675,863
2003.7,10a당 생산량 (kg),3069,5560,5340,3695,7000,4604,4406,-,4807,4770,4916,4560,4689,5109,1835,4025,3881
2003.8,생산량 (톤),1228,15401,10680,1552,7630,1473,2115,-,49079,82760,127275,36024,34323,482034,55582,27169,33493
2003.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,6284,31,0,1424,0,481,576,0
2003.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3792,4087,0,3831,0,3774,3910,0
2003.11,생산량 (톤),0,0,0,0,0,0,0,-,0,238289,1267,0,54553,0,18153,22522,0
2003.12,노지가을배추:면적 (ha),25,210,48,142,155,91,74,-,1798,782,1113,2205,1449,1998,1294,918,294
2003.13,10a당 생산량 (kg),9760,10546,8863,9526,10062,9303,10195,-,7568,6873,8139,10013,10621,10662,7390,10004,9216
