,____,___,__,____(¡C),____(¡C),____(¡C),_____(00~24h_)(mm),__ ___(MJ/m2)
0,___,__,Jan-00,-0.4,9.9,-10.9,90.2,152.99
1,___,__,Feb-00,-0.1,9.2,-8.6,8.4,329.07
2,___,__,Mar-00,6.9,18.5,-4.2,8.7,448.65
3,___,__,Apr-00,11.2,24.1,2.4,23.4,486.355
4,___,__,May-00,14.3,30.5,6.2,71,520.28
5,___,__,Jun-00,19.2,33.3,9.7,175.7,547.195
6,___,__,Jul-00,24.8,33.6,17,109.2,512.23
7,___,__,Aug-00,24,33.7,17.9,440.3,412.735
8,___,__,Sep-00,18.6,32,11.2,347.2,347.645
9,___,__,Oct-00,14.5,23,5.1,7,311.07
10,___,__,Nov-00,7.8,19.9,-2.1,58.3,231.67
11,___,__,Dec-00,3.2,14.5,-9.9,5.8,234.16
12,___,__,Jan-01,-2.3,6.2,-14.6,37.6,257.045
13,___,__,Feb-01,1.2,16.2,-8.4,64.4,295.82
14,___,__,Mar-01,5.6,19.9,-6,20.8,445.03
15,___,__,Apr-01,12.3,25.2,1.2,14.1,539.605
16,___,__,May-01,17.2,31.2,6.5,7.2,598.28
17,___,__,Jun-01,20,34.2,12.9,126.6,438.715
18,___,__,Jul-01,23.4,31.3,15.7,233.3,477.375
19,___,__,Aug-01,22.4,30.9,14.6,56.9,518.38
20,___,__,Sep-01,20,29.3,9.6,311.5,411.455
21,___,__,Oct-01,15.9,24.9,7.6,234.9,323.025
22,___,__,Nov-01,8.8,20.2,-2.8,36.7,269.43
23,___,__,Dec-01,1.4,10.1,-6.6,20.2,256.155
24,___,__,Jan-02,0.8,15.8,-11,87.1,251.51
25,___,__,Feb-02,4.2,14.2,-6.3,0.6,316.84
26,___,__,Mar-02,8.7,20.3,-1,14.1,438.205
27,___,__,Apr-02,12.2,29.6,2.5,58.5,540.705
28,___,__,May-02,15.6,28.4,4.8,78.2,592.885
29,___,__,Jun-02,19.5,33.1,11.9,66.5,595.63
30,___,__,Jul-02,21.9,36.6,17,301.4,452.7
31,___,__,Aug-02,22.7,34.6,15.6,531.2,328.065
32,___,__,Sep-02,19.1,34.1,12.1,225.9,387.845
33,___,__,Oct-02,13,24.5,0.2,42.8,365.845
34,___,__,Nov-02,5.1,21,-3.5,4,281.405
35,___,__,Dec-02,1.2,17.6,-9.8,140,220.68
36,___,__,Jan-03,-1.6,11.3,-14.8,34.7,260.055
37,___,__,Feb-03,1.6,11.1,-9.8,63.6,277.98
38,___,__,Mar-03,4.5,19.9,-7.3,56.8,402.49
39,___,__,Apr-03,11,26.6,-0.1,136.1,454.53
40,___,__,May-03,14.8,27.7,4.4,111.5,585.13
41,___,__,Jun-03,20.3,31.2,11.8,132.1,489.015
42,___,__,Jul-03,20.8,27.6,16.7,258,420.105
43,___,__,Aug-03,22.5,33.2,16.3,349.2,388.365
44,___,__,Sep-03,19.7,28.5,9.5,425.4,355.1
45,___,__,Oct-03,14.1,23,3.6,51.6,407.82
46,___,__,Nov-03,9.3,23.3,-2.9,278.2,210.58
47,___,__,Dec-03,2.9,12.8,-8.2,1.8,260.87
48,___,__,Jan-04,0.5,9.6,-15.6,25,294.32
49,___,__,Feb-04,3.6,19.1,-7.9,26.7,360.525
50,___,__,Mar-04,6.9,22.9,-5.7,1.8,513.115
51,___,__,Apr-04,12.7,29,2.4,104.4,551.77
52,___,__,May-04,16.7,29.2,7.7,46.7,548.345
53,___,__,Jun-04,20.8,31.3,12.7,99.7,552.085
54,___,__,Jul-04,23.9,37.1,17,554,403.205
55,___,__,Aug-04,23.1,34.3,16.1,460.3,449.47
56,___,__,Sep-04,20.1,30.5,13.4,200.1,393.415
57,___,__,Oct-04,14.8,25.1,6.6,16.9,416.145
58,___,__,Nov-04,10.6,20.1,1.5,39.5,267.47
59,___,__,Dec-04,4.2,17.8,-6.3,12.2,254.615
60,___,__,Jan-05,-0.1,9.8,-9.6,28.4,301.725
61,___,__,Feb-05,-0.8,7.3,-13.1,52.4,324.575
62,___,__,Mar-05,4.2,18.1,-7.9,102.5,485.365
63,___,__,Apr-05,12.8,32,0.4,47.9,543.625
64,___,__,May-05,14.4,29.7,6,122.7,605.295
